Tag,Rep,ChunkSize,NumFiles,Duplicates,UncompressedBytes,Chunks,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs
baseline_ht16384_c65536,0,65536,1,0,719323136,10976,6.917567,151.972317,103.984993,4.733251
baseline_ht16384_c65536,1,65536,1,0,719323136,10976,6.868758,156.469467,104.723907,4.597211
baseline_ht16384_c65536,2,65536,1,0,719323136,10976,6.952641,159.650521,103.460419,4.505611
baseline_ht16384_c65536,3,65536,1,0,719323136,10976,6.837520,157.307085,105.202339,4.572732
baseline_ht16384_c65536,4,65536,1,0,719323136,10976,6.859771,157.517909,104.861099,4.566612
baseline_ht16384_c65536,5,65536,1,0,719323136,10976,6.914179,155.068916,104.035942,4.638732
baseline_ht16384_c65536,6,65536,1,0,719323136,10976,6.968974,156.577094,103.217934,4.594051
baseline_ht16384_c65536,7,65536,1,0,719323136,10976,6.943157,155.961902,103.601738,4.612172
baseline_ht16384_c65536,8,65536,1,0,719323136,10976,6.876777,159.036304,104.601784,4.523012
baseline_ht16384_c65536,9,65536,1,0,719323136,10976,6.901660,157.026900,104.224655,4.580891
baseline_ht16384_c65536,10,65536,1,0,719323136,10976,6.942382,158.343182,103.613297,4.542811
baseline_ht16384_c65536,11,65536,1,0,719323136,10976,6.867331,155.269752,104.745667,4.632732
baseline_ht16384_c65536,12,65536,1,0,719323136,10976,6.859917,157.363517,104.858864,4.571092
baseline_ht16384_c65536,13,65536,1,0,719323136,10976,6.848227,152.952064,105.037865,4.702932
baseline_ht16384_c65536,14,65536,1,0,719323136,10976,6.864901,151.469233,104.782745,4.748972
baseline_ht16384_c65536,15,65536,1,0,719323136,10976,6.892901,144.329573,104.357101,4.983893
baseline_ht16384_c65536,16,65536,1,0,719323136,10976,6.900558,154.879268,104.241302,4.644412
baseline_ht16384_c65536,17,65536,1,0,719323136,10976,6.864038,157.846957,104.795914,4.557092
baseline_ht16384_c65536,18,65536,1,0,719323136,10976,6.851363,159.112292,104.989784,4.520852
baseline_ht16384_c65536,19,65536,1,0,719323136,10976,6.853423,157.446180,104.958221,4.568692
baseline_ht16384_c65536,20,65536,1,0,719323136,10976,6.846310,158.350113,105.067268,4.542612
baseline_ht16384_c65536,21,65536,1,0,719323136,10976,6.846049,133.376582,105.071274,5.393174
baseline_ht16384_c65536,22,65536,1,0,719323136,10976,6.865652,145.697715,104.771271,4.937093
baseline_ht16384_c65536,23,65536,1,0,719323136,10976,6.865990,145.572695,104.766113,4.941333
baseline_ht16384_c65536,24,65536,1,0,719323136,10976,6.955652,145.236441,103.415634,4.952773
baseline_ht16384_c65536,25,65536,1,0,719323136,10976,6.978460,146.625503,103.077629,4.905853
baseline_ht16384_c65536,26,65536,1,0,719323136,10976,6.853689,145.684728,104.954155,4.937533
baseline_ht16384_c65536,27,65536,1,0,719323136,10976,6.882820,145.858424,104.509949,4.931653
baseline_ht16384_c65536,28,65536,1,0,719323136,10976,6.864659,150.922616,104.786430,4.766172
baseline_ht16384_c65536,29,65536,1,0,719323136,10976,6.838143,145.473768,105.192757,4.944693
baseline_ht16384_c8192,0,8192,1,0,719323136,87808,12.888154,221.632920,55.812737,3.245561
baseline_ht16384_c8192,1,8192,1,0,719323136,87808,12.933318,216.290231,55.617836,3.325731
baseline_ht16384_c8192,2,8192,1,0,719323136,87808,12.926132,219.457652,55.648754,3.277731
baseline_ht16384_c8192,3,8192,1,0,719323136,87808,12.949597,217.212453,55.547916,3.311611
baseline_ht16384_c8192,4,8192,1,0,719323136,87808,12.866423,216.746437,55.907001,3.318731
baseline_ht16384_c8192,5,8192,1,0,719323136,87808,12.979927,215.102682,55.418118,3.344092
baseline_ht16384_c8192,6,8192,1,0,719323136,87808,12.949270,218.868031,55.549320,3.286561
baseline_ht16384_c8192,7,8192,1,0,719323136,87808,12.922378,219.704319,55.664921,3.274051
baseline_ht16384_c8192,8,8192,1,0,719323136,87808,12.922759,215.916927,55.663280,3.331481
baseline_ht16384_c8192,9,8192,1,0,719323136,87808,12.956389,220.748038,55.518799,3.258571
baseline_ht16384_c8192,10,8192,1,0,719323136,87808,12.942727,217.272802,55.577400,3.310691
baseline_ht16384_c8192,11,8192,1,0,719323136,87808,12.946165,219.505200,55.562641,3.277021
baseline_ht16384_c8192,12,8192,1,0,719323136,87808,12.957340,219.516588,55.514721,3.276851
baseline_ht16384_c8192,13,8192,1,0,719323136,87808,12.893563,216.608005,55.789322,3.320852
baseline_ht16384_c8192,14,8192,1,0,719323136,87808,12.932768,221.060087,55.620201,3.253971
baseline_ht16384_c8192,15,8192,1,0,719323136,87808,12.890134,218.116032,55.804161,3.297892
baseline_ht16384_c8192,16,8192,1,0,719323136,87808,12.891178,218.667698,55.799644,3.289572
baseline_ht16384_c8192,17,8192,1,0,719323136,87808,12.922247,223.372099,55.665485,3.220291
baseline_ht16384_c8192,18,8192,1,0,719323136,87808,12.934135,218.966563,55.614323,3.285082
baseline_ht16384_c8192,19,8192,1,0,719323136,87808,12.965598,218.314628,55.479362,3.294892
baseline_ht16384_c8192,20,8192,1,0,719323136,87808,12.900314,217.548724,55.760124,3.306492
baseline_ht16384_c8192,21,8192,1,0,719323136,87808,12.906008,219.345154,55.735523,3.279412
baseline_ht16384_c8192,22,8192,1,0,719323136,87808,12.936814,220.498942,55.602802,3.262252
baseline_ht16384_c8192,23,8192,1,0,719323136,87808,12.970302,217.425106,55.459244,3.308372
baseline_ht16384_c8192,24,8192,1,0,719323136,87808,12.919934,216.494572,55.675449,3.322592
baseline_ht16384_c8192,25,8192,1,0,719323136,87808,12.931947,216.553232,55.623730,3.321692
baseline_ht16384_c8192,26,8192,1,0,719323136,87808,12.946978,216.078368,55.559155,3.328992
baseline_ht16384_c8192,27,8192,1,0,719323136,87808,12.940145,220.658580,55.588490,3.259892
baseline_ht16384_c8192,28,8192,1,0,719323136,87808,12.812155,221.629436,56.143806,3.245612
baseline_ht16384_c8192,29,8192,1,0,719323136,87808,12.952570,216.895384,55.535168,3.316452
baseline_ht128_c65536,0,65536,1,0,719323136,10976,31.734821,194.114872,22.666683,3.705657
baseline_ht128_c65536,1,65536,1,0,719323136,10976,29.467085,191.861611,24.411072,3.749177
baseline_ht128_c65536,2,65536,1,0,719323136,10976,29.104162,192.923691,24.715473,3.728537
baseline_ht128_c65536,3,65536,1,0,719323136,10976,29.647906,193.247161,24.262190,3.722296
baseline_ht128_c65536,4,65536,1,0,719323136,10976,31.152823,194.813084,23.090143,3.692376
baseline_ht128_c65536,5,65536,1,0,719323136,10976,31.339474,198.687353,22.952623,3.620377
baseline_ht128_c65536,6,65536,1,0,719323136,10976,32.922987,195.395133,21.848660,3.681377
baseline_ht128_c65536,7,65536,1,0,719323136,10976,30.185677,201.201564,23.829948,3.575137
baseline_ht128_c65536,8,65536,1,0,719323136,10976,30.593683,199.454239,23.512146,3.606457
baseline_ht128_c65536,9,65536,1,0,719323136,10976,31.356140,199.693437,22.940424,3.602137
baseline_ht128_c65536,10,65536,1,0,719323136,10976,31.566838,193.280340,22.787304,3.721657
baseline_ht128_c65536,11,65536,1,0,719323136,10976,29.251156,189.562049,24.591272,3.794658
baseline_ht128_c65536,12,65536,1,0,719323136,10976,29.815574,199.321600,24.125751,3.608857
baseline_ht128_c65536,13,65536,1,0,719323136,10976,31.145107,191.626495,23.095863,3.753777
baseline_ht128_c65536,14,65536,1,0,719323136,10976,31.640261,192.857492,22.734425,3.729817
baseline_ht128_c65536,15,65536,1,0,719323136,10976,30.547219,190.908331,23.547909,3.767898
baseline_ht128_c65536,16,65536,1,0,719323136,10976,29.544592,200.949801,24.347033,3.579616
baseline_ht128_c65536,17,65536,1,0,719323136,10976,30.794332,200.231573,23.358946,3.592456
baseline_ht128_c65536,18,65536,1,0,719323136,10976,31.078041,196.404579,23.145704,3.662456
baseline_ht128_c65536,19,65536,1,0,719323136,10976,32.411842,196.406676,22.193220,3.662417
baseline_ht128_c65536,20,65536,1,0,719323136,10976,30.808153,197.177684,23.348467,3.648096
baseline_ht128_c65536,21,65536,1,0,719323136,10976,30.590142,197.394065,23.514868,3.644097
baseline_ht128_c65536,22,65536,1,0,719323136,10976,31.186913,201.127351,23.064903,3.576456
baseline_ht128_c65536,23,65536,1,0,719323136,10976,31.808887,192.347974,22.613905,3.739697
baseline_ht128_c65536,24,65536,1,0,719323136,10976,29.604516,199.593709,24.297750,3.603937
baseline_ht128_c65536,25,65536,1,0,719323136,10976,30.410381,199.669054,23.653868,3.602577
baseline_ht128_c65536,26,65536,1,0,719323136,10976,31.123599,191.076754,23.111824,3.764577
baseline_ht128_c65536,27,65536,1,0,719323136,10976,32.377296,190.754484,22.216900,3.770937
baseline_ht128_c65536,28,65536,1,0,719323136,10976,29.533384,192.774795,24.356272,3.731417
baseline_ht128_c65536,29,65536,1,0,719323136,10976,31.462678,197.832716,22.862743,3.636017
baseline_ht128_c8192,0,8192,1,0,719323136,87808,32.487031,254.121852,22.141855,2.830623
baseline_ht128_c8192,1,8192,1,0,719323136,87808,32.586207,256.929281,22.074467,2.799693
baseline_ht128_c8192,2,8192,1,0,719323136,87808,32.899611,252.169952,21.864183,2.852533
baseline_ht128_c8192,3,8192,1,0,719323136,87808,33.069979,249.065088,21.751545,2.888093
baseline_ht128_c8192,4,8192,1,0,719323136,87808,32.892208,248.239845,21.869104,2.897694
baseline_ht128_c8192,5,8192,1,0,719323136,87808,33.080567,248.796237,21.744583,2.891214
baseline_ht128_c8192,6,8192,1,0,719323136,87808,32.491946,250.703977,22.138506,2.869213
baseline_ht128_c8192,7,8192,1,0,719323136,87808,32.957795,248.048101,21.825584,2.899934
baseline_ht128_c8192,8,8192,1,0,719323136,87808,32.861195,248.546924,21.889744,2.894114
baseline_ht128_c8192,9,8192,1,0,719323136,87808,33.173811,249.652806,21.683464,2.881294
baseline_ht128_c8192,10,8192,1,0,719323136,87808,33.141714,250.848241,21.704464,2.867563
baseline_ht128_c8192,11,8192,1,0,719323136,87808,32.963896,246.859752,21.821545,2.913894
baseline_ht128_c8192,12,8192,1,0,719323136,87808,32.995771,251.715516,21.800465,2.857683
baseline_ht128_c8192,13,8192,1,0,719323136,87808,33.036748,246.626984,21.773424,2.916644
baseline_ht128_c8192,14,8192,1,0,719323136,87808,33.418616,248.748053,21.524624,2.891774
baseline_ht128_c8192,15,8192,1,0,719323136,87808,33.214986,249.885239,21.656584,2.878614
baseline_ht128_c8192,16,8192,1,0,719323136,87808,33.001768,250.806264,21.796503,2.868043
baseline_ht128_c8192,17,8192,1,0,719323136,87808,32.309922,247.716664,22.263227,2.903814
baseline_ht128_c8192,18,8192,1,0,719323136,87808,33.234753,252.194720,21.643703,2.852253
baseline_ht128_c8192,19,8192,1,0,719323136,87808,33.097370,246.968225,21.733543,2.912614
baseline_ht128_c8192,20,8192,1,0,719323136,87808,33.205540,257.909457,21.662745,2.789053
baseline_ht128_c8192,21,8192,1,0,719323136,87808,32.998918,254.331186,21.798386,2.828293
baseline_ht128_c8192,22,8192,1,0,719323136,87808,33.313187,251.551774,21.592745,2.859543
baseline_ht128_c8192,23,8192,1,0,719323136,87808,33.004489,245.622311,21.794706,2.928574
baseline_ht128_c8192,24,8192,1,0,719323136,87808,32.672007,250.230333,22.016497,2.874644
baseline_ht128_c8192,25,8192,1,0,719323136,87808,33.052656,247.631392,21.762945,2.904814
baseline_ht128_c8192,26,8192,1,0,719323136,87808,32.849665,252.113395,21.897427,2.853173
baseline_ht128_c8192,27,8192,1,0,719323136,87808,33.137818,247.280656,21.707016,2.908934
baseline_ht128_c8192,28,8192,1,0,719323136,87808,32.963412,247.713267,21.821865,2.903854
baseline_ht128_c8192,29,8192,1,0,719323136,87808,32.909539,249.037416,21.857588,2.888414
a1_ht16384_c65536,0,65536,1,0,719323136,10976,6.843128,145.335829,105.116135,4.949386
a1_ht16384_c65536,1,65536,1,0,719323136,10976,6.800418,144.289814,105.776314,4.985266
a1_ht16384_c65536,2,65536,1,0,719323136,10976,6.830476,146.034556,105.310829,4.925705
a1_ht16384_c65536,3,65536,1,0,719323136,10976,6.898070,130.930073,104.278893,5.493949
a1_ht16384_c65536,4,65536,1,0,719323136,10976,6.839879,156.719931,105.166061,4.589864
a1_ht16384_c65536,5,65536,1,0,719323136,10976,6.862472,156.065715,104.819824,4.609104
a1_ht16384_c65536,6,65536,1,0,719323136,10976,6.892150,156.964780,104.368462,4.582704
a1_ht16384_c65536,7,65536,1,0,719323136,10976,6.823051,155.419644,105.425430,4.628264
a1_ht16384_c65536,8,65536,1,0,719323136,10976,6.817961,155.249234,105.504150,4.633344
a1_ht16384_c65536,9,65536,1,0,719323136,10976,6.841822,158.011633,105.136192,4.552343
a1_ht16384_c65536,10,65536,1,0,719323136,10976,6.788909,156.105008,105.955635,4.607944
a1_ht16384_c65536,11,65536,1,0,719323136,10976,6.805305,156.900408,105.700356,4.584584
a1_ht16384_c65536,12,65536,1,0,719323136,10976,6.914533,157.477491,104.030624,4.567784
a1_ht16384_c65536,13,65536,1,0,719323136,10976,6.990294,157.811917,102.903137,4.558104
