Tag,Rep,ChunkSize,NumFiles,Duplicates,UncompressedBytes,Chunks,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs
contig128_c65536,0,65536,1,0,719323136,10976,31.510564,189.744761,22.827999,3.791004
contig128_c65536,1,65536,1,0,719323136,10976,29.439793,201.884488,24.433702,3.563043
contig128_c65536,2,65536,1,0,719323136,10976,28.670237,198.646420,25.089542,3.621123
contig128_c65536,3,65536,1,0,719323136,10976,29.876414,191.596535,24.076622,3.754364
contig128_c65536,4,65536,1,0,719323136,10976,29.313054,197.018536,24.539345,3.651043
contig128_c65536,5,65536,1,0,719323136,10976,30.780212,190.615672,23.369661,3.773683
contig128_c65536,6,65536,1,0,719323136,10976,30.941447,193.278940,23.247883,3.721684
contig128_c65536,7,65536,1,0,719323136,10976,29.672866,192.243771,24.241781,3.741724
contig128_c65536,8,65536,1,0,719323136,10976,30.674001,196.019863,23.450581,3.669644
contig128_c65536,9,65536,1,0,719323136,10976,31.885258,200.167608,22.559740,3.593604
contig128_c65536,10,65536,1,0,719323136,10976,31.810808,197.755108,22.612539,3.637444
contig128_c65536,11,65536,1,0,719323136,10976,30.790068,189.548806,23.362181,3.794923
contig128_c65536,12,65536,1,0,719323136,10976,30.592700,191.764127,23.512901,3.751083
contig128_c65536,13,65536,1,0,719323136,10976,30.019249,191.199358,23.962063,3.762163
contig128_c65536,14,65536,1,0,719323136,10976,33.002135,190.637906,21.796261,3.773243
contig128_c65536,15,65536,1,0,719323136,10976,31.993209,197.085473,22.483620,3.649803
contig128_c65536,16,65536,1,0,719323136,10976,30.861401,191.437447,23.308182,3.757484
contig128_c65536,17,65536,1,0,719323136,10976,30.675049,195.436218,23.449780,3.680603
contig128_c65536,18,65536,1,0,719323136,10976,30.370588,191.476228,23.684860,3.756723
contig128_c65536,19,65536,1,0,719323136,10976,29.229677,199.547967,24.609343,3.604763
contig128_c65536,20,65536,1,0,719323136,10976,32.529924,190.769308,22.112659,3.770644
contig128_c65536,21,65536,1,0,719323136,10976,31.896795,193.482787,22.551580,3.717763
contig128_c65536,22,65536,1,0,719323136,10976,30.707626,192.678436,23.424902,3.733283
contig128_c65536,23,65536,1,0,719323136,10976,30.720744,200.063002,23.414900,3.595483
contig128_c65536,24,65536,1,0,719323136,10976,29.438538,191.915518,24.434744,3.748124
contig128_c65536,25,65536,1,0,719323136,10976,32.415697,198.514801,22.190580,3.623524
contig128_c65536,26,65536,1,0,719323136,10976,31.748467,199.446170,22.656940,3.606603
contig128_c65536,27,65536,1,0,719323136,10976,30.964708,198.530189,23.230419,3.623243
contig128_c65536,28,65536,1,0,719323136,10976,30.875759,195.113863,23.297342,3.686684
contig128_c65536,29,65536,1,0,719323136,10976,29.739453,198.538955,24.187504,3.623083
spread128_c65536,0,65536,1,0,719323136,10976,14.703188,193.872797,48.922935,3.710284
spread128_c65536,1,65536,1,0,719323136,10976,14.596591,191.578164,49.280216,3.754724
spread128_c65536,2,65536,1,0,719323136,10976,14.676225,193.495220,49.012817,3.717524
spread128_c65536,3,65536,1,0,719323136,10976,14.706459,194.434571,48.912056,3.699564
spread128_c65536,4,65536,1,0,719323136,10976,14.636674,195.589217,49.145260,3.677724
spread128_c65536,5,65536,1,0,719323136,10976,14.604556,195.012290,49.253338,3.688604
spread128_c65536,6,65536,1,0,719323136,10976,14.681101,196.473837,48.996540,3.661165
spread128_c65536,7,65536,1,0,719323136,10976,14.552790,191.559797,49.428539,3.755084
spread128_c65536,8,65536,1,0,719323136,10976,14.629482,192.893274,49.169418,3.729125
spread128_c65536,9,65536,1,0,719323136,10976,14.408968,192.325964,49.921906,3.740125
spread128_c65536,10,65536,1,0,719323136,10976,14.692676,193.160556,48.957939,3.723965
spread128_c65536,11,65536,1,0,719323136,10976,14.663537,194.447127,49.055225,3.699325
spread128_c65536,12,65536,1,0,719323136,10976,14.626519,191.476119,49.179379,3.756725
spread128_c65536,13,65536,1,0,719323136,10976,14.576712,191.629197,49.347420,3.753724
spread128_c65536,14,65536,1,0,719323136,10976,14.608103,180.411487,49.241379,3.987125
spread128_c65536,15,65536,1,0,719323136,10976,14.712389,185.104171,48.892342,3.886045
spread128_c65536,16,65536,1,0,719323136,10976,14.377852,186.652704,50.029945,3.853805
spread128_c65536,17,65536,1,0,719323136,10976,14.633028,182.428340,49.157505,3.943045
spread128_c65536,18,65536,1,0,719323136,10976,14.698271,185.486017,48.939304,3.878045
spread128_c65536,19,65536,1,0,719323136,10976,14.563372,182.994530,49.392624,3.930845
spread128_c65536,20,65536,1,0,719323136,10976,14.642429,184.678361,49.125942,3.895005
spread128_c65536,21,65536,1,0,719323136,10976,14.422732,186.142644,49.874264,3.864365
spread128_c65536,22,65536,1,0,719323136,10976,14.500979,183.560503,49.605145,3.918725
spread128_c65536,23,65536,1,0,719323136,10976,14.578318,193.657748,49.341984,3.714404
spread128_c65536,24,65536,1,0,719323136,10976,14.630992,188.927403,49.164345,3.807405
spread128_c65536,25,65536,1,0,719323136,10976,14.373415,180.254151,50.045387,3.990605
spread128_c65536,26,65536,1,0,719323136,10976,14.714422,186.786484,48.885586,3.851045
spread128_c65536,27,65536,1,0,719323136,10976,14.604495,182.057111,49.253544,3.951085
spread128_c65536,28,65536,1,0,719323136,10976,14.642727,184.388643,49.124943,3.901125
spread128_c65536,29,65536,1,0,719323136,10976,14.580433,188.481863,49.334827,3.816405
