Tag,Rep,ChunkSize,NumFiles,Duplicates,UncompressedBytes,Chunks,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs
ht128_c65536,0,65536,1,512,527433728,8208,7.023416,85.065582,75.096466,6.200319
ht128_c65536,1,65536,1,512,527433728,8208,6.983881,84.224465,75.521584,6.262239
ht128_c65536,2,65536,1,512,527433728,8208,7.112429,81.227640,74.156624,6.493279
ht128_c65536,3,65536,1,512,527433728,8208,6.947494,83.509688,75.917114,6.315839
ht128_c65536,4,65536,1,512,527433728,8208,7.094672,82.362114,74.342232,6.403839
ht128_c65536,5,65536,1,512,527433728,8208,7.020350,86.505404,75.129265,6.097119
ht128_c65536,6,65536,1,512,527433728,8208,7.149636,85.860986,73.770714,6.142880
ht128_c65536,7,65536,1,512,527433728,8208,6.932096,88.781611,76.085754,5.940799
ht128_c65536,8,65536,1,512,527433728,8208,7.211685,87.307275,73.135994,6.041120
ht128_c65536,9,65536,1,512,527433728,8208,7.003421,82.640863,75.310875,6.382239
ht128_c65536,10,65536,1,512,527433728,8208,7.143547,89.865909,73.833595,5.869119
ht128_c65536,11,65536,1,512,527433728,8208,7.144709,84.418585,73.821587,6.247839
ht128_c65536,12,65536,1,512,527433728,8208,7.052596,85.526846,74.785751,6.166879
ht128_c65536,13,65536,1,512,527433728,8208,7.174626,90.926830,73.513756,5.800639
ht128_c65536,14,65536,1,512,527433728,8208,6.786445,84.864109,77.718712,6.215039
ht128_c65536,15,65536,1,512,527433728,8208,6.747080,80.787702,78.172150,6.528639
ht128_c65536,16,65536,1,512,527433728,8208,6.933685,84.526816,76.068314,6.239839
ht128_c65536,17,65536,1,512,527433728,8208,6.911139,90.814111,76.316467,5.807839
ht128_c65536,18,65536,1,512,527433728,8208,6.866783,84.399132,76.809433,6.249279
ht128_c65536,19,65536,1,512,527433728,8208,6.814221,92.054213,77.401909,5.729599
ht128_c65536,20,65536,1,512,527433728,8208,6.975338,90.664231,75.614075,5.817440
ht128_c65536,21,65536,1,512,527433728,8208,6.930406,84.731043,76.104309,6.224799
ht128_c65536,22,65536,1,512,527433728,8208,6.796925,89.851214,77.598869,5.870079
ht128_c65536,23,65536,1,512,527433728,8208,6.779508,83.157877,77.798233,6.342559
