Tag,Rep,ChunkSize,NumFiles,Duplicates,UncompressedBytes,Chunks,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs
pad0,0,65536,1,512,527433728,8208,6.815383,82.181337,77.388710,6.417926
pad0,1,65536,1,512,527433728,8208,6.882935,91.456481,76.629189,5.767046
pad0,2,65536,1,512,527433728,8208,6.743719,84.791989,78.211105,6.220325
pad0,3,65536,1,512,527433728,8208,6.807643,84.401213,77.476707,6.249125
pad0,4,65536,1,512,527433728,8208,6.921100,91.426039,76.206635,5.768966
pad0,5,65536,1,512,527433728,8208,6.757972,84.409843,78.046150,6.248486
pad0,6,65536,1,512,527433728,8208,6.870970,85.473545,76.762627,6.170725
pad0,7,65536,1,512,527433728,8208,6.812947,87.048975,77.416389,6.059046
pad0,8,65536,1,512,527433728,8208,6.793221,86.002026,77.641190,6.132806
pad0,9,65536,1,512,527433728,8208,6.918892,87.374296,76.230949,6.036486
pad0,10,65536,1,512,527433728,8208,6.866018,83.930587,76.817993,6.284166
pad0,11,65536,1,512,527433728,8208,6.806658,86.682727,77.487915,6.084646
pad0,12,65536,1,512,527433728,8208,6.688901,86.168395,78.852074,6.120965
pad0,13,65536,1,512,527433728,8208,6.870326,85.030388,76.769829,6.202885
pad0,14,65536,1,512,527433728,8208,6.778818,85.593373,77.806152,6.162086
pad0,15,65536,1,512,527433728,8208,6.849170,79.209392,77.006950,6.658727
pad0,16,65536,1,512,527433728,8208,6.708107,83.694051,78.626312,6.301926
pad0,17,65536,1,512,527433728,8208,6.938655,87.564616,76.013832,6.023366
pad0,18,65536,1,512,527433728,8208,6.720949,90.739024,78.476074,5.812645
pad0,19,65536,1,512,527433728,8208,6.921362,84.468244,76.203751,6.244166
pad0,20,65536,1,512,527433728,8208,6.731284,83.560410,78.355591,6.312005
pad0,21,65536,1,512,527433728,8208,6.808992,84.112619,77.461349,6.270566
pad0,22,65536,1,512,527433728,8208,6.760966,91.344973,78.011589,5.774086
pad0,23,65536,1,512,527433728,8208,6.847051,84.693953,77.030792,6.227525
pad0,24,65536,1,512,527433728,8208,6.877435,91.286812,76.690475,5.777765
pad0,25,65536,1,512,527433728,8208,6.866504,84.791976,76.812553,6.220326
pad0,26,65536,1,512,527433728,8208,6.745264,81.648034,78.193192,6.459846
pad0,27,65536,1,512,527433728,8208,6.766531,84.450928,77.947433,6.245446
pad0,28,65536,1,512,527433728,8208,6.785837,84.416330,77.725670,6.248006
pad0,29,65536,1,512,527433728,8208,6.777982,82.557981,77.815750,6.388646
pad32,0,65536,1,512,527433728,8208,6.570931,82.564212,80.267731,6.388164
pad32,1,65536,1,512,527433728,8208,6.538854,88.593044,80.661491,5.953444
pad32,2,65536,1,512,527433728,8208,6.562494,93.362936,80.370926,5.649284
pad32,3,65536,1,512,527433728,8208,6.556281,85.138011,80.447090,6.195044
pad32,4,65536,1,512,527433728,8208,6.540645,86.964035,80.639404,6.064964
pad32,5,65536,1,512,527433728,8208,6.557951,92.610175,80.426605,5.695203
pad32,6,65536,1,512,527433728,8208,6.538945,86.177417,80.660370,6.120324
pad32,7,65536,1,512,527433728,8208,6.555669,84.533250,80.454605,6.239364
pad32,8,65536,1,512,527433728,8208,6.574942,85.666804,80.218765,6.156804
pad32,9,65536,1,512,527433728,8208,6.538816,87.632151,80.661964,6.018724
pad32,10,65536,1,512,527433728,8208,6.582688,89.448854,80.124367,5.896484
pad32,11,65536,1,512,527433728,8208,6.524696,94.674144,80.836525,5.571043
pad32,12,65536,1,512,527433728,8208,6.580297,87.889172,80.153488,6.001123
pad32,13,65536,1,512,527433728,8208,6.547934,87.012237,80.549644,6.061604
pad32,14,65536,1,512,527433728,8208,6.541981,93.715962,80.622932,5.628003
pad32,15,65536,1,512,527433728,8208,6.553582,86.698714,80.480217,6.083524
pad32,16,65536,1,512,527433728,8208,6.498764,84.995314,81.159088,6.205445
pad32,17,65536,1,512,527433728,8208,6.501339,85.118225,81.126938,6.196484
pad32,18,65536,1,512,527433728,8208,6.502558,89.052577,81.111732,5.922723
pad32,19,65536,1,512,527433728,8208,6.544722,87.159479,80.589172,6.051364
pad32,20,65536,1,512,527433728,8208,6.522720,87.483310,80.861015,6.028964
pad32,21,65536,1,512,527433728,8208,6.502185,88.400606,81.116379,5.966404
pad32,22,65536,1,512,527433728,8208,6.539982,85.653437,80.647575,6.157765
pad32,23,65536,1,512,527433728,8208,6.508245,87.702092,81.040855,6.013924
pad32,24,65536,1,512,527433728,8208,6.484956,87.618178,81.331894,6.019684
pad32,25,65536,1,512,527433728,8208,6.509157,86.462222,81.029495,6.100164
pad32,26,65536,1,512,527433728,8208,6.582004,92.769138,80.132698,5.685444
pad32,27,65536,1,512,527433728,8208,6.526374,84.744046,80.815735,6.223844
pad32,28,65536,1,512,527433728,8208,6.564427,86.616708,80.347260,6.089284
pad32,29,65536,1,512,527433728,8208,6.535937,88.249145,80.697495,5.976644
pad8160,0,65536,1,512,527433728,8208,6.494744,82.308585,81.209320,6.408004
pad8160,1,65536,1,512,527433728,8208,6.475059,88.571634,81.456200,5.954883
pad8160,2,65536,1,512,527433728,8208,6.500174,87.150277,81.141479,6.052003
pad8160,3,65536,1,512,527433728,8208,6.472376,87.244843,81.489967,6.045443
pad8160,4,65536,1,512,527433728,8208,6.459883,86.498524,81.647568,6.097604
pad8160,5,65536,1,512,527433728,8208,6.457404,93.999232,81.678917,5.611043
pad8160,6,65536,1,512,527433728,8208,6.456682,87.872771,81.688049,6.002243
pad8160,7,65536,1,512,527433728,8208,6.515861,90.435357,80.946129,5.832163
pad8160,8,65536,1,512,527433728,8208,6.507230,86.487175,81.053490,6.098404
pad8160,9,65536,1,512,527433728,8208,6.421027,84.798548,82.141647,6.219844
pad8160,10,65536,1,512,527433728,8208,6.485416,85.440342,81.326126,6.173123
pad8160,11,65536,1,512,527433728,8208,6.437466,87.966554,81.931885,5.995844
pad8160,12,65536,1,512,527433728,8208,6.430183,86.430482,82.024689,6.102404
pad8160,13,65536,1,512,527433728,8208,6.470928,88.374551,81.508209,5.968163
pad8160,14,65536,1,512,527433728,8208,6.478023,93.601526,81.418930,5.634884
pad8160,15,65536,1,512,527433728,8208,6.468642,85.773797,81.537010,6.149124
pad8160,16,65536,1,512,527433728,8208,6.499904,89.076623,81.144852,5.921124
pad8160,17,65536,1,512,527433728,8208,6.501661,93.294253,81.122925,5.653443
pad8160,18,65536,1,512,527433728,8208,6.484880,87.613521,81.332848,6.020004
pad8160,19,65536,1,512,527433728,8208,6.468858,88.395866,81.534286,5.966724
pad8160,20,65536,1,512,527433728,8208,6.467043,86.035734,81.557167,6.130403
pad8160,21,65536,1,512,527433728,8208,6.505651,88.719416,81.073166,5.944964
pad8160,22,65536,1,512,527433728,8208,6.414904,87.580944,82.220047,6.022243
pad8160,23,65536,1,512,527433728,8208,6.466003,88.431449,81.570290,5.964323
pad8160,24,65536,1,512,527433728,8208,6.479119,88.260975,81.405167,5.975843
pad8160,25,65536,1,512,527433728,8208,6.473914,85.367312,81.470612,6.178404
pad8160,26,65536,1,512,527433728,8208,6.431299,83.465218,82.010445,6.319204
pad8160,27,65536,1,512,527433728,8208,6.455733,88.925255,81.700050,5.931203
pad8160,28,65536,1,512,527433728,8208,6.476560,85.248108,81.437325,6.187043
pad8160,29,65536,1,512,527433728,8208,6.444425,83.566780,81.843407,6.311524
pad16288,0,65536,1,512,527433728,8208,6.425551,81.638025,82.083817,6.460638
pad16288,1,65536,1,512,527433728,8208,6.482819,89.354383,81.358696,5.902718
pad16288,2,65536,1,512,527433728,8208,6.483291,97.163380,81.352776,5.428318
pad16288,3,65536,1,512,527433728,8208,6.481646,97.730844,81.373421,5.396799
pad16288,4,65536,1,512,527433728,8208,6.475916,97.875929,81.445419,5.388799
pad16288,5,65536,1,512,527433728,8208,6.501769,87.734843,81.121574,6.011679
pad16288,6,65536,1,512,527433728,8208,6.463752,91.254066,81.598694,5.779838
