Tag,Rep,ChunkSize,NumFiles,Duplicates,UncompressedBytes,Chunks,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs
ht64_c65536,0,65536,1,512,527433728,8208,63.979116,127.493039,8.243842,4.136961
ht64_c65536,1,65536,1,512,527433728,8208,63.582986,123.620368,8.295202,4.266560
ht64_c65536,2,65536,1,512,527433728,8208,63.316759,129.700181,8.330081,4.066561
ht64_c65536,3,65536,1,512,527433728,8208,63.882408,126.243113,8.256322,4.177921
ht64_c65536,4,65536,1,512,527433728,8208,63.902227,125.359745,8.253761,4.207361
ht64_c65536,5,65536,1,512,527433728,8208,64.421743,128.331842,8.187201,4.109921
ht64_c65536,6,65536,1,512,527433728,8208,63.253583,128.712687,8.338401,4.097760
ht64_c65536,7,65536,1,512,527433728,8208,63.720644,122.118283,8.277282,4.319040
ht64_c65536,8,65536,1,512,527433728,8208,64.229688,125.459945,8.211681,4.204001
ht64_c65536,9,65536,1,512,527433728,8208,62.806461,128.516958,8.397762,4.104001
ht64_c65536,10,65536,1,512,527433728,8208,64.257232,126.465900,8.208161,4.170561
ht64_c65536,11,65536,1,512,527433728,8208,63.634541,123.011417,8.288482,4.287681
ht64_c65536,12,65536,1,512,527433728,8208,64.489794,123.861873,8.178561,4.258241
ht64_c65536,13,65536,1,512,527433728,8208,64.396569,125.823883,8.190401,4.191841
ht64_c65536,14,65536,1,512,527433728,8208,64.189670,125.713527,8.216801,4.195521
ht64_c65536,15,65536,1,512,527433728,8208,63.470357,123.066532,8.309922,4.285761
ht64_c65536,16,65536,1,512,527433728,8208,63.624724,123.066532,8.289761,4.285761
ht64_c65536,17,65536,1,512,527433728,8208,63.586670,125.231199,8.294722,4.211680
ht64_c65536,18,65536,1,512,527433728,8208,64.262242,124.809174,8.207521,4.225921
ht64_c65536,19,65536,1,512,527433728,8208,63.894793,123.796760,8.254722,4.260481
ht64_c65536,20,65536,1,512,527433728,8208,64.603538,120.515483,8.164162,4.376481
ht64_c65536,21,65536,1,512,527433728,8208,63.581758,125.694356,8.295362,4.196161
ht64_c65536,22,65536,1,512,527433728,8208,63.930733,130.640826,8.250081,4.037281
ht64_c65536,23,65536,1,512,527433728,8208,63.618576,123.717765,8.290562,4.263201
ht64_c65536,24,65536,1,512,527433728,8208,64.356336,125.584213,8.195521,4.199841
ht64_c65536,25,65536,1,512,527433728,8208,64.197159,124.728896,8.215842,4.228641
ht64_c65536,26,65536,1,512,527433728,8208,64.140961,124.141749,8.223041,4.248641
ht64_c65536,27,65536,1,512,527433728,8208,64.726591,122.613356,8.148641,4.301601
ht64_c65536,28,65536,1,512,527433728,8208,64.123492,122.993088,8.225281,4.288320
ht64_c65536,29,65536,1,512,527433728,8208,63.447158,124.908524,8.312961,4.222560
ht128_c65536,0,65536,1,512,527433728,8208,58.341362,126.495100,9.040477,4.169598
ht128_c65536,1,65536,1,512,527433728,8208,58.785620,125.584298,8.972156,4.199838
ht128_c65536,2,65536,1,512,527433728,8208,59.080615,126.209334,8.927357,4.179039
ht128_c65536,3,65536,1,512,527433728,8208,59.871447,124.894350,8.809437,4.223039
ht128_c65536,4,65536,1,512,527433728,8208,59.294216,129.547365,8.895197,4.071358
ht128_c65536,5,65536,1,512,527433728,8208,59.405342,128.067657,8.878557,4.118399
ht128_c65536,6,65536,1,512,527433728,8208,59.223908,124.319745,8.905757,4.242558
