Tag,Rep,ChunkSize,NumFiles,Duplicates,UncompressedBytes,Chunks,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs
422ec6f,0,65536,1,64,60817408,1040,21.066494,261.826874,2.886926,0.232281
422ec6f,1,65536,1,64,60817408,1040,21.077305,264.376388,2.885445,0.230041
422ec6f,2,65536,1,64,60817408,1040,20.823565,263.460170,2.920605,0.230841
422ec6f,3,65536,1,64,60817408,1040,20.795085,259.016825,2.924605,0.234801
422ec6f,4,65536,1,64,60817408,1040,20.937983,264.056123,2.904645,0.230320
ca26a31,0,65536,1,64,60817408,1040,19.461807,214.811411,3.124962,0.283120
ca26a31,1,65536,1,64,60817408,1040,19.525539,214.811411,3.114762,0.283120
ca26a31,2,65536,1,64,60817408,1040,19.344194,216.957086,3.143962,0.280320
ca26a31,3,65536,1,64,60817408,1040,19.164976,263.460170,3.173362,0.230841
ca26a31,4,65536,1,64,60817408,1040,20.903462,262.913467,2.909442,0.231321
