Tag,Rep,ChunkSize,NumFiles,Duplicates,UncompressedBytes,Chunks,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs
35a6442,0,65536,1,512,527433728,8208,79.632481,142.279168,6.623349,3.707034
35a6442,1,65536,1,512,527433728,8208,80.081282,136.936230,6.586230,3.851674
35a6442,2,65536,1,512,527433728,8208,80.085173,146.379459,6.585910,3.603195
35a6442,3,65536,1,512,527433728,8208,79.935651,128.537224,6.598229,4.103354
35a6442,4,65536,1,512,527433728,8208,79.844639,131.328070,6.605750,4.016154
35a6442,5,65536,1,512,527433728,8208,79.862060,134.957286,6.604309,3.908153
35a6442,6,65536,1,512,527433728,8208,79.782814,130.822548,6.610869,4.031673
35a6442,7,65536,1,512,527433728,8208,79.982187,143.044741,6.594390,3.687194
35a6442,8,65536,1,512,527433728,8208,79.931775,136.347185,6.598549,3.868314
35a6442,9,65536,1,512,527433728,8208,79.759635,133.828591,6.612790,3.941114
35a6442,10,65536,1,512,527433728,8208,80.022970,158.575413,6.591029,3.326075
35a6442,11,65536,1,512,527433728,8208,80.209887,136.324633,6.575670,3.868954
35a6442,12,65536,1,512,527433728,8208,79.914324,130.905643,6.599990,4.029114
35a6442,13,65536,1,512,527433728,8208,79.949212,130.864059,6.597110,4.030394
35a6442,14,65536,1,512,527433728,8208,79.883337,138.722603,6.602550,3.802075
35a6442,15,65536,1,512,527433728,8208,79.649798,150.537328,6.621909,3.503674
35a6442,16,65536,1,512,527433728,8208,79.622856,136.032100,6.624150,3.877274
35a6442,17,65536,1,512,527433728,8208,79.740344,134.714582,6.614390,3.915194
35a6442,18,65536,1,512,527433728,8208,79.536403,140.646222,6.631350,3.750074
35a6442,19,65536,1,512,527433728,8208,79.765427,137.455802,6.612310,3.837115
35a6442,20,65536,1,512,527433728,8208,79.931775,151.603460,6.598549,3.479035
35a6442,21,65536,1,512,527433728,8208,79.455895,148.109152,6.638069,3.561115
35a6442,22,65536,1,512,527433728,8208,79.794389,134.237315,6.609910,3.929114
35a6442,23,65536,1,512,527433728,8208,80.048219,135.450791,6.588950,3.893914
35a6442,24,65536,1,512,527433728,8208,80.077386,132.335035,6.586550,3.985594
35a6442,25,65536,1,512,527433728,8208,80.077404,148.289048,6.586549,3.556795
35a6442,26,65536,1,512,527433728,8208,80.065718,149.228858,6.587510,3.534395
35a6442,27,65536,1,512,527433728,8208,79.738413,152.720206,6.614550,3.453595
35a6442,28,65536,1,512,527433728,8208,79.711422,152.409525,6.616790,3.460635
35a6442,29,65536,1,512,527433728,8208,79.701784,140.388659,6.617590,3.756954
