Tag,Rep,ChunkSize,NumFiles,Duplicates,UncompressedBytes,Chunks,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs
39768fb,0,65536,1,512,527433728,8208,35.103598,161.719789,15.025062,3.261405
39768fb,1,65536,1,512,527433728,8208,34.248535,188.398452,15.400184,2.799565
39768fb,2,65536,1,512,527433728,8208,35.298486,183.154201,14.942106,2.879725
39768fb,3,65536,1,512,527433728,8208,35.089950,185.702700,15.030906,2.840205
39768fb,4,65536,1,512,527433728,8208,34.049366,187.117910,15.490266,2.818724
39768fb,5,65536,1,512,527433728,8208,36.041410,186.646439,14.634104,2.825844
39768fb,6,65536,1,512,527433728,8208,35.107703,184.468726,15.023305,2.859204
39768fb,7,65536,1,512,527433728,8208,34.585126,188.057211,15.250305,2.804645
39768fb,8,65536,1,512,527433728,8208,34.307254,182.781056,15.373825,2.885604
39768fb,9,65536,1,512,527433728,8208,35.642172,187.386486,14.798024,2.814684
39768fb,10,65536,1,512,527433728,8208,31.745984,182.024030,16.614187,2.897605
39768fb,11,65536,1,512,527433728,8208,35.171759,186.961368,14.995944,2.821084
39768fb,12,65536,1,512,527433728,8208,35.147663,186.506454,15.006225,2.827965
39768fb,13,65536,1,512,527433728,8208,31.625225,182.649325,16.677628,2.887685
39768fb,14,65536,1,512,527433728,8208,35.217789,184.528104,14.976344,2.858284
39768fb,15,65536,1,512,527433728,8208,34.946824,184.509959,15.092465,2.858565
39768fb,16,65536,1,512,527433728,8208,33.142445,187.816205,15.914146,2.808244
39768fb,17,65536,1,512,527433728,8208,35.296695,183.093157,14.942864,2.880685
39768fb,18,65536,1,512,527433728,8208,35.264338,158.116666,14.956575,3.335725
39768fb,19,65536,1,512,527433728,8208,34.774481,187.800085,15.167264,2.808485
39768fb,20,65536,1,512,527433728,8208,35.872075,187.216137,14.703184,2.817245
39768fb,21,65536,1,512,527433728,8208,35.347318,186.064311,14.921464,2.834685
39768fb,22,65536,1,512,527433728,8208,34.870211,187.022363,15.125625,2.820164
39768fb,23,65536,1,512,527433728,8208,33.781734,185.964600,15.612986,2.836205
39768fb,24,65536,1,512,527433728,8208,36.374781,183.526391,14.499984,2.873885
39768fb,25,65536,1,512,527433728,8208,35.292918,184.203227,14.944464,2.863325
39768fb,26,65536,1,512,527433728,8208,32.579949,184.592620,16.188906,2.857285
39768fb,27,65536,1,512,527433728,8208,35.177763,187.229431,14.993384,2.817045
39768fb,28,65536,1,512,527433728,8208,35.210170,184.745219,14.979585,2.854925
39768fb,29,65536,1,512,527433728,8208,34.164321,188.105502,15.438145,2.803925
