Tag,Rep,ChunkSize,NumFiles,Duplicates,UncompressedBytes,Chunks,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs
78efd62,0,65536,1,512,527433728,8208,68.921918,142.784520,7.652627,3.693914
78efd62,1,65536,1,512,527433728,8208,69.237498,135.250758,7.617747,3.899673
78efd62,2,65536,1,512,527433728,8208,69.182271,134.467298,7.623828,3.922394
78efd62,3,65536,1,512,527433728,8208,69.067759,139.150139,7.636468,3.790393
78efd62,4,65536,1,512,527433728,8208,69.109752,131.035753,7.631828,4.025113
78efd62,5,65536,1,512,527433728,8208,69.298630,140.748305,7.611027,3.747354
78efd62,6,65536,1,512,527433728,8208,68.956519,131.527208,7.648787,4.010073
78efd62,7,65536,1,512,527433728,8208,69.297171,142.211649,7.611187,3.708794
78efd62,8,65536,1,512,527433728,8208,69.316105,128.247208,7.609108,4.112633
78efd62,9,65536,1,512,527433728,8208,69.305912,139.091390,7.610227,3.791994
78efd62,10,65536,1,512,527433728,8208,69.082240,138.909735,7.634867,3.796953
78efd62,11,65536,1,512,527433728,8208,69.224412,139.722208,7.619187,3.774874
78efd62,12,65536,1,512,527433728,8208,69.140198,130.988890,7.628467,4.026553
78efd62,13,65536,1,512,527433728,8208,69.103975,133.395381,7.632466,3.953913
78efd62,14,65536,1,512,527433728,8208,69.063425,152.465963,7.636947,3.459354
78efd62,15,65536,1,512,527433728,8208,69.319037,135.139863,7.608786,3.902873
78efd62,16,65536,1,512,527433728,8208,69.172108,130.635904,7.624948,4.037433
78efd62,17,65536,1,512,527433728,8208,69.217143,143.007513,7.619987,3.688154
78efd62,18,65536,1,512,527433728,8208,68.999819,152.135251,7.643987,3.466874
78efd62,19,65536,1,512,527433728,8208,69.151804,136.760123,7.627187,3.856634
78efd62,20,65536,1,512,527433728,8208,69.034489,130.801787,7.640148,4.032313
78efd62,21,65536,1,512,527433728,8208,69.266595,132.468020,7.614547,3.981593
78efd62,22,65536,1,512,527433728,8208,69.103953,142.642415,7.632468,3.697594
78efd62,23,65536,1,512,527433728,8208,69.182279,143.893979,7.623827,3.665433
78efd62,24,65536,1,512,527433728,8208,68.908942,143.349549,7.654068,3.679354
78efd62,25,65536,1,512,527433728,8208,68.998377,131.213097,7.644147,4.019673
78efd62,26,65536,1,512,527433728,8208,69.289878,140.340842,7.611988,3.758234
78efd62,27,65536,1,512,527433728,8208,69.060532,152.332094,7.637267,3.462394
78efd62,28,65536,1,512,527433728,8208,69.127149,142.174853,7.629907,3.709754
78efd62,29,65536,1,512,527433728,8208,69.164859,145.193196,7.625747,3.632634
e9238c2,0,65536,1,512,527433728,8208,68.854255,138.781076,7.660147,3.800473
e9238c2,1,65536,1,512,527433728,8208,69.327775,138.530258,7.607827,3.807354
e9238c2,2,65536,1,512,527433728,8208,69.276773,142.679491,7.613428,3.696633
e9238c2,3,65536,1,512,527433728,8208,69.193895,130.635904,7.622547,4.037433
e9238c2,4,65536,1,512,527433728,8208,69.182279,143.312152,7.623827,3.680314
e9238c2,5,65536,1,512,527433728,8208,69.297171,132.804198,7.611187,3.971514
e9238c2,6,65536,1,512,527433728,8208,69.114096,128.878975,7.631348,4.092473
e9238c2,7,65536,1,512,527433728,8208,69.236033,133.530466,7.617908,3.949913
e9238c2,8,65536,1,512,527433728,8208,69.185183,143.069581,7.623507,3.686554
e9238c2,9,65536,1,512,527433728,8208,69.253498,139.722208,7.615987,3.774874
e9238c2,10,65536,1,512,527433728,8208,69.072098,134.582585,7.635988,3.919034
e9238c2,11,65536,1,512,527433728,8208,69.173570,139.633435,7.624787,3.777274
e9238c2,12,65536,1,512,527433728,8208,69.300085,144.823229,7.610867,3.641914
e9238c2,13,65536,1,512,527433728,8208,69.222956,137.777603,7.619347,3.828153
e9238c2,14,65536,1,512,527433728,8208,69.298617,130.176778,7.611028,4.051673
e9238c2,15,65536,1,512,527433728,8208,69.011377,138.652620,7.642707,3.803994
e9238c2,16,65536,1,512,527433728,8208,68.996930,139.468016,7.644307,3.781754
e9238c2,17,65536,1,512,527433728,8208,69.096731,132.558573,7.633266,3.978873
e9238c2,18,65536,1,512,527433728,8208,69.175019,127.933649,7.624627,4.122713
e9238c2,19,65536,1,512,527433728,8208,69.204064,134.089921,7.621427,3.933433
e9238c2,20,65536,1,512,527433728,8208,69.272408,146.829374,7.613908,3.592154
e9238c2,21,65536,1,512,527433728,8208,69.054746,141.978936,7.637907,3.714873
e9238c2,22,65536,1,512,527433728,8208,68.939203,137.398586,7.650708,3.838713
e9238c2,23,65536,1,512,527433728,8208,69.249123,142.796889,7.616468,3.693594
e9238c2,24,65536,1,512,527433728,8208,69.106863,145.436612,7.632147,3.626554
e9238c2,25,65536,1,512,527433728,8208,69.148899,144.702439,7.627507,3.644954
e9238c2,26,65536,1,512,527433728,8208,69.201159,141.321538,7.621747,3.732154
e9238c2,27,65536,1,512,527433728,8208,69.205519,143.100630,7.621267,3.685754
e9238c2,28,65536,1,512,527433728,8208,69.295713,147.170248,7.611347,3.583834
e9238c2,29,65536,1,512,527433728,8208,69.056203,142.316027,7.637746,3.706074
5ecada6,0,65536,1,512,527433728,8208,79.597874,134.084468,6.626229,3.933593
5ecada6,1,65536,1,512,527433728,8208,80.221609,133.535875,6.574709,3.949753
5ecada6,2,65536,1,512,527433728,8208,80.178682,135.450824,6.578229,3.893913
