Tag,Rep,ChunkSize,NumFiles,Duplicates,UncompressedBytes,Chunks,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs
1cea1b3,0,65536,1,512,527433728,8208,2.326133,136.656937,226.742691,3.859546
1cea1b3,1,65536,1,512,527433728,8208,2.340628,138.628127,225.338531,3.804666
1cea1b3,2,65536,1,512,527433728,8208,2.325116,135.845954,226.841888,3.882587
1cea1b3,3,65536,1,512,527433728,8208,2.341575,135.885147,225.247467,3.881467
1cea1b3,4,65536,1,512,527433728,8208,2.324840,140.507135,226.868790,3.753786
1cea1b3,5,65536,1,512,527433728,8208,2.343534,146.632218,225.059158,3.596984
1cea1b3,6,65536,1,512,527433728,8208,2.322695,133.860076,227.078369,3.940187
1cea1b3,7,65536,1,512,527433728,8208,2.349751,136.413765,224.463638,3.866426
1cea1b3,8,65536,1,512,527433728,8208,2.323602,131.673164,226.989731,4.005628
1cea1b3,9,65536,1,512,527433728,8208,2.340775,138.978763,225.324448,3.795067
1cea1b3,10,65536,1,512,527433728,8208,2.328335,134.099642,226.528290,3.933148
1cea1b3,11,65536,1,512,527433728,8208,2.339967,137.649807,225.402206,3.831707
1cea1b3,12,65536,1,512,527433728,8208,2.323729,133.313250,226.977341,3.956349
1cea1b3,13,65536,1,512,527433728,8208,2.339334,140.166594,225.463165,3.762906
1cea1b3,14,65536,1,512,527433728,8208,2.325124,140.160635,226.841110,3.763066
1cea1b3,15,65536,1,512,527433728,8208,2.341135,141.892124,225.289734,3.717146
1cea1b3,16,65536,1,512,527433728,8208,2.323996,147.136086,226.951248,3.584666
1cea1b3,17,65536,1,512,527433728,8208,2.343388,139.632174,225.073151,3.777308
1cea1b3,18,65536,1,512,527433728,8208,2.326536,137.117295,226.703415,3.846588
1cea1b3,19,65536,1,512,527433728,8208,2.343204,139.478638,225.090851,3.781466
1cea1b3,20,65536,1,512,527433728,8208,2.322706,138.914384,227.077255,3.796826
1cea1b3,21,65536,1,512,527433728,8208,2.340993,142.863682,225.303391,3.691867
1cea1b3,22,65536,1,512,527433728,8208,2.323646,131.794252,226.985413,4.001948
1cea1b3,23,65536,1,512,527433728,8208,2.343629,148.468116,225.050034,3.552505
1cea1b3,24,65536,1,512,527433728,8208,2.322631,130.433193,227.084610,4.043708
1cea1b3,25,65536,1,512,527433728,8208,2.342253,140.077255,225.182190,3.765306
1cea1b3,26,65536,1,512,527433728,8208,2.323277,134.807099,227.021408,3.912507
1cea1b3,27,65536,1,512,527433728,8208,2.343662,137.437502,225.046829,3.837626
1cea1b3,28,65536,1,512,527433728,8208,2.321646,139.982086,227.180923,3.767866
1cea1b3,29,65536,1,512,527433728,8208,2.341423,147.018014,225.262039,3.587545
e9f7384,0,65536,1,512,527433728,8208,2.335673,145.384053,225.816605,3.627865
e9f7384,1,65536,1,512,527433728,8208,2.353104,142.118462,224.143799,3.711226
e9f7384,2,65536,1,512,527433728,8208,2.336194,137.288640,225.766205,3.841787
e9f7384,3,65536,1,512,527433728,8208,2.359086,141.114632,223.575470,3.737626
e9f7384,4,65536,1,512,527433728,8208,2.336045,136.571973,225.780609,3.861947
e9f7384,5,65536,1,512,527433728,8208,2.352834,140.567051,224.169556,3.752186
e9f7384,6,65536,1,512,527433728,8208,2.334631,136.906620,225.917389,3.852507
e9f7384,7,65536,1,512,527433728,8208,2.354560,146.235380,224.005234,3.606745
e9f7384,8,65536,1,512,527433728,8208,2.336600,140.945696,225.726990,3.742106
e9f7384,9,65536,1,512,527433728,8208,2.351914,143.629365,224.257233,3.672186
e9f7384,10,65536,1,512,527433728,8208,2.336141,151.937590,225.771332,3.471384
e9f7384,11,65536,1,512,527433728,8208,2.351268,146.612607,224.318832,3.597465
e9f7384,12,65536,1,512,527433728,8208,2.343352,135.896358,225.076599,3.881147
e9f7384,13,65536,1,512,527433728,8208,2.355867,139.561307,223.880905,3.779226
e9f7384,14,65536,1,512,527433728,8208,2.334497,139.632245,225.930374,3.777306
e9f7384,15,65536,1,512,527433728,8208,2.360513,140.363549,223.440262,3.757626
e9f7384,16,65536,1,512,527433728,8208,2.335708,142.876110,225.813248,3.691546
e9f7384,17,65536,1,512,527433728,8208,2.351984,138.885115,224.250519,3.797626
e9f7384,18,65536,1,512,527433728,8208,2.335271,142.659699,225.855469,3.697146
e9f7384,19,65536,1,512,527433728,8208,2.351800,140.339649,224.268112,3.758266
e9f7384,20,65536,1,512,527433728,8208,2.336123,136.906620,225.773071,3.852507
e9f7384,21,65536,1,512,527433728,8208,2.351184,139.922668,224.326828,3.769466
e9f7384,22,65536,1,512,527433728,8208,2.335615,142.975256,225.822189,3.688986
e9f7384,23,65536,1,512,527433728,8208,2.354471,139.780273,224.013702,3.773306
e9f7384,24,65536,1,512,527433728,8208,2.336239,144.415941,225.761871,3.652185
e9f7384,25,65536,1,512,527433728,8208,2.351753,147.109864,224.272583,3.585305
e9f7384,26,65536,1,512,527433728,8208,2.340899,140.501183,225.312439,3.753945
e9f7384,27,65536,1,512,527433728,8208,2.349325,147.379527,224.504410,3.578745
e9f7384,28,65536,1,512,527433728,8208,2.335142,137.328713,225.867950,3.840666
e9f7384,29,65536,1,512,527433728,8208,2.353521,137.094556,224.104095,3.847226
7e7b4f7,0,65536,1,512,527433728,8208,2.307234,148.856965,228.599976,3.543225
7e7b4f7,1,65536,1,512,527433728,8208,2.318506,142.339414,227.488602,3.705465
7e7b4f7,2,65536,1,512,527433728,8208,2.314636,144.352700,227.868942,3.653785
7e7b4f7,3,65536,1,512,527433728,8208,2.315435,145.834282,227.790375,3.616665
7e7b4f7,4,65536,1,512,527433728,8208,2.309153,140.083207,228.410065,3.765146
7e7b4f7,5,65536,1,512,527433728,8208,2.318247,143.329599,227.514069,3.679866
7e7b4f7,6,65536,1,512,527433728,8208,2.314209,143.435625,227.911026,3.677146
7e7b4f7,7,65536,1,512,527433728,8208,2.314196,150.563496,227.912292,3.503065
7e7b4f7,8,65536,1,512,527433728,8208,2.306635,141.520568,228.659348,3.726905
7e7b4f7,9,65536,1,512,527433728,8208,2.312632,138.377896,228.066391,3.811546
7e7b4f7,10,65536,1,512,527433728,8208,2.306411,144.974854,228.681564,3.638105
7e7b4f7,11,65536,1,512,527433728,8208,2.315105,146.743140,227.822845,3.594265
7e7b4f7,12,65536,1,512,527433728,8208,2.306957,138.908522,228.627502,3.796986
7e7b4f7,13,65536,1,512,527433728,8208,2.318679,141.563077,227.471649,3.725786
7e7b4f7,14,65536,1,512,527433728,8208,2.308094,141.429495,228.514862,3.729305
7e7b4f7,15,65536,1,512,527433728,8208,2.318488,146.514865,227.490372,3.599865
7e7b4f7,16,65536,1,512,527433728,8208,2.308925,136.639946,228.432602,3.860026
7e7b4f7,17,65536,1,512,527433728,8208,2.312010,141.453731,228.127808,3.728666
7e7b4f7,18,65536,1,512,527433728,8208,2.312615,140.112982,228.068130,3.764346
7e7b4f7,19,65536,1,512,527433728,8208,2.320290,137.592386,227.313721,3.833306
7e7b4f7,20,65536,1,512,527433728,8208,2.314289,138.203857,227.903168,3.816346
7e7b4f7,21,65536,1,512,527433728,8208,2.312693,145.795578,228.060455,3.617625
7e7b4f7,22,65536,1,512,527433728,8208,2.315339,147.438845,227.799805,3.577305
7e7b4f7,23,65536,1,512,527433728,8208,2.320654,141.648236,227.278046,3.723546
7e7b4f7,24,65536,1,512,527433728,8208,2.304691,143.099390,228.852295,3.685786
7e7b4f7,25,65536,1,512,527433728,8208,2.309011,153.680124,228.424133,3.432023
7e7b4f7,26,65536,1,512,527433728,8208,2.313389,140.095112,227.991806,3.764826
7e7b4f7,27,65536,1,512,527433728,8208,2.313905,135.857150,227.940933,3.882267
7e7b4f7,28,65536,1,512,527433728,8208,2.311395,143.024923,228.188446,3.687705
7e7b4f7,29,65536,1,512,527433728,8208,2.312746,138.174888,228.055161,3.817146
d2930e6,0,65536,1,512,527433728,8208,2.322405,146.293791,227.106689,3.605305
d2930e6,1,65536,1,512,527433728,8208,2.323597,139.160678,226.990204,3.790106
d2930e6,2,65536,1,512,527433728,8208,2.320752,140.208329,227.268448,3.761786
d2930e6,3,65536,1,512,527433728,8208,2.323490,147.057360,227.000610,3.586585
d2930e6,4,65536,1,512,527433728,8208,2.322659,144.479237,227.081894,3.650585
d2930e6,5,65536,1,512,527433728,8208,2.325538,149.173564,226.800766,3.535705
d2930e6,6,65536,1,512,527433728,8208,2.322148,141.374868,227.131805,3.730746
d2930e6,7,65536,1,512,527433728,8208,2.326257,146.105749,226.730682,3.609945
d2930e6,8,65536,1,512,527433728,8208,2.322970,144.555265,227.051483,3.648665
d2930e6,9,65536,1,512,527433728,8208,2.326398,143.074549,226.716934,3.686426
d2930e6,10,65536,1,512,527433728,8208,2.321764,143.335830,227.169403,3.679706
d2930e6,11,65536,1,512,527433728,8208,2.326074,145.647420,226.748444,3.621305
d2930e6,12,65536,1,512,527433728,8208,2.322480,148.823408,227.099335,3.544024
d2930e6,13,65536,1,512,527433728,8208,2.326301,148.041388,226.726364,3.562745
d2930e6,14,65536,1,512,527433728,8208,2.322968,146.209440,227.051651,3.607385
d2930e6,15,65536,1,512,527433728,8208,2.319712,148.354533,227.370361,3.555225
d2930e6,16,65536,1,512,527433728,8208,2.320816,147.018014,227.262207,3.587545
d2930e6,17,65536,1,512,527433728,8208,2.324923,144.220075,226.860764,3.657145
d2930e6,18,65536,1,512,527433728,8208,2.321434,147.769310,227.201721,3.569305
d2930e6,19,65536,1,512,527433728,8208,2.326603,145.172767,226.696915,3.633145
d2930e6,20,65536,1,512,527433728,8208,2.322462,144.333741,227.101089,3.654265
d2930e6,21,65536,1,512,527433728,8208,2.326358,147.195257,226.720749,3.583225
d2930e6,22,65536,1,512,527433728,8208,2.317864,149.913059,227.551651,3.518264
d2930e6,23,65536,1,512,527433728,8208,2.326071,149.099395,226.748749,3.537464
d2930e6,24,65536,1,512,527433728,8208,2.321985,144.529907,227.147797,3.649305
d2930e6,25,65536,1,512,527433728,8208,2.326214,152.021672,226.734833,3.469464
d2930e6,26,65536,1,512,527433728,8208,2.323477,146.151097,227.001877,3.608825
d2930e6,27,65536,1,512,527433728,8208,2.327101,149.362863,226.648438,3.531224
d2930e6,28,65536,1,512,527433728,8208,2.322754,145.108871,227.072586,3.634745
d2930e6,29,65536,1,512,527433728,8208,2.326619,145.454618,226.695312,3.626105
93ec50b,0,65536,1,512,527433728,8208,2.379004,136.628612,221.703598,3.860346
93ec50b,1,65536,1,512,527433728,8208,2.386574,137.180130,221.000397,3.844826
93ec50b,2,65536,1,512,527433728,8208,2.376301,141.024081,221.955780,3.740026
93ec50b,3,65536,1,512,527433728,8208,2.382234,137.288640,221.402954,3.841787
93ec50b,4,65536,1,512,527433728,8208,2.378547,145.403298,221.746170,3.627385
93ec50b,5,65536,1,512,527433728,8208,2.383566,138.908522,221.279282,3.796986
93ec50b,6,65536,1,512,527433728,8208,2.377924,142.641173,221.804260,3.697626
93ec50b,7,65536,1,512,527433728,8208,2.382854,134.268960,221.345367,3.928188
93ec50b,8,65536,1,512,527433728,8208,2.378005,145.307152,221.796738,3.629785
93ec50b,9,65536,1,512,527433728,8208,2.382422,136.379866,221.385513,3.867387
93ec50b,10,65536,1,512,527433728,8208,2.376590,145.140812,221.928741,3.633945
93ec50b,11,65536,1,512,527433728,8208,2.383030,148.769634,221.329041,3.545305
93ec50b,12,65536,1,512,527433728,8208,2.378422,134.285375,221.757858,3.927708
93ec50b,13,65536,1,512,527433728,8208,2.382651,136.753309,221.364243,3.856826
93ec50b,14,65536,1,512,527433728,8208,2.376364,148.890628,221.949860,3.542424
93ec50b,15,65536,1,512,527433728,8208,2.382104,149.099395,221.415115,3.537464
93ec50b,16,65536,1,512,527433728,8208,2.377276,133.594259,221.864731,3.948027
93ec50b,17,65536,1,512,527433728,8208,2.386176,135.316197,221.037201,3.897787
93ec50b,18,65536,1,512,527433728,8208,2.377307,144.962095,221.861847,3.638425
93ec50b,19,65536,1,512,527433728,8208,2.381384,142.981457,221.481995,3.688826
93ec50b,20,65536,1,512,527433728,8208,2.378154,137.943610,221.782806,3.823546
93ec50b,21,65536,1,512,527433728,8208,2.383607,151.671947,221.275436,3.477464
93ec50b,22,65536,1,512,527433728,8208,2.377530,136.935094,221.841034,3.851706
93ec50b,23,65536,1,512,527433728,8208,2.380268,143.198846,221.585846,3.683226
93ec50b,24,65536,1,512,527433728,8208,2.377573,148.014842,221.837036,3.563384
93ec50b,25,65536,1,512,527433728,8208,2.383063,144.371664,221.326004,3.653305
93ec50b,26,65536,1,512,527433728,8208,2.377885,146.053969,221.807922,3.611225
93ec50b,27,65536,1,512,527433728,8208,2.382639,143.804837,221.365356,3.667705
93ec50b,28,65536,1,512,527433728,8208,2.377552,141.611731,221.838959,3.724506
93ec50b,29,65536,1,512,527433728,8208,2.382253,150.714991,221.401199,3.499544
f44cde1,0,65536,1,512,527433728,8208,2.373134,136.396801,222.251938,3.866907
f44cde1,1,65536,1,512,527433728,8208,2.376157,144.536253,221.969223,3.649145
f44cde1,2,65536,1,512,527433728,8208,2.373023,138.744789,222.262329,3.801467
f44cde1,3,65536,1,512,527433728,8208,2.382272,138.395331,221.399460,3.811066
f44cde1,4,65536,1,512,527433728,8208,2.371625,138.931945,222.393372,3.796346
f44cde1,5,65536,1,512,527433728,8208,2.378621,136.685265,221.739304,3.858746
f44cde1,6,65536,1,512,527433728,8208,2.375779,150.316377,222.004578,3.508824
f44cde1,7,65536,1,512,527433728,8208,2.376647,139.756563,221.923462,3.773946
f44cde1,8,65536,1,512,527433728,8208,2.377729,153.708741,221.822495,3.431384
f44cde1,9,65536,1,512,527433728,8208,2.378046,139.940485,221.792892,3.768986
f44cde1,10,65536,1,512,527433728,8208,2.378132,135.293986,221.784897,3.898427
f44cde1,11,65536,1,512,527433728,8208,2.375678,135.055636,222.014023,3.905307
f44cde1,12,65536,1,512,527433728,8208,2.374032,152.570484,222.167938,3.456984
f44cde1,13,65536,1,512,527433728,8208,2.377890,139.916730,221.807449,3.769626
f44cde1,14,65536,1,512,527433728,8208,2.376556,136.030945,221.931931,3.877307
f44cde1,15,65536,1,512,527433728,8208,2.378209,151.511611,221.777695,3.481144
f44cde1,16,65536,1,512,527433728,8208,2.372875,137.868568,222.276260,3.825627
f44cde1,17,65536,1,512,527433728,8208,2.381673,155.068137,221.455139,3.401303
f44cde1,18,65536,1,512,527433728,8208,2.372881,135.728460,222.275665,3.885948
f44cde1,19,65536,1,512,527433728,8208,2.377837,137.117363,221.812408,3.846586
f44cde1,20,65536,1,512,527433728,8208,2.372658,138.093818,222.296570,3.819387
f44cde1,21,65536,1,512,527433728,8208,2.383815,140.136805,221.256104,3.763706
f44cde1,22,65536,1,512,527433728,8208,2.376685,158.734436,221.919937,3.322743
f44cde1,23,65536,1,512,527433728,8208,2.378544,135.027979,221.746490,3.906107
f44cde1,24,65536,1,512,527433728,8208,2.371226,141.102553,222.430817,3.737946
f44cde1,25,65536,1,512,527433728,8208,2.376157,137.557941,221.969223,3.834266
f44cde1,26,65536,1,512,527433728,8208,2.372762,152.810951,222.286819,3.451544
f44cde1,27,65536,1,512,527433728,8208,2.379529,139.143058,221.654663,3.790586
f44cde1,28,65536,1,512,527433728,8208,2.376255,134.477140,221.960098,3.922107
f44cde1,29,65536,1,512,527433728,8208,2.377209,148.214456,221.870972,3.558585
803fa06,0,65536,1,512,527433728,8208,2.434067,144.828358,216.688217,3.641785
803fa06,1,65536,1,512,527433728,8208,2.440640,140.202367,216.104706,3.761946
803fa06,2,65536,1,512,527433728,8208,2.433408,148.034741,216.746948,3.562905
803fa06,3,65536,1,512,527433728,8208,2.440269,131.862786,216.137497,3.999868
803fa06,4,65536,1,512,527433728,8208,2.433801,142.635002,216.711899,3.697786
803fa06,5,65536,1,512,527433728,8208,2.438895,137.678591,216.259262,3.830906
803fa06,6,65536,1,512,527433728,8208,2.434344,137.770618,216.663589,3.828347
803fa06,7,65536,1,512,527433728,8208,2.439950,149.099345,216.165817,3.537465
803fa06,8,65536,1,512,527433728,8208,2.433580,149.634065,216.731583,3.524824
803fa06,9,65536,1,512,527433728,8208,2.439137,134.279938,216.237823,3.927867
803fa06,10,65536,1,512,527433728,8208,2.433462,140.981858,216.742142,3.741146
803fa06,11,65536,1,512,527433728,8208,2.439747,135.166393,216.183746,3.902107
803fa06,12,65536,1,512,527433728,8208,2.433090,138.803246,216.775269,3.799866
803fa06,13,65536,1,512,527433728,8208,2.439347,146.873905,216.219269,3.591065
803fa06,14,65536,1,512,527433728,8208,2.433262,135.594503,216.759903,3.889787
803fa06,15,65536,1,512,527433728,8208,2.440389,141.187159,216.126938,3.735706
803fa06,16,65536,1,512,527433728,8208,2.433218,138.686416,216.763901,3.803067
803fa06,17,65536,1,512,527433728,8208,2.439092,144.548889,216.241821,3.648826
803fa06,18,65536,1,512,527433728,8208,2.435200,150.199908,216.587418,3.511545
803fa06,19,65536,1,512,527433728,8208,2.439267,132.333943,216.226303,3.985627
803fa06,20,65536,1,512,527433728,8208,2.435481,147.234708,216.562469,3.582265
803fa06,21,65536,1,512,527433728,8208,2.440842,142.081704,216.086777,3.712186
803fa06,22,65536,1,512,527433728,8208,2.433535,148.281126,216.735580,3.556985
803fa06,23,65536,1,512,527433728,8208,2.439441,149.160066,216.210938,3.536025
803fa06,24,65536,1,512,527433728,8208,2.434012,137.782168,216.693192,3.828026
803fa06,25,65536,1,512,527433728,8208,2.439327,143.124285,216.221008,3.685145
803fa06,26,65536,1,512,527433728,8208,2.434635,135.789994,216.637665,3.884187
803fa06,27,65536,1,512,527433728,8208,2.440611,140.645060,216.107254,3.750105
803fa06,28,65536,1,512,527433728,8208,2.433848,146.482355,216.707748,3.600664
803fa06,29,65536,1,512,527433728,8208,2.439715,138.116959,216.186615,3.818747
5c2d5a4,0,65536,1,512,527433728,8208,2.432210,146.586532,216.853668,3.598105
5c2d5a4,1,65536,1,512,527433728,8208,2.436422,139.496343,216.478790,3.780986
5c2d5a4,2,65536,1,512,527433728,8208,2.431365,139.325333,216.929031,3.785627
5c2d5a4,3,65536,1,512,527433728,8208,2.437308,143.610624,216.400070,3.672665
5c2d5a4,4,65536,1,512,527433728,8208,2.431984,150.701161,216.873840,3.499865
5c2d5a4,5,65536,1,512,527433728,8208,2.437914,136.250218,216.346298,3.871067
5c2d5a4,6,65536,1,512,527433728,8208,2.431405,152.605805,216.925507,3.456184
5c2d5a4,7,65536,1,512,527433728,8208,2.437065,139.478603,216.421661,3.781467
5c2d5a4,8,65536,1,512,527433728,8208,2.431252,150.591056,216.939102,3.502424
5c2d5a4,9,65536,1,512,527433728,8208,2.437103,137.225774,216.418304,3.843547
5c2d5a4,10,65536,1,512,527433728,8208,2.431367,148.924256,216.928864,3.541624
5c2d5a4,11,65536,1,512,527433728,8208,2.438297,139.096086,216.312378,3.791866
5c2d5a4,12,65536,1,512,527433728,8208,2.431573,143.031128,216.910461,3.687545
5c2d5a4,13,65536,1,512,527433728,8208,2.436592,136.385508,216.463745,3.867227
5c2d5a4,14,65536,1,512,527433728,8208,2.433307,137.489060,216.755905,3.836187
5c2d5a4,15,65536,1,512,527433728,8208,2.438221,137.868611,216.319107,3.825626
5c2d5a4,16,65536,1,512,527433728,8208,2.430702,140.537091,216.988220,3.752986
5c2d5a4,17,65536,1,512,527433728,8208,2.436244,158.918092,216.494629,3.318903
5c2d5a4,18,65536,1,512,527433728,8208,2.432329,135.683797,216.843109,3.887227
5c2d5a4,19,65536,1,512,527433728,8208,2.436646,137.678548,216.458939,3.830907
5c2d5a4,20,65536,1,512,527433728,8208,2.433234,139.325333,216.762466,3.785627
5c2d5a4,21,65536,1,512,527433728,8208,2.437855,139.372487,216.351578,3.784346
5c2d5a4,22,65536,1,512,527433728,8208,2.433350,139.060884,216.752060,3.792826
5c2d5a4,23,65536,1,512,527433728,8208,2.437044,137.759139,216.423584,3.828666
5c2d5a4,24,65536,1,512,527433728,8208,2.431504,136.690899,216.916702,3.858587
5c2d5a4,25,65536,1,512,527433728,8208,2.436739,140.023703,216.450623,3.766746
5c2d5a4,26,65536,1,512,527433728,8208,2.432377,134.203365,216.838791,3.930108
5c2d5a4,27,65536,1,512,527433728,8208,2.436849,141.587432,216.440857,3.725145
5c2d5a4,28,65536,1,512,527433728,8208,2.432347,149.790398,216.841507,3.521145
5c2d5a4,29,65536,1,512,527433728,8208,2.437534,136.929373,216.380066,3.851867
4f8e898,0,65536,1,512,527433728,8208,64.503242,123.084074,8.176856,4.285150
4f8e898,1,65536,1,512,527433728,8208,64.999270,127.704589,8.114456,4.130108
4f8e898,2,65536,1,512,527433728,8208,64.637311,122.708369,8.159896,4.298270
4f8e898,3,65536,1,512,527433728,8208,64.494404,129.089849,8.177977,4.085788
4f8e898,4,65536,1,512,527433728,8208,64.431379,126.242262,8.185976,4.177949
4f8e898,5,65536,1,512,527433728,8208,64.614505,122.964730,8.162776,4.289309
4f8e898,6,65536,1,512,527433728,8208,64.867532,127.133276,8.130936,4.148668
4f8e898,7,65536,1,512,527433728,8208,64.253044,124.398587,8.208696,4.239869
4f8e898,8,65536,1,512,527433728,8208,64.882851,125.631240,8.129016,4.198269
4f8e898,9,65536,1,512,527433728,8208,63.941458,121.464980,8.248697,4.342270
4f8e898,10,65536,1,512,527433728,8208,63.789267,126.552440,8.268377,4.167709
4f8e898,11,65536,1,512,527433728,8208,64.249282,124.954976,8.209177,4.220990
4f8e898,12,65536,1,512,527433728,8208,64.323253,124.699760,8.199737,4.229629
4f8e898,13,65536,1,512,527433728,8208,64.727417,125.919165,8.148537,4.188669
4f8e898,14,65536,1,512,527433728,8208,64.827985,125.335085,8.135896,4.208189
4f8e898,15,65536,1,512,527433728,8208,64.115575,130.541687,8.226296,4.040347
4f8e898,16,65536,1,512,527433728,8208,64.870081,121.788080,8.130616,4.330750
4f8e898,17,65536,1,512,527433728,8208,64.064485,122.754098,8.232857,4.296669
4f8e898,18,65536,1,512,527433728,8208,64.098128,125.282688,8.228536,4.209949
4f8e898,19,65536,1,512,527433728,8208,64.412484,124.945533,8.188377,4.221309
4f8e898,20,65536,1,512,527433728,8208,63.743632,122.781527,8.274297,4.295709
4f8e898,21,65536,1,512,527433728,8208,64.893068,123.042753,8.127736,4.286589
4f8e898,22,65536,1,512,527433728,8208,64.404946,121.837595,8.189336,4.328990
4f8e898,23,65536,1,512,527433728,8208,63.560501,121.067944,8.298137,4.356510
4f8e898,24,65536,1,512,527433728,8208,63.972485,128.918194,8.244697,4.091228
4f8e898,25,65536,1,512,527433728,8208,64.575266,122.685571,8.167736,4.299069
4f8e898,26,65536,1,512,527433728,8208,63.738703,125.144756,8.274937,4.214589
4f8e898,27,65536,1,512,527433728,8208,64.265565,122.630770,8.207097,4.300990
4f8e898,28,65536,1,512,527433728,8208,63.339449,127.167565,8.327097,4.147549
4f8e898,29,65536,1,512,527433728,8208,63.917906,122.973876,8.251737,4.288990
062800d,0,65536,1,512,527433728,8208,80.396995,128.360986,6.560366,4.108988
062800d,1,65536,1,512,527433728,8208,80.540390,124.201731,6.548686,4.246589
062800d,2,65536,1,512,527433728,8208,80.477484,124.704484,6.553805,4.229469
062800d,3,65536,1,512,527433728,8208,80.322570,124.131551,6.566445,4.248990
062800d,4,65536,1,512,527433728,8208,80.422493,126.247089,6.558286,4.177789
062800d,5,65536,1,512,527433728,8208,80.357798,123.240535,6.563566,4.279710
062800d,6,65536,1,512,527433728,8208,80.593569,126.732455,6.544365,4.161789
062800d,7,65536,1,512,527433728,8208,80.357798,124.464321,6.563566,4.237630
062800d,8,65536,1,512,527433728,8208,79.969876,126.688647,6.595405,4.163228
062800d,9,65536,1,512,527433728,8208,80.336256,126.601036,6.565326,4.166109
062800d,10,65536,1,512,527433728,8208,80.322558,123.596333,6.566446,4.267390
062800d,11,65536,1,512,527433728,8208,80.140963,124.473720,6.581325,4.237310
062800d,12,65536,1,512,527433728,8208,80.526617,125.387526,6.549806,4.206429
062800d,13,65536,1,512,527433728,8208,80.389154,124.973965,6.561006,4.220349
062800d,14,65536,1,512,527433728,8208,80.393075,129.714631,6.560686,4.066108
062800d,15,65536,1,512,527433728,8208,80.137055,124.723355,6.581646,4.228829
062800d,16,65536,1,512,527433728,8208,80.308871,124.869817,6.567565,4.223869
062800d,17,65536,1,512,527433728,8208,80.293207,122.266904,6.568846,4.313790
062800d,18,65536,1,512,527433728,8208,80.448025,121.711641,6.556205,4.333470
062800d,19,65536,1,512,527433728,8208,80.377395,125.688714,6.561966,4.196349
062800d,20,65536,1,512,527433728,8208,80.271717,123.940233,6.570605,4.255549
062800d,21,65536,1,512,527433728,8208,80.522695,122.112904,6.550125,4.319230
062800d,22,65536,1,512,527433728,8208,80.189703,126.271273,6.577325,4.176989
062800d,23,65536,1,512,527433728,8208,80.259986,127.942468,6.571565,4.122429
062800d,24,65536,1,512,527433728,8208,80.479446,125.861480,6.553645,4.190589
062800d,25,65536,1,512,527433728,8208,80.420535,121.815080,6.558446,4.329790
062800d,26,65536,1,512,527433728,8208,80.442122,124.145581,6.556686,4.248510
062800d,27,65536,1,512,527433728,8208,80.355854,124.206389,6.563725,4.246430
062800d,28,65536,1,512,527433728,8208,80.162389,125.335085,6.579566,4.208189
062800d,29,65536,1,512,527433728,8208,80.491223,123.531512,6.552686,4.269629
