Tag,Rep,ChunkSize,NumFiles,Duplicates,UncompressedBytes,Chunks,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs
1cea1b3,0,65536,1,512,527433728,8208,13.367396,459.712534,39.456730,1.147312
1cea1b3,1,65536,1,512,527433728,8208,13.362553,477.658364,39.471031,1.104207
1cea1b3,2,65536,1,512,527433728,8208,13.368277,461.032590,39.454128,1.144027
1cea1b3,3,65536,1,512,527433728,8208,13.356927,462.473725,39.487656,1.140462
1cea1b3,4,65536,1,512,527433728,8208,13.378982,459.969513,39.422562,1.146671
1cea1b3,5,65536,1,512,527433728,8208,13.395480,460.403593,39.374008,1.145590
1cea1b3,6,65536,1,512,527433728,8208,13.379389,487.492516,39.421360,1.081932
1cea1b3,7,65536,1,512,527433728,8208,13.357522,460.725721,39.485897,1.144789
1cea1b3,8,65536,1,512,527433728,8208,13.379308,453.161844,39.421600,1.163897
1cea1b3,9,65536,1,512,527433728,8208,13.330201,490.069350,39.566826,1.076243
1cea1b3,10,65536,1,512,527433728,8208,13.410201,456.287140,39.330784,1.155925
1cea1b3,11,65536,1,512,527433728,8208,13.372609,457.651087,39.441349,1.152480
1cea1b3,12,65536,1,512,527433728,8208,13.369295,494.097024,39.451126,1.067470
1cea1b3,13,65536,1,512,527433728,8208,13.387471,467.632010,39.397564,1.127882
1cea1b3,14,65536,1,512,527433728,8208,13.386041,457.842177,39.401772,1.151999
1cea1b3,15,65536,1,512,527433728,8208,13.337466,461.161566,39.545273,1.143707
1cea1b3,16,65536,1,512,527433728,8208,13.340020,482.560889,39.537701,1.092989
1cea1b3,17,65536,1,512,527433728,8208,13.312678,461.922473,39.618904,1.141823
1cea1b3,18,65536,1,512,527433728,8208,13.386504,461.387881,39.400410,1.143146
1cea1b3,19,65536,1,512,527433728,8208,13.355393,461.371763,39.492191,1.143186
1cea1b3,20,65536,1,512,527433728,8208,13.360787,456.034258,39.476246,1.156566
1cea1b3,21,65536,1,512,527433728,8208,13.383605,460.387496,39.408943,1.145630
1cea1b3,22,65536,1,512,527433728,8208,13.420755,459.327818,39.299854,1.148273
1cea1b3,23,65536,1,512,527433728,8208,13.414846,459.215451,39.317165,1.148554
1cea1b3,24,65536,1,512,527433728,8208,13.385966,489.085510,39.401993,1.078408
1cea1b3,25,65536,1,512,527433728,8208,13.329283,470.792233,39.569550,1.120311
1cea1b3,26,65536,1,512,527433728,8208,13.398915,456.223622,39.363914,1.156086
1cea1b3,27,65536,1,512,527433728,8208,13.316907,457.921690,39.606323,1.151799
1cea1b3,28,65536,1,512,527433728,8208,13.372973,456.476714,39.440273,1.155445
1cea1b3,29,65536,1,512,527433728,8208,13.417171,460.661345,39.310352,1.144949
062800d,0,65536,1,512,527433728,8208,174.796960,460.935905,3.017408,1.144267
062800d,1,65536,1,512,527433728,8208,175.015385,459.841203,3.013642,1.146991
062800d,2,65536,1,512,527433728,8208,174.831841,471.365274,3.016806,1.118949
062800d,3,65536,1,512,527433728,8208,173.584727,468.097269,3.038480,1.126761
062800d,4,65536,1,512,527433728,8208,175.297328,462.084375,3.008795,1.141423
062800d,5,65536,1,512,527433728,8208,175.320695,458.463809,3.008394,1.150437
062800d,6,65536,1,512,527433728,8208,174.218715,460.065841,3.027423,1.146431
