"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,194747,194747,60817408,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"TCP_TCC_READ_REQ_sum",0.00000000e+00,406370916982950,406370917100650
1,1,"Agent 2",1,194747,194747,60817408,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"TCP_TOTAL_CACHE_ACCESSES_sum",3801088.000000,406370916982950,406370917100650
2,2,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406370917348346,406370917350469
2,2,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406370917348346,406370917350469
3,3,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406370917417972,406370917419815
3,3,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406370917417972,406370917419815
4,4,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406370989429786,406370989431509
4,4,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406370989429786,406370989431509
5,5,"Agent 2",1,194747,194747,68432128,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"TCP_TCC_READ_REQ_sum",0.00000000e+00,406371003584016,406371003986030
5,5,"Agent 2",1,194747,194747,68432128,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"TCP_TOTAL_CACHE_ACCESSES_sum",4277000.000000,406371003584016,406371003986030
6,6,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371004328632,406371004330515
6,6,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371004328632,406371004330515
7,7,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371004395174,406371004397057
7,7,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371004395174,406371004397057
8,8,"Agent 2",2,194747,194747,66560,14,"void arcto::lowlevel::lz4CompressBatchKernel<unsigned char>(unsigned char const* const*, unsigned long const*, unsigned char* const*, unsigned long*, unsigned short*, unsigned int)",64,1536,88,64,0,64,"TCP_TCC_READ_REQ_sum",981728.000000,406371008280540,406371009508974
8,8,"Agent 2",2,194747,194747,66560,14,"void arcto::lowlevel::lz4CompressBatchKernel<unsigned char>(unsigned char const* const*, unsigned long const*, unsigned char* const*, unsigned long*, unsigned short*, unsigned int)",64,1536,88,64,0,64,"TCP_TOTAL_CACHE_ACCESSES_sum",41976678.000000,406371008280540,406371009508974
9,9,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371009611130,406371009615296
9,9,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371009611130,406371009615296
10,10,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371013741751,406371013743714
10,10,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371013741751,406371013743714
11,11,"Agent 2",2,194747,194747,66560,15,"arcto::lowlevel::lz4DecompressBatchKernel(unsigned char const* const*, unsigned long const*, unsigned long const*, unsigned long, unsigned char* const*, unsigned long*, arctoStatus_t*, bool)",128,1024,0,68,4,80,"TCP_TCC_READ_REQ_sum",480228.000000,406371013810135,406371014173890
11,11,"Agent 2",2,194747,194747,66560,15,"arcto::lowlevel::lz4DecompressBatchKernel(unsigned char const* const*, unsigned long const*, unsigned long const*, unsigned long, unsigned char* const*, unsigned long*, arctoStatus_t*, bool)",128,1024,0,68,4,80,"TCP_TOTAL_CACHE_ACCESSES_sum",8159456.000000,406371013810135,406371014173890
12,12,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371014294073,406371014296077
12,12,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371014294073,406371014296077
13,13,"Agent 2",1,194747,194747,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",33.000000,406371014362097,406371014363900
13,13,"Agent 2",1,194747,194747,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",130.000000,406371014362097,406371014363900
14,14,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371014586359,406371014587962
14,14,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371014586359,406371014587962
15,15,"Agent 2",1,194747,194747,60817408,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"TCP_TCC_READ_REQ_sum",0.00000000e+00,406371080556919,406371080936098
15,15,"Agent 2",1,194747,194747,60817408,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"TCP_TOTAL_CACHE_ACCESSES_sum",3801088.000000,406371080556919,406371080936098
16,16,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371081027516,406371081029560
16,16,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371081027516,406371081029560
17,17,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371081378733,406371081380736
17,17,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371081378733,406371081380736
18,18,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371093695893,406371093697776
18,18,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371093695893,406371093697776
19,19,"Agent 2",1,194747,194747,68432128,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"TCP_TCC_READ_REQ_sum",0.00000000e+00,406371108468521,406371108618630
19,19,"Agent 2",1,194747,194747,68432128,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"TCP_TOTAL_CACHE_ACCESSES_sum",4277000.000000,406371108468521,406371108618630
20,20,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371108891767,406371108894251
20,20,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371108891767,406371108894251
21,21,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371108958108,406371108960111
21,21,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371108958108,406371108960111
22,22,"Agent 2",2,194747,194747,66560,14,"void arcto::lowlevel::lz4CompressBatchKernel<unsigned char>(unsigned char const* const*, unsigned long const*, unsigned char* const*, unsigned long*, unsigned short*, unsigned int)",64,1536,88,64,0,64,"TCP_TCC_READ_REQ_sum",981726.000000,406371109026412,406371110271152
22,22,"Agent 2",2,194747,194747,66560,14,"void arcto::lowlevel::lz4CompressBatchKernel<unsigned char>(unsigned char const* const*, unsigned long const*, unsigned char* const*, unsigned long*, unsigned short*, unsigned int)",64,1536,88,64,0,64,"TCP_TOTAL_CACHE_ACCESSES_sum",41976678.000000,406371109026412,406371110271152
23,23,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371110358485,406371110360288
23,23,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371110358485,406371110360288
24,24,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371115454504,406371115456507
24,24,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371115454504,406371115456507
25,25,"Agent 2",2,194747,194747,66560,15,"arcto::lowlevel::lz4DecompressBatchKernel(unsigned char const* const*, unsigned long const*, unsigned long const*, unsigned long, unsigned char* const*, unsigned long*, arctoStatus_t*, bool)",128,1024,0,68,4,80,"TCP_TCC_READ_REQ_sum",480228.000000,406371115520565,406371115805600
25,25,"Agent 2",2,194747,194747,66560,15,"arcto::lowlevel::lz4DecompressBatchKernel(unsigned char const* const*, unsigned long const*, unsigned long const*, unsigned long, unsigned char* const*, unsigned long*, arctoStatus_t*, bool)",128,1024,0,68,4,80,"TCP_TOTAL_CACHE_ACCESSES_sum",8159456.000000,406371115520565,406371115805600
26,26,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371115898301,406371115900144
26,26,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371115898301,406371115900144
27,27,"Agent 2",1,194747,194747,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",33.000000,406371115962679,406371115964402
27,27,"Agent 2",1,194747,194747,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",130.000000,406371115962679,406371115964402
28,28,"Agent 2",1,194747,194747,68432128,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"TCP_TCC_READ_REQ_sum",0.00000000e+00,406371121684332,406371121995247
28,28,"Agent 2",1,194747,194747,68432128,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"TCP_TOTAL_CACHE_ACCESSES_sum",4277000.000000,406371121684332,406371121995247
29,29,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371122401147,406371122403150
29,29,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371122401147,406371122403150
30,30,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371122468489,406371122470372
30,30,"Agent 2",1,194747,194747,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371122468489,406371122470372
31,31,"Agent 2",2,194747,194747,66560,14,"void arcto::lowlevel::lz4CompressBatchKernel<unsigned char>(unsigned char const* const*, unsigned long const*, unsigned char* const*, unsigned long*, unsigned short*, unsigned int)",64,1536,88,64,0,64,"TCP_TCC_READ_REQ_sum",981314.000000,406371122532066,406371123685868
31,31,"Agent 2",2,194747,194747,66560,14,"void arcto::lowlevel::lz4CompressBatchKernel<unsigned char>(unsigned char const* const*, unsigned long const*, unsigned char* const*, unsigned long*, unsigned short*, unsigned int)",64,1536,88,64,0,64,"TCP_TOTAL_CACHE_ACCESSES_sum",41976678.000000,406371122532066,406371123685868
