"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,194760,194760,60817408,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"TCP_TCC_READ_REQ_sum",0.00000000e+00,406371905947973,406371906065272
1,1,"Agent 2",1,194760,194760,60817408,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"TCP_TOTAL_CACHE_ACCESSES_sum",3801088.000000,406371905947973,406371906065272
2,2,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371906338730,406371906340693
2,2,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371906338730,406371906340693
3,3,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371906409518,406371906411321
3,3,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371906409518,406371906411321
4,4,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371980719160,406371980721083
4,4,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371980719160,406371980721083
5,5,"Agent 2",1,194760,194760,68432128,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"TCP_TCC_READ_REQ_sum",0.00000000e+00,406371997220883,406371997612522
5,5,"Agent 2",1,194760,194760,68432128,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"TCP_TOTAL_CACHE_ACCESSES_sum",4277000.000000,406371997220883,406371997612522
6,6,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371997959773,406371997961656
6,6,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371997959773,406371997961656
7,7,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406371998026996,406371998029039
7,7,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406371998026996,406371998029039
8,8,"Agent 2",2,194760,194760,66560,14,"void arcto::lowlevel::lz4CompressBatchKernel<unsigned char>(unsigned char const* const*, unsigned long const*, unsigned char* const*, unsigned long*, unsigned short*, unsigned int)",64,1536,88,64,0,64,"TCP_TCC_READ_REQ_sum",981713.000000,406372001687796,406372002923246
8,8,"Agent 2",2,194760,194760,66560,14,"void arcto::lowlevel::lz4CompressBatchKernel<unsigned char>(unsigned char const* const*, unsigned long const*, unsigned char* const*, unsigned long*, unsigned short*, unsigned int)",64,1536,88,64,0,64,"TCP_TOTAL_CACHE_ACCESSES_sum",41976678.000000,406372001687796,406372002923246
9,9,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406372003029489,406372003031251
9,9,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406372003029489,406372003031251
10,10,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406372007503413,406372007505296
10,10,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406372007503413,406372007505296
11,11,"Agent 2",2,194760,194760,66560,15,"arcto::lowlevel::lz4DecompressBatchKernel(unsigned char const* const*, unsigned long const*, unsigned long const*, unsigned long, unsigned char* const*, unsigned long*, arctoStatus_t*, bool)",128,1024,0,68,4,80,"TCP_TCC_READ_REQ_sum",480228.000000,406372007577446,406372007957628
11,11,"Agent 2",2,194760,194760,66560,15,"arcto::lowlevel::lz4DecompressBatchKernel(unsigned char const* const*, unsigned long const*, unsigned long const*, unsigned long, unsigned char* const*, unsigned long*, arctoStatus_t*, bool)",128,1024,0,68,4,80,"TCP_TOTAL_CACHE_ACCESSES_sum",8159456.000000,406372007577446,406372007957628
12,12,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406372008074006,406372008075808
12,12,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406372008074006,406372008075808
13,13,"Agent 2",1,194760,194760,512,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",33.000000,406372008142871,406372008144594
13,13,"Agent 2",1,194760,194760,512,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",130.000000,406372008142871,406372008144594
14,14,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406372008364129,406372008365812
14,14,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406372008364129,406372008365812
15,15,"Agent 2",1,194760,194760,60817408,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"TCP_TCC_READ_REQ_sum",0.00000000e+00,406372079076076,406372079445521
15,15,"Agent 2",1,194760,194760,60817408,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"TCP_TOTAL_CACHE_ACCESSES_sum",3801088.000000,406372079076076,406372079445521
16,16,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406372079541147,406372079543230
16,16,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406372079541147,406372079543230
17,17,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406372079607488,406372079610453
17,17,"Agent 2",1,194760,194760,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406372079607488,406372079610453
