Tag,Rep,ChunkSize,NumFiles,Duplicates,UncompressedBytes,Chunks,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs
1cea1b3,0,65536,1,16,12582912,272,1.058085,40.180713,11.892155,0.313158
1cea1b3,1,65536,1,16,12582912,272,1.056338,42.867844,11.911826,0.293528
1cea1b3,2,65536,1,16,12582912,272,1.064829,45.873143,11.816841,0.274298
1cea1b3,3,65536,1,16,12582912,272,1.054954,45.913315,11.927450,0.274058
1cea1b3,4,65536,1,16,12582912,272,1.062042,42.410687,11.847843,0.296692
1cea1b3,5,65536,1,16,12582912,272,1.049908,45.219169,11.984772,0.278265
1cea1b3,6,65536,1,16,12582912,272,1.060279,42.120507,11.867553,0.298736
1cea1b3,7,65536,1,16,12582912,272,1.051303,41.596127,11.968868,0.302502
1cea1b3,8,65536,1,16,12582912,272,1.064209,43.929073,11.823726,0.286437
1cea1b3,9,65536,1,16,12582912,272,1.052675,45.343174,11.953277,0.277504
062800d,0,65536,1,16,12582912,272,11.217606,37.476803,1.121711,0.335752
062800d,1,65536,1,16,12582912,272,12.323189,45.089536,1.021076,0.279065
062800d,2,65536,1,16,12582912,272,12.338680,44.564944,1.019794,0.282350
062800d,3,65536,1,16,12582912,272,12.406419,45.096004,1.014226,0.279025
062800d,4,65536,1,16,12582912,272,12.326074,44.514336,1.020837,0.282671
062800d,5,65536,1,16,12582912,272,12.339637,45.037731,1.019715,0.279386
062800d,6,65536,1,16,12582912,272,12.345919,44.960166,1.019196,0.279868
062800d,7,65536,1,16,12582912,272,12.403948,45.468023,1.014428,0.276742
062800d,8,65536,1,16,12582912,272,12.318338,44.213553,1.021478,0.284594
062800d,9,65536,1,16,12582912,272,12.321234,45.005517,1.021238,0.279586
35a6442,0,65536,1,16,12582912,272,11.263888,43.575674,1.117102,0.288760
35a6442,1,65536,1,16,12582912,272,12.240591,48.292359,1.027966,0.260557
35a6442,2,65536,1,16,12582912,272,12.299050,48.344498,1.023080,0.260276
35a6442,3,65536,1,16,12582912,272,12.313047,47.997070,1.021917,0.262160
35a6442,4,65536,1,16,12582912,272,12.323189,48.225544,1.021076,0.260918
35a6442,5,65536,1,16,12582912,272,12.304330,47.901872,1.022641,0.262681
35a6442,6,65536,1,16,12582912,272,12.289416,48.553614,1.023882,0.259155
35a6442,7,65536,1,16,12582912,272,12.272599,47.945863,1.025285,0.262440
35a6442,8,65536,1,16,12582912,272,12.334290,48.344310,1.020157,0.260277
35a6442,9,65536,1,16,12582912,272,12.269739,47.858147,1.025524,0.262921
39768fb,0,65536,1,16,12582912,272,2.054528,38.016449,6.124477,0.330986
39768fb,1,65536,1,16,12582912,272,2.083626,43.593640,6.038949,0.288641
39768fb,2,65536,1,16,12582912,272,2.083516,44.207183,6.039269,0.284635
39768fb,3,65536,1,16,12582912,272,2.083972,43.611773,6.037947,0.288521
39768fb,4,65536,1,16,12582912,272,2.082922,44.176142,6.040992,0.284835
39768fb,5,65536,1,16,12582912,272,2.086852,43.436982,6.029614,0.289682
39768fb,6,65536,1,16,12582912,272,2.083488,44.319449,6.039349,0.283914
39768fb,7,65536,1,16,12582912,272,2.085937,43.527139,6.032258,0.289082
39768fb,8,65536,1,16,12582912,272,2.083778,44.344441,6.038509,0.283754
39768fb,9,65536,1,16,12582912,272,2.082565,43.448980,6.042027,0.289602
46eac67,0,65536,1,16,12582912,272,10.200131,37.298728,1.233603,0.337355
46eac67,1,65536,1,16,12582912,272,11.057264,44.388394,1.137977,0.283473
46eac67,2,65536,1,16,12582912,272,11.110465,44.571257,1.132528,0.282310
46eac67,3,65536,1,16,12582912,272,11.060384,44.344594,1.137656,0.283753
46eac67,4,65536,1,16,12582912,272,11.011533,44.344594,1.142703,0.283753
46eac67,5,65536,1,16,12582912,272,11.128180,43.209809,1.130725,0.291205
46eac67,6,65536,1,16,12582912,272,11.081463,44.375873,1.135492,0.283553
46eac67,7,65536,1,16,12582912,272,11.028538,44.419894,1.140941,0.283272
46eac67,8,65536,1,16,12582912,272,11.075591,44.394817,1.136094,0.283432
46eac67,9,65536,1,16,12582912,272,11.065052,44.244647,1.137176,0.284394
210e52a,0,65536,1,16,12582912,272,9.895813,38.614826,1.271539,0.325857
210e52a,1,65536,1,16,12582912,272,10.715884,47.388801,1.174230,0.265525
210e52a,2,65536,1,16,12582912,272,10.820343,42.879677,1.162894,0.293447
210e52a,3,65536,1,16,12582912,272,10.847254,47.331761,1.160009,0.265845
210e52a,4,65536,1,16,12582912,272,10.795436,42.903066,1.165577,0.293287
210e52a,5,65536,1,16,12582912,272,10.771003,47.296004,1.168221,0.266046
210e52a,6,65536,1,16,12582912,272,10.832648,42.444880,1.161573,0.296453
210e52a,7,65536,1,16,12582912,272,10.845749,47.281783,1.160170,0.266126
210e52a,8,65536,1,16,12582912,272,10.809170,42.768764,1.164096,0.294208
210e52a,9,65536,1,16,12582912,272,10.752549,47.097553,1.170226,0.267167
4d49ad2,0,65536,1,16,12582912,272,1.089325,41.541061,11.551106,0.302903
4d49ad2,1,65536,1,16,12582912,272,1.096957,49.292756,11.470743,0.255269
4d49ad2,2,65536,1,16,12582912,272,1.095453,45.853086,11.486487,0.274418
4d49ad2,3,65536,1,16,12582912,272,1.096222,43.624021,11.478435,0.288440
4d49ad2,4,65536,1,16,12582912,272,1.095583,44.973183,11.485127,0.279787
4d49ad2,5,65536,1,16,12582912,272,1.096340,43.636122,11.477195,0.288360
4d49ad2,6,65536,1,16,12582912,272,1.095388,44.863987,11.487170,0.280468
4d49ad2,7,65536,1,16,12582912,272,1.095239,43.684751,11.488733,0.288039
4d49ad2,8,65536,1,16,12582912,272,1.095045,44.921806,11.490776,0.280107
4d49ad2,9,65536,1,16,12582912,272,1.095659,43.341080,11.484329,0.290323
4f8e898,0,65536,1,16,12582912,272,9.776302,37.201575,1.287083,0.338236
4f8e898,1,65536,1,16,12582912,272,11.133311,43.849469,1.130204,0.286957
4f8e898,2,65536,1,16,12582912,272,11.194413,43.861545,1.124035,0.286878
4f8e898,3,65536,1,16,12582912,272,11.046780,43.800473,1.139057,0.287278
4f8e898,4,65536,1,16,12582912,272,11.121483,44.170097,1.131406,0.284874
4f8e898,5,65536,1,16,12582912,272,11.139629,42.803533,1.129563,0.293969
4f8e898,6,65536,1,16,12582912,272,11.164972,44.015127,1.126999,0.285877
4f8e898,7,65536,1,16,12582912,272,11.130149,44.039928,1.130525,0.285716
4f8e898,8,65536,1,16,12582912,272,11.075600,44.064606,1.136093,0.285556
4f8e898,9,65536,1,16,12582912,272,11.173707,44.126570,1.126118,0.285155
93ec50b,0,65536,1,16,12582912,272,1.964565,38.094943,6.404934,0.330304
93ec50b,1,65536,1,16,12582912,272,1.977441,48.681349,6.363231,0.258475
93ec50b,2,65536,1,16,12582912,272,1.952997,46.490937,6.442872,0.270653
93ec50b,3,65536,1,16,12582912,272,1.952451,42.914627,6.444675,0.293208
93ec50b,4,65536,1,16,12582912,272,1.936059,42.722151,6.499239,0.294529
93ec50b,5,65536,1,16,12582912,272,1.949071,44.344594,6.455852,0.283753
93ec50b,6,65536,1,16,12582912,272,1.934259,43.539339,6.505288,0.289001
93ec50b,7,65536,1,16,12582912,272,1.949784,44.583734,6.453489,0.282231
93ec50b,8,65536,1,16,12582912,272,1.935916,44.288250,6.499720,0.284114
93ec50b,9,65536,1,16,12582912,272,1.949808,42.462211,6.453410,0.296332
f44cde1,0,65536,1,16,12582912,272,1.975729,39.458718,6.368743,0.318888
f44cde1,1,65536,1,16,12582912,272,2.010508,45.765863,6.258575,0.274941
f44cde1,2,65536,1,16,12582912,272,1.983127,47.654605,6.344987,0.264044
f44cde1,3,65536,1,16,12582912,272,1.995651,45.481007,6.305166,0.276663
f44cde1,4,65536,1,16,12582912,272,1.948362,44.113882,6.458200,0.285237
f44cde1,5,65536,1,16,12582912,272,1.998483,42.716056,6.296233,0.294571
f44cde1,6,65536,1,16,12582912,272,1.945708,42.751034,6.467008,0.294330
f44cde1,7,65536,1,16,12582912,272,1.991515,45.031126,6.318261,0.279427
f44cde1,8,65536,1,16,12582912,272,1.946540,44.175990,6.464244,0.284836
f44cde1,9,65536,1,16,12582912,272,1.994373,44.748788,6.309207,0.281190
803fa06,0,65536,1,16,12582912,272,7.635285,39.256702,1.647995,0.320529
803fa06,1,65536,1,16,12582912,272,8.012777,45.448318,1.570356,0.276862
803fa06,2,65536,1,16,12582912,272,8.368000,47.168174,1.503694,0.266767
803fa06,3,65536,1,16,12582912,272,7.667897,45.893223,1.640986,0.274178
803fa06,4,65536,1,16,12582912,272,7.917635,43.341080,1.589226,0.290323
803fa06,5,65536,1,16,12582912,272,7.525517,44.263322,1.672033,0.284274
803fa06,6,65536,1,16,12582912,272,7.899914,43.873779,1.592791,0.286798
803fa06,7,65536,1,16,12582912,272,7.428692,44.095490,1.693826,0.285356
803fa06,8,65536,1,16,12582912,272,7.849372,44.357103,1.603047,0.283673
803fa06,9,65536,1,16,12582912,272,7.551753,44.857585,1.666224,0.280508
e9f7384,0,65536,1,16,12582912,272,1.052142,36.513907,11.959332,0.344606
e9f7384,1,65536,1,16,12582912,272,1.067138,45.593398,11.791275,0.275981
e9f7384,2,65536,1,16,12582912,272,1.061641,46.217377,11.852328,0.272255
e9f7384,3,65536,1,16,12582912,272,1.068532,47.778011,11.775891,0.263362
e9f7384,4,65536,1,16,12582912,272,1.057487,46.865480,11.898879,0.268490
e9f7384,5,65536,1,16,12582912,272,1.061920,44.653510,11.849204,0.281790
e9f7384,6,65536,1,16,12582912,272,1.054487,45.336640,11.932731,0.277544
e9f7384,7,65536,1,16,12582912,272,1.045672,44.602856,12.033325,0.282110
e9f7384,8,65536,1,16,12582912,272,1.054721,45.238840,11.930087,0.278144
e9f7384,9,65536,1,16,12582912,272,1.062977,45.487749,11.837428,0.276622
7e7b4f7,0,65536,1,16,12582912,272,1.072292,42.571538,11.734591,0.295571
7e7b4f7,1,65536,1,16,12582912,272,1.074898,48.085110,11.706147,0.261680
7e7b4f7,2,65536,1,16,12582912,272,1.083613,47.618713,11.612003,0.264243
7e7b4f7,3,65536,1,16,12582912,272,1.074240,47.836132,11.713318,0.263042
7e7b4f7,4,65536,1,16,12582912,272,1.082899,47.203564,11.619655,0.266567
7e7b4f7,5,65536,1,16,12582912,272,1.072889,47.597101,11.728061,0.264363
7e7b4f7,6,65536,1,16,12582912,272,1.079846,46.677542,11.652506,0.269571
7e7b4f7,7,65536,1,16,12582912,272,1.071912,47.281783,11.738757,0.266126
7e7b4f7,8,65536,1,16,12582912,272,1.081154,46.360584,11.638404,0.271414
7e7b4f7,9,65536,1,16,12582912,272,1.073032,47.438830,11.726503,0.265245
d2930e6,0,65536,1,16,12582912,272,1.065852,39.119765,11.805498,0.321651
d2930e6,1,65536,1,16,12582912,272,1.074148,43.032184,11.714320,0.292407
d2930e6,2,65536,1,16,12582912,272,1.067859,43.953626,11.783305,0.286277
d2930e6,3,65536,1,16,12582912,272,1.067493,45.415344,11.787352,0.277063
d2930e6,4,65536,1,16,12582912,272,1.068237,42.867844,11.779139,0.293528
d2930e6,5,65536,1,16,12582912,272,1.067203,44.002966,11.790557,0.285956
d2930e6,6,65536,1,16,12582912,272,1.066797,43.138703,11.795044,0.291685
d2930e6,7,65536,1,16,12582912,272,1.068193,42.233748,11.779620,0.297935
d2930e6,8,65536,1,16,12582912,272,1.066148,43.097184,11.802214,0.291966
d2930e6,9,65536,1,16,12582912,272,1.068389,45.389136,11.777458,0.277223
5c2d5a4,0,65536,1,16,12582912,272,8.145566,40.743681,1.544756,0.308831
