Tag,Rep,ChunkSize,NumFiles,Duplicates,UncompressedBytes,Chunks,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs
ca26a31,0,65536,1,512,527433728,8208,1.822791,86.017817,289.355042,6.131680
ca26a31,1,65536,1,512,527433728,8208,1.825046,92.436225,288.997437,5.705920
ca26a31,2,65536,1,512,527433728,8208,1.824705,97.275165,289.051514,5.422080
ca26a31,3,65536,1,512,527433728,8208,1.824579,97.237863,289.071533,5.424160
ca26a31,4,65536,1,512,527433728,8208,1.824656,88.896525,289.059204,5.933120
ca26a31,5,65536,1,512,527433728,8208,1.825520,93.275820,288.922394,5.654560
ca26a31,6,65536,1,512,527433728,8208,1.825273,97.137577,288.961609,5.429760
ca26a31,7,65536,1,512,527433728,8208,1.825602,88.968499,288.909454,5.928320
ca26a31,8,65536,1,512,527433728,8208,1.825009,88.199620,289.003357,5.980000
ca26a31,9,65536,1,512,527433728,8208,1.825497,89.187541,288.926086,5.913760
ca26a31,10,65536,1,512,527433728,8208,1.824852,96.712948,289.028168,5.453600
ca26a31,11,65536,1,512,527433728,8208,1.824990,96.843645,289.006409,5.446240
ca26a31,12,65536,1,512,527433728,8208,1.824732,96.977544,289.047211,5.438720
ca26a31,13,65536,1,512,527433728,8208,1.824769,97.335487,289.041443,5.418720
ca26a31,14,65536,1,512,527433728,8208,1.824596,88.872540,289.068787,5.934721
ca26a31,15,65536,1,512,527433728,8208,1.824695,88.906114,289.053131,5.932480
ca26a31,16,65536,1,512,527433728,8208,1.824466,88.834233,289.089325,5.937280
ca26a31,17,65536,1,512,527433728,8208,1.823288,97.229239,289.276184,5.424641
ca26a31,18,65536,1,512,527433728,8208,1.825447,93.254713,288.933960,5.655840
ca26a31,19,65536,1,512,527433728,8208,1.824623,88.624064,289.064514,5.951360
ca26a31,20,65536,1,512,527433728,8208,1.824992,89.187541,289.006104,5.913760
ca26a31,21,65536,1,512,527433728,8208,1.824427,88.256292,289.095551,5.976160
ca26a31,22,65536,1,512,527433728,8208,1.824857,96.852184,289.027405,5.445760
ca26a31,23,65536,1,512,527433728,8208,1.825945,91.560727,288.855225,5.760480
ca26a31,24,65536,1,512,527433728,8208,1.824042,96.914819,289.156525,5.442240
ca26a31,25,65536,1,512,527433728,8208,1.824670,88.088843,289.057007,5.987520
