Tag,Rep,ChunkSize,NumFiles,Duplicates,UncompressedBytes,Chunks,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs
ca26a31,0,65536,1,16,12582912,272,2.326240,26.479192,5.409120,0.475200
ca26a31,1,65536,1,16,12582912,272,2.550949,29.116328,4.932640,0.432160
ca26a31,2,65536,1,16,12582912,272,2.600893,29.084025,4.837920,0.432640
ca26a31,3,65536,1,16,12582912,272,2.592063,28.870484,4.854400,0.435840
ca26a31,4,65536,1,16,12582912,272,2.597714,28.976860,4.843840,0.434240
ca26a31,5,65536,1,16,12582912,272,2.601409,29.105552,4.836960,0.432320
ca26a31,6,65536,1,16,12582912,272,2.606756,29.051791,4.827039,0.433120
ca26a31,7,65536,1,16,12582912,272,2.607187,28.828153,4.826240,0.436480
ca26a31,8,65536,1,16,12582912,272,2.593602,29.137903,4.851519,0.431840
ca26a31,9,65536,1,16,12582912,272,2.607706,29.137903,4.825280,0.431840
4a1dcfe,0,65536,1,16,12582912,272,4.346611,24.800758,2.894879,0.507360
4a1dcfe,1,65536,1,16,12582912,272,4.368826,24.699497,2.880159,0.509440
4a1dcfe,2,65536,1,16,12582912,272,4.461015,26.969547,2.820639,0.466560
4a1dcfe,3,65536,1,16,12582912,272,4.861422,26.951063,2.588319,0.466880
4a1dcfe,4,65536,1,16,12582912,272,4.913050,26.969547,2.561120,0.466560
4a1dcfe,5,65536,1,16,12582912,272,4.925977,27.127699,2.554399,0.463840
4a1dcfe,6,65536,1,16,12582912,272,4.919199,26.960301,2.557919,0.466720
4a1dcfe,7,65536,1,16,12582912,272,4.909066,26.904960,2.563199,0.467680
4a1dcfe,8,65536,1,16,12582912,272,4.921046,26.932602,2.556959,0.467200
4a1dcfe,9,65536,1,16,12582912,272,4.928756,27.015871,2.552959,0.465760
4678ea4,0,65536,1,16,12582912,272,6.395836,24.514714,1.967360,0.513280
4678ea4,1,65536,1,16,12582912,272,6.444582,24.668508,1.952479,0.510080
4678ea4,2,65536,1,16,12582912,272,6.475893,24.753920,1.943039,0.508320
4678ea4,3,65536,1,16,12582912,272,6.583775,26.685850,1.911200,0.471520
4678ea4,4,65536,1,16,12582912,272,7.247553,27.015871,1.736160,0.465760
4678ea4,5,65536,1,16,12582912,272,7.286501,26.988058,1.726880,0.466240
4678ea4,6,65536,1,16,12582912,272,7.287180,26.859017,1.726719,0.468480
4678ea4,7,65536,1,16,12582912,272,7.217625,26.822374,1.743359,0.469120
4678ea4,8,65536,1,16,12582912,272,7.295292,26.776710,1.724799,0.469920
4678ea4,9,65536,1,16,12582912,272,7.214315,26.969547,1.744159,0.466560
981e19c,0,65536,1,16,12582912,272,3.864156,24.761762,3.256316,0.508159
981e19c,1,65536,1,16,12582912,272,3.881318,24.871348,3.241917,0.505920
981e19c,2,65536,1,16,12582912,272,4.025764,27.127758,3.125596,0.463839
981e19c,3,65536,1,16,12582912,272,4.326527,27.015871,2.908317,0.465760
981e19c,4,65536,1,16,12582912,272,4.317502,27.043799,2.914396,0.465279
981e19c,5,65536,1,16,12582912,272,4.337264,26.960359,2.901117,0.466719
981e19c,6,65536,1,16,12582912,272,4.357210,27.062412,2.887837,0.464959
981e19c,7,65536,1,16,12582912,272,4.261354,27.025213,2.952797,0.465599
981e19c,8,65536,1,16,12582912,272,4.332247,27.043799,2.904477,0.465279
981e19c,9,65536,1,16,12582912,272,4.299326,26.978799,2.926717,0.466400
7495b65,0,65536,1,16,12582912,272,4.407021,24.808630,2.855197,0.507199
7495b65,1,65536,1,16,12582912,272,4.367858,24.753967,2.880797,0.508319
7495b65,2,65536,1,16,12582912,272,4.406280,26.997322,2.855677,0.466080
7495b65,3,65536,1,16,12582912,272,4.943321,26.923383,2.545437,0.467360
7495b65,4,65536,1,16,12582912,272,4.951413,27.118346,2.541277,0.464000
7495b65,5,65536,1,16,12582912,272,4.966736,27.006593,2.533437,0.465920
7495b65,6,65536,1,16,12582912,272,4.908150,26.849846,2.563677,0.468640
7495b65,7,65536,1,16,12582912,272,4.943321,26.969547,2.545437,0.466560
7495b65,8,65536,1,16,12582912,272,4.926907,27.081050,2.553917,0.464639
7495b65,9,65536,1,16,12582912,272,4.889536,27.015928,2.573437,0.465759
7495b65_v2,0,65536,1,16,12582912,272,4.391026,24.653090,2.865597,0.510399
7495b65_v2,1,65536,1,16,12582912,272,4.408997,24.753967,2.853917,0.508319
7495b65_v2,2,65536,1,16,12582912,272,4.463803,26.586612,2.818877,0.473280
7495b65_v2,3,65536,1,16,12582912,272,4.913055,26.886564,2.561118,0.468000
7495b65_v2,4,65536,1,16,12582912,272,4.930921,27.118346,2.551838,0.464000
7495b65_v2,5,65536,1,16,12582912,272,4.925364,26.877375,2.554717,0.468160
7495b65_v2,6,65536,1,16,12582912,272,4.957031,26.923383,2.538397,0.467360
7495b65_v2,7,65536,1,16,12582912,272,4.959219,27.015871,2.537277,0.465760
7495b65_v2,8,65536,1,16,12582912,272,4.919511,26.895817,2.557757,0.467839
7495b65_v2,9,65536,1,16,12582912,272,4.933398,26.886621,2.550557,0.467999
