Tag,Rep,ChunkSize,NumFiles,Duplicates,UncompressedBytes,Chunks,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs
ca26a31,0,65536,1,512,527433728,8208,2.415668,126.198764,218.338654,4.179389
ca26a31,1,65536,1,512,527433728,8208,2.409900,127.388686,218.861221,4.140350
ca26a31,2,65536,1,512,527433728,8208,2.409456,129.150502,218.901550,4.083869
ca26a31,3,65536,1,512,527433728,8208,2.409941,125.626418,218.857559,4.198430
ca26a31,4,65536,1,512,527433728,8208,2.410889,124.497228,218.771469,4.236510
ca26a31,5,65536,1,512,527433728,8208,2.408777,124.751643,218.963303,4.227870
ca26a31,6,65536,1,512,527433728,8208,2.409729,127.610621,218.876755,4.133149
ca26a31,7,65536,1,512,527433728,8208,2.564547,124.145581,205.663528,4.248510
ca26a31,8,65536,1,512,527433728,8208,2.557728,125.842235,206.211853,4.191230
ca26a31,9,65536,1,512,527433728,8208,2.555429,120.921363,206.397293,4.361791
ca26a31,10,65536,1,512,527433728,8208,2.556621,121.675665,206.301132,4.334751
ca26a31,11,65536,1,512,527433728,8208,2.556769,126.164952,206.289139,4.180509
ca26a31,12,65536,1,512,527433728,8208,2.557809,122.690076,206.205292,4.298911
ca26a31,13,65536,1,512,527433728,8208,2.557982,123.328134,206.191376,4.276670
ca26a31,14,65536,1,512,527433728,8208,2.556597,120.589599,206.303055,4.373791
ca26a31,15,65536,1,512,527433728,8208,2.556394,123.517566,206.319382,4.270111
ca26a31,16,65536,1,512,527433728,8208,2.556123,122.831798,206.341293,4.293951
ca26a31,17,65536,1,512,527433728,8208,2.556398,121.299583,206.319061,4.348191
ca26a31,18,65536,1,512,527433728,8208,2.558595,119.631193,206.141937,4.408831
ca26a31,19,65536,1,512,527433728,8208,2.557620,121.954760,206.220490,4.324831
ca26a31,20,65536,1,512,527433728,8208,2.555459,126.883676,206.394897,4.156829
ca26a31,21,65536,1,512,527433728,8208,2.554493,120.426601,206.472977,4.379711
