Tag,Rep,ChunkSize,NumFiles,Duplicates,UncompressedBytes,Chunks,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs
ca26a31,0,65536,1,16,12582912,272,3.179924,28.838526,3.956985,0.436323
ca26a31,1,65536,1,16,12582912,272,3.183142,28.764690,3.952985,0.437443
ca26a31,2,65536,1,16,12582912,272,3.167883,28.680767,3.972025,0.438723
ca26a31,3,65536,1,16,12582912,272,3.183142,28.442195,3.952985,0.442403
ca26a31,4,65536,1,16,12582912,272,3.175301,28.827955,3.962746,0.436483
ca26a31,5,65536,1,16,12582912,272,3.191280,28.827955,3.942905,0.436483
ca26a31,6,65536,1,16,12582912,272,3.167245,28.923375,3.972826,0.435043
ca26a31,7,65536,1,16,12582912,272,3.186495,29.256938,3.948825,0.430083
ca26a31,8,65536,1,16,12582912,272,3.184818,29.051591,3.950905,0.433123
ca26a31,9,65536,1,16,12582912,272,3.192446,29.432130,3.941465,0.427523
4a1dcfe,0,65536,1,16,12582912,272,7.152589,29.019431,1.759211,0.433603
4a1dcfe,1,65536,1,16,12582912,272,7.320366,29.040930,1.718891,0.433282
4a1dcfe,2,65536,1,16,12582912,272,7.241501,29.148500,1.737611,0.431683
4a1dcfe,3,65536,1,16,12582912,272,7.306085,28.066684,1.722251,0.448322
4a1dcfe,4,65536,1,16,12582912,272,7.237502,29.311529,1.738571,0.429282
4a1dcfe,5,65536,1,16,12582912,272,7.296595,29.170124,1.724491,0.431363
4a1dcfe,6,65536,1,16,12582912,272,7.244836,29.278724,1.736811,0.429763
4a1dcfe,7,65536,1,16,12582912,272,7.291183,27.986718,1.725771,0.449603
4a1dcfe,8,65536,1,16,12582912,272,7.246172,28.638989,1.736491,0.439363
4a1dcfe,9,65536,1,16,12582912,272,7.317642,28.545432,1.719531,0.440803
4678ea4,0,65536,1,16,12582912,272,8.176611,28.701701,1.538891,0.438403
4678ea4,1,65536,1,16,12582912,272,8.553694,28.891498,1.471050,0.435523
4678ea4,2,65536,1,16,12582912,272,8.339626,29.062325,1.508810,0.432963
4678ea4,3,65536,1,16,12582912,272,8.535128,28.607735,1.474250,0.439843
4678ea4,4,65536,1,16,12582912,272,8.221057,28.880887,1.530571,0.435683
4678ea4,5,65536,1,16,12582912,272,8.534201,28.785813,1.474410,0.437122
4678ea4,6,65536,1,16,12582912,272,8.232250,28.743662,1.528490,0.437763
4678ea4,7,65536,1,16,12582912,272,8.549974,28.733226,1.471690,0.437922
4678ea4,8,65536,1,16,12582912,272,8.380507,29.073070,1.501450,0.432803
4678ea4,9,65536,1,16,12582912,272,8.574217,28.493719,1.467529,0.441603
981e19c,0,65536,1,16,12582912,272,6.558478,28.638989,1.918572,0.439363
981e19c,1,65536,1,16,12582912,272,6.659556,28.473087,1.889452,0.441923
981e19c,2,65536,1,16,12582912,272,6.496173,28.329492,1.936973,0.444163
981e19c,3,65536,1,16,12582912,272,6.698126,28.743662,1.878572,0.437763
981e19c,4,65536,1,16,12582912,272,6.448764,28.339701,1.951213,0.444003
981e19c,5,65536,1,16,12582912,272,6.580976,28.329492,1.912013,0.444163
981e19c,6,65536,1,16,12582912,272,6.459357,28.177238,1.948013,0.446563
981e19c,7,65536,1,16,12582912,272,6.599757,28.278557,1.906572,0.444963
981e19c,8,65536,1,16,12582912,272,6.578774,28.535074,1.912653,0.440963
981e19c,9,65536,1,16,12582912,272,6.595326,28.955322,1.907853,0.434563
7495b65,0,65536,1,16,12582912,272,7.162356,28.670310,1.756812,0.438883
7495b65,1,65536,1,16,12582912,272,7.314235,28.796288,1.720332,0.436963
7495b65,2,65536,1,16,12582912,272,7.250844,28.859691,1.735372,0.436003
7495b65,3,65536,1,16,12582912,272,7.319004,29.202619,1.719211,0.430883
7495b65,4,65536,1,16,12582912,272,7.244836,29.355226,1.736811,0.428643
7495b65,5,65536,1,16,12582912,272,7.314915,28.670310,1.720172,0.438883
7495b65,6,65536,1,16,12582912,272,7.216913,28.965988,1.743531,0.434403
7495b65,7,65536,1,16,12582912,272,7.304049,28.691231,1.722731,0.438563
7495b65,8,65536,1,16,12582912,272,7.314239,28.859691,1.720331,0.436003
7495b65,9,65536,1,16,12582912,272,7.325822,28.146984,1.717611,0.447043
7495b65_v2,0,65536,1,16,12582912,272,7.172158,28.754172,1.754411,0.437603
7495b65_v2,1,65536,1,16,12582912,272,7.314919,28.442195,1.720171,0.442403
7495b65_v2,2,65536,1,16,12582912,272,7.268944,28.923375,1.731051,0.435043
7495b65_v2,3,65536,1,16,12582912,272,7.327187,29.008726,1.717291,0.433763
7495b65_v2,4,65536,1,16,12582912,272,7.229518,28.923442,1.740491,0.435042
7495b65_v2,5,65536,1,16,12582912,272,7.292535,28.670310,1.725451,0.438883
7495b65_v2,6,65536,1,16,12582912,272,7.227525,28.722667,1.740971,0.438083
7495b65_v2,7,65536,1,16,12582912,272,7.319685,28.998029,1.719051,0.433923
7495b65_v2,8,65536,1,16,12582912,272,7.261561,28.934017,1.732811,0.434883
7495b65_v2,9,65536,1,16,12582912,272,7.324457,28.902117,1.717931,0.435363
