frame,zero_frac,lz4_ratio,zfp_acc1e13_ratio,zfp_acc1e6_ratio
0,1.000000,245.4502,2048.0000,2048.0000
1,0.979667,40.8569,1048.8619,1987.3491
2,0.954159,20.1381,711.8435,1876.2215
3,0.933509,14.2620,487.5159,1710.0445
4,0.913712,11.1505,344.4461,1497.4003
5,0.894765,9.2210,251.0351,1260.6237
6,0.875815,7.8550,188.0100,1034.1113
7,0.855446,6.7786,144.4816,843.6470
8,0.833445,5.9004,113.4491,677.3150
9,0.809253,5.1657,90.4878,541.9051
10,0.783213,4.5561,73.5444,437.1640
11,0.755270,4.0443,60.5084,352.8511
12,0.725516,3.6122,50.3189,286.6028
13,0.693956,3.2440,42.3465,234.9342
14,0.660666,2.9291,35.9781,194.1300
15,0.625812,2.6588,30.8431,161.6993
16,0.589535,2.4260,26.6057,135.9372
17,0.552052,2.2247,23.1280,115.1616
18,0.513670,2.0505,20.1938,98.3607
19,0.475038,1.9002,17.7636,84.7329
20,0.437043,1.7721,15.7247,73.4600
21,0.400714,1.6642,13.9850,64.1765
22,0.366402,1.5731,12.4749,56.3936
23,0.334219,1.4961,11.1782,49.8924
24,0.304208,1.4307,10.0479,44.3828
25,0.276356,1.3749,9.0791,39.6929
26,0.250614,1.3270,8.2317,35.6791
27,0.227068,1.2861,7.4865,32.2313
28,0.205752,1.2512,6.8281,29.2481
29,0.186648,1.2214,6.2405,26.6389
30,0.169779,1.1961,5.7129,24.3706
31,0.155185,1.1750,5.2433,22.3741
32,0.142763,1.1575,4.8276,20.6119
33,0.132441,1.1433,4.4555,19.0512
34,0.124070,1.1319,4.1215,17.6685
35,0.117372,1.1229,3.8148,16.4312
36,0.112071,1.1159,3.5411,15.3251
37,0.107888,1.1105,3.3024,14.3315
38,0.104653,1.1063,3.0906,13.4255
39,0.102197,1.1031,2.9034,12.5973
40,0.100354,1.1007,2.7363,11.8257
41,0.099023,1.0990,2.5891,11.1151
42,0.098087,1.0978,2.4584,10.4475
43,0.097469,1.0970,2.3431,9.8318
44,0.097089,1.0965,2.2414,9.2708
45,0.096871,1.0962,2.1511,8.7632
46,0.096762,1.0961,2.0715,8.3078
47,0.096716,1.0960,2.0015,7.9006
48,0.096705,1.0961,1.9401,7.5408
49,0.096704,1.0961,1.8867,7.2160
50,0.096704,1.0962,1.8407,6.9184
51,0.096704,1.0963,1.8009,6.6458
52,0.096704,1.0963,1.7659,6.3907
53,0.096704,1.0964,1.7347,6.1513
54,0.096704,1.0964,1.7079,5.9267
55,0.096704,1.0965,1.6847,5.7134
56,0.096704,1.0965,1.6645,5.5127
57,0.096704,1.0965,1.6469,5.3242
58,0.096704,1.0966,1.6316,5.1499
59,0.096704,1.0966,1.6179,4.9921
60,0.096704,1.0966,1.6064,4.8458
61,0.096704,1.0967,1.5966,4.7138
62,0.096704,1.0967,1.5876,4.5961
63,0.096704,1.0968,1.5797,4.4895
64,0.096704,1.0968,1.5735,4.3913
65,0.096704,1.0968,1.5686,4.3004
66,0.096704,1.0968,1.5648,4.2194
67,0.096704,1.0969,1.5620,4.1429
68,0.096704,1.0969,1.5594,4.0750
69,0.096704,1.0969,1.5567,4.0141
70,0.096704,1.0969,1.5535,3.9582
71,0.096704,1.0969,1.5502,3.9070
72,0.096704,1.0969,1.5486,3.8612
73,0.096704,1.0969,1.5474,3.8173
74,0.096704,1.0970,1.5453,3.7782
75,0.096704,1.0969,1.5434,3.7428
76,0.096704,1.0969,1.5424,3.7087
77,0.096704,1.0969,1.5417,3.6789
78,0.096704,1.0969,1.5406,3.6500
79,0.096704,1.0969,1.5398,3.6248
80,0.096704,1.0969,1.5388,3.6007
81,0.096704,1.0969,1.5378,3.5785
82,0.096704,1.0969,1.5370,3.5584
83,0.096704,1.0969,1.5364,3.5400
84,0.096704,1.0969,1.5353,3.5226
85,0.096704,1.0969,1.5343,3.5072
86,0.096704,1.0969,1.5333,3.4920
87,0.096704,1.0969,1.5324,3.4786
88,0.096704,1.0969,1.5310,3.4658
89,0.096704,1.0969,1.5298,3.4544
90,0.096704,1.0969,1.5290,3.4433
91,0.096704,1.0969,1.5277,3.4329
92,0.096704,1.0969,1.5263,3.4239
93,0.096704,1.0969,1.5251,3.4141
94,0.096704,1.0969,1.5238,3.4056
95,0.096704,1.0969,1.5226,3.3974
96,0.096704,1.0969,1.5213,3.3886
97,0.096704,1.0969,1.5199,3.3812
98,0.096704,1.0969,1.5186,3.3733
99,0.096704,1.0969,1.5176,3.3659
100,0.096704,1.0969,1.5160,3.3589
