Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp,Mode,ZfpParam,AllocMs,MemcpyH2HMs,PeakPinnedBytes,AdaptiveWindowBytes,AdaptiveNumWindows,MaxAbsDiff,RMSE,PSNR,MaxRelErr,AmplitudeRange,Campaign
cascaded,medium_binary_100.bin,104857600,100.0,65536,2.56,67.83,91.17,1.546,1.150,4.173,1.628,7.347,0.000966,10.0927,14.6955,0.3480,0.2630,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260525_215519,adaptive,,15.497,5.853,67108864,67108864,2,,,,,,lunaris_FULL_20260525_215519
cascaded,medium_binary_100.bin,104857600,100.0,65536,2.56,75.59,103.36,1.387,1.015,15.237,5.946,22.571,0.000867,0.4127,2.7902,0.0076,0.0288,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260525_215519,baseline,,0.000,0.000,0,0,0,,,,,,lunaris_FULL_20260525_215519
cascaded,medium_binary_100.bin,104857600,100.0,65536,2.56,69.45,93.02,1.510,1.127,4.550,1.776,7.836,0.000944,8.9140,13.5779,0.2824,0.2376,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260525_215519,pinned,,24.107,8.146,104857600,0,0,,,,,,lunaris_FULL_20260525_215519
lz4,medium_binary_100.bin,104857600,100.0,65536,3.24,18.27,198.27,5.739,0.529,4.010,1.237,10.986,0.003587,1.4062,11.2718,0.6457,0.0358,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260525_215519,adaptive,,15.421,5.842,67108864,67108864,2,,,,,,lunaris_FULL_20260525_215519
lz4,medium_binary_100.bin,104857600,100.0,65536,3.24,19.23,203.48,5.454,0.515,14.960,4.614,25.028,0.003409,0.4529,2.5152,0.1286,0.0065,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260525_215519,baseline,,0.000,0.000,0,0,0,,,,,,lunaris_FULL_20260525_215519
lz4,medium_binary_100.bin,104857600,100.0,65536,3.24,18.87,199.53,5.556,0.526,4.215,1.300,11.071,0.003473,1.1197,8.6297,0.4344,0.0267,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260525_215519,pinned,,23.243,8.980,104857600,0,0,,,,,,lunaris_FULL_20260525_215519
snappy,medium_binary_100.bin,104857600,100.0,65536,2.00,24.50,85.92,4.281,1.220,4.284,2.144,10.709,0.002675,2.5709,9.5111,0.7384,0.2233,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260525_215519,adaptive,,14.845,6.096,67108864,67108864,2,,,,,,lunaris_FULL_20260525_215519
snappy,medium_binary_100.bin,104857600,100.0,65536,2.00,25.80,90.73,4.065,1.156,15.121,7.566,26.752,0.002541,0.0903,1.1178,0.0142,0.0145,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260525_215519,baseline,,0.000,0.000,0,0,0,,,,,,lunaris_FULL_20260525_215519
snappy,medium_binary_100.bin,104857600,100.0,65536,2.00,24.91,87.69,4.209,1.196,4.096,2.049,10.354,0.002631,2.0611,7.2476,0.5165,0.1418,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260525_215519,pinned,,23.455,8.923,104857600,0,0,,,,,,lunaris_FULL_20260525_215519
cascaded,small_binary_10.bin,10485760,10.0,65536,2.56,37.80,53.25,0.277,0.197,0.562,0.220,1.059,0.001734,2.8087,3.6215,0.0224,0.0145,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260525_215519,adaptive,,2.321,0.485,10485760,10485760,1,,,,,,lunaris_FULL_20260525_215519
cascaded,small_binary_10.bin,10485760,10.0,65536,2.56,40.04,56.23,0.262,0.186,1.697,0.662,2.622,0.001637,0.5491,0.7454,0.0037,0.0025,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260525_215519,baseline,,0.000,0.000,0,0,0,,,,,,lunaris_FULL_20260525_215519
cascaded,small_binary_10.bin,10485760,10.0,65536,2.56,38.52,54.29,0.272,0.193,0.564,0.220,1.056,0.001701,2.3775,2.9436,0.0185,0.0113,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260525_215519,pinned,,2.256,0.452,10485760,0,0,,,,,,lunaris_FULL_20260525_215519
lz4,small_binary_10.bin,10485760,10.0,65536,3.24,5.65,64.06,1.857,0.164,0.552,0.170,2.579,0.011604,0.1753,1.3024,0.0658,0.0035,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260525_215519,adaptive,,2.362,0.584,10485760,10485760,1,,,,,,lunaris_FULL_20260525_215519
