Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp,Mode,ZfpParam,AllocMs,MemcpyH2HMs,PeakPinnedBytes,AdaptiveWindowBytes,AdaptiveNumWindows,MaxAbsDiff,RMSE,PSNR,MaxRelErr,AmplitudeRange,Campaign
cascaded,medium_binary_100.bin,104857600,100.0,65536,2.56,68.80,92.91,1.524,1.129,4.253,1.660,7.437,0.000953,9.9262,14.3868,0.3416,0.2544,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260526_213025,adaptive,,16.870,6.029,67108864,67108864,2,,,,,,lunaris_FULL_CHUNKOPT_20260526_213025
cascaded,medium_binary_100.bin,104857600,100.0,65536,2.56,75.94,103.03,1.381,1.018,14.994,5.852,22.227,0.000863,0.4706,2.4251,0.0087,0.0253,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260526_213025,baseline,,0.000,0.000,0,0,0,,,,,,lunaris_FULL_CHUNKOPT_20260526_213025
cascaded,medium_binary_100.bin,104857600,100.0,65536,2.56,70.57,95.08,1.486,1.103,4.045,1.579,7.109,0.000929,8.5605,12.6969,0.2776,0.2213,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260526_213025,pinned,,25.220,9.042,104857600,0,0,,,,,,lunaris_FULL_CHUNKOPT_20260526_213025
lz4,medium_binary_100.bin,104857600,100.0,65536,2.98,20.62,161.02,5.086,0.651,4.281,1.438,10.804,0.000397,0.5941,0.5623,0.1645,0.0023,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260526_213025,adaptive,,16.766,6.106,67108864,67108864,2,,,,,,lunaris_FULL_CHUNKOPT_20260526_213025
lz4,medium_binary_100.bin,104857600,100.0,65536,2.98,20.81,160.59,5.040,0.653,51.129,17.170,73.338,0.000394,1.8241,1.0202,0.3342,0.0042,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260526_213025,baseline,,0.000,0.000,0,0,0,,,,,,lunaris_FULL_CHUNKOPT_20260526_213025
lz4,medium_binary_100.bin,104857600,100.0,65536,2.98,20.70,161.30,5.066,0.650,4.433,1.489,10.988,0.000396,0.5213,0.4651,0.1264,0.0019,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260526_213025,pinned,,25.770,9.591,104857600,0,0,,,,,,lunaris_FULL_CHUNKOPT_20260526_213025
snappy,medium_binary_100.bin,104857600,100.0,65536,2.26,22.06,65.11,4.752,1.611,4.230,1.874,10.856,0.000743,1.9044,6.4006,0.5471,0.1976,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260526_213025,adaptive,,16.607,5.949,67108864,67108864,2,,,,,,lunaris_FULL_CHUNKOPT_20260526_213025
snappy,medium_binary_100.bin,104857600,100.0,65536,2.26,23.48,69.89,4.465,1.500,28.583,12.661,45.709,0.000698,0.8012,0.7900,0.1320,0.0171,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260526_213025,baseline,,0.000,0.000,0,0,0,,,,,,lunaris_FULL_CHUNKOPT_20260526_213025
snappy,medium_binary_100.bin,104857600,100.0,65536,2.26,22.49,66.05,4.663,1.588,4.159,1.842,10.664,0.000729,1.2637,5.4702,0.3039,0.1665,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260526_213025,pinned,,26.336,9.668,104857600,0,0,,,,,,lunaris_FULL_CHUNKOPT_20260526_213025
cascaded,small_binary_10.bin,10485760,10.0,65536,2.56,37.53,53.01,0.279,0.198,0.574,0.224,1.077,0.001746,3.1933,4.1139,0.0262,0.0167,anon-host,AMD Radeon RX 7900 XT,gfx1100,RX7900XT,30,5,20260526_213025,adaptive,,2.501,0.594,10485760,10485760,1,,,,,,lunaris_FULL_CHUNKOPT_20260526_213025
