GPUArch,EnvLabel,Campaign,Mode,ChunkSize,ChunkSizeKiB,Algorithm,Dataset,Size,FileSizeMB,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,1048576,1024,lz4,tti,medium,100.00,1.06,1.22,23.48,86.053,4.466,7.200,6.821,100.073
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,1048576,1024,lz4,tti,large,686.00,1.04,6.29,79.95,114.388,8.997,42.179,40.634,197.201
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,1048576,1024,snappy,tti,medium,100.00,1.05,6.14,15.14,17.069,6.927,7.134,6.784,30.988
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,1048576,1024,snappy,tti,large,686.00,1.03,17.30,70.99,41.581,10.132,41.714,40.306,123.600
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,1048576,1024,cascaded,tti,medium,100.00,1.04,18.70,16.49,5.608,6.360,7.060,6.794,19.462
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,1048576,1024,cascaded,tti,large,686.00,1.02,45.75,77.61,15.722,9.268,42.243,41.314,99.279
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,16384,16,lz4,tti,medium,100.00,1.06,9.90,182.65,10.594,0.574,28.568,27.039,66.201
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,16384,16,lz4,tti,large,686.00,1.04,11.19,160.40,64.268,4.484,197.640,190.197,452.106
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,16384,16,snappy,tti,medium,100.00,1.05,23.82,81.24,4.403,1.291,28.788,27.393,60.584
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,16384,16,snappy,tti,large,686.00,1.03,28.60,64.51,25.147,11.150,197.521,190.961,413.630
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,16384,16,cascaded,tti,medium,100.00,1.05,42.62,169.76,2.460,0.618,28.716,27.436,58.612
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,16384,16,cascaded,tti,large,686.00,1.03,57.42,204.79,12.528,3.512,197.882,192.163,402.574
