host,timestamp,size_mb,size_bytes,h2d_pageable_gbps,h2d_pinned_gbps,d2h_pageable_gbps,d2h_pinned_gbps
larochette-5,20260526_065222,1,1048576,5.99,19.95,2.70,21.36
larochette-5,20260526_065222,2,2097152,21.30,22.29,6.53,23.41
larochette-5,20260526_065222,4,4194304,22.44,23.52,10.11,24.48
larochette-5,20260526_065222,8,8388608,23.18,24.09,4.27,24.84
larochette-5,20260526_065222,16,16777216,23.90,27.51,12.54,26.90
larochette-5,20260526_065222,24,25165824,24.84,27.76,22.90,27.49
larochette-5,20260526_065222,32,33554432,26.01,27.84,23.61,27.75
larochette-5,20260526_065222,48,50331648,26.70,27.91,20.14,28.48
larochette-5,20260526_065222,64,67108864,27.12,27.94,20.74,28.16
larochette-5,20260526_065222,96,100663296,27.65,27.96,21.20,20.21
larochette-5,20260526_065222,128,134217728,27.72,23.46,25.01,28.38
larochette-5,20260526_065222,192,201326592,24.95,27.95,24.97,21.24
larochette-5,20260526_065222,256,268435456,27.75,19.12,26.19,28.49
larochette-5,20260526_065222,384,402653184,10.26,20.78,26.31,28.53
larochette-5,20260526_065222,512,536870912,27.79,25.28,21.77,27.99
larochette-5,20260526_065222,1024,1073741824,27.78,28.02,24.15,24.83
