host,timestamp,size_mb,size_bytes,h2d_pageable_gbps,h2d_pinned_gbps,d2h_pageable_gbps,d2h_pinned_gbps
vianden-1,20260527_001915,1,1048576,4.45,16.07,3.82,20.11
vianden-1,20260527_001915,2,2097152,17.84,17.83,21.04,22.66
vianden-1,20260527_001915,4,4194304,18.82,19.45,23.22,24.00
vianden-1,20260527_001915,8,8388608,20.65,20.07,25.43,27.64
vianden-1,20260527_001915,16,16777216,21.68,23.60,40.63,47.08
vianden-1,20260527_001915,24,25165824,22.48,31.63,46.79,47.56
vianden-1,20260527_001915,32,33554432,25.83,54.38,47.24,47.88
vianden-1,20260527_001915,48,50331648,26.39,54.60,47.04,48.09
vianden-1,20260527_001915,64,67108864,38.21,54.79,47.43,48.18
vianden-1,20260527_001915,96,100663296,51.37,55.00,47.42,43.07
vianden-1,20260527_001915,128,134217728,49.57,48.85,47.58,48.38
vianden-1,20260527_001915,192,201326592,50.73,55.20,47.63,45.62
vianden-1,20260527_001915,256,268435456,54.26,55.23,46.25,48.46
vianden-1,20260527_001915,384,402653184,54.23,49.32,47.41,48.50
vianden-1,20260527_001915,512,536870912,49.05,55.31,47.67,48.30
vianden-1,20260527_001915,1024,1073741824,50.58,55.35,47.77,48.50
