Files,Duplicate data,Size in MB,Pages,Avg page size in KB,Max page size in KB,Ucompressed size in bytes,Compressed size in bytes,Compression ratio,Compression throughput (uncompressed) in GB/s,Decompression throughput (uncompressed) in GB/s,Compression time (ms),Decompression time (ms),Transfer H2D (ms),Transfer D2H (ms),Total time (ms),Avg chunk time (ms),Comp throughput stddev (GB/s),Decomp throughput stddev (GB/s),Comp time stddev (ms),Decomp time stddev (ms),t_alloc_ms,t_memcpy_h2h_ms,peak_pinned_bytes,adaptive_window_bytes,adaptive_num_windows,algo,size,mode
1,0,104.857600,1600,65.536000,65.536000,104857600,100596168,1.04,89.59,288.71,1.170,0.363,4.747,4.554,10.472,0.000731,0.6671,1.3616,0.0087,0.0017,19.476,21.204,79691776,79691776,2,cascaded,100mb,adaptive
1,0,104.857600,1600,65.536000,65.536000,104857600,100596168,1.04,89.52,285.02,1.171,0.368,17.708,16.988,35.867,0.000732,0.8403,7.0313,0.0111,0.0094,0.000,0.000,0,0,0,cascaded,100mb,baseline
1,0,104.857600,1600,65.536000,65.536000,104857600,100596168,1.04,89.51,289.93,1.171,0.362,1.954,1.874,5.000,0.000732,0.6954,4.1313,0.0092,0.0052,17.948,13.088,104857600,0,0,cascaded,100mb,pinned
1,0,3956.277248,60368,65.536000,65.536000,3956277248,3857458048,1.03,132.80,737.31,29.792,5.366,72.880,71.059,173.731,0.000494,0.1635,1.2059,0.0367,0.0088,11.317,311.066,79691776,79691776,50,cascaded,4gb,adaptive
1,0,3956.277248,60368,65.536000,65.536000,3956277248,3857458048,1.03,129.69,735.36,30.505,5.380,824.319,803.729,1658.553,0.000505,5.6207,2.2582,1.4109,0.0165,0.000,0.000,0,0,0,cascaded,4gb,baseline
1,0,3956.277248,60368,65.536000,65.536000,3956277248,3857458048,1.03,132.81,734.08,29.789,5.389,72.966,71.143,173.898,0.000493,0.0631,11.5775,0.0142,0.0869,705.121,494.408,3956277248,0,0,cascaded,4gb,pinned
1,0,719.323136,10976,65.536000,65.536000,719323136,701386392,1.03,125.37,617.62,5.738,1.165,16.031,15.631,37.400,0.000523,1.6622,1.4221,0.0773,0.0027,14.169,53.698,79691776,79691776,10,cascaded,686mb,adaptive
1,0,719.323136,10976,65.536000,65.536000,719323136,701386392,1.03,126.12,616.98,5.703,1.166,121.682,118.648,246.034,0.000520,0.4744,0.8736,0.0215,0.0017,0.000,0.000,0,0,0,cascaded,686mb,baseline
1,0,719.323136,10976,65.536000,65.536000,719323136,701386392,1.03,126.08,617.28,5.705,1.165,13.942,13.594,33.241,0.000520,0.4852,1.0601,0.0219,0.0020,100.067,69.376,719323136,0,0,cascaded,686mb,pinned
1,0,104.857600,1600,65.536000,65.536000,104857600,99315131,1.06,4.86,70.43,21.592,1.489,4.862,4.605,31.060,0.013495,0.0411,0.5747,0.1831,0.0122,19.704,20.894,79691776,79691776,2,lz4,100mb,adaptive
1,0,104.857600,1600,65.536000,65.536000,104857600,99315131,1.06,4.88,71.68,21.504,1.463,16.409,15.542,53.456,0.013440,0.0185,0.4100,0.0814,0.0083,0.000,0.000,0,0,0,lz4,100mb,baseline
1,0,104.857600,1600,65.536000,65.536000,104857600,99315131,1.06,4.85,70.84,21.620,1.480,3.057,2.896,27.573,0.013512,0.0485,0.3751,0.2195,0.0078,21.744,21.658,104857600,0,0,lz4,100mb,pinned
1,0,3956.277248,60368,65.536000,65.536000,3956277248,3811158022,1.04,14.94,594.90,264.877,6.650,88.018,84.789,437.684,0.004388,0.0285,4.6910,0.5059,0.0527,11.324,309.657,79691776,79691776,50,lz4,4gb,adaptive
1,0,3956.277248,60368,65.536000,65.536000,3956277248,3811158022,1.04,14.91,582.54,265.331,6.791,627.061,604.060,1496.451,0.004395,0.0911,4.7685,1.6343,0.0559,0.000,0.000,0,0,0,lz4,4gb,baseline
1,0,3956.277248,60368,65.536000,65.536000,3956277248,3811158022,1.04,14.90,592.97,265.504,6.672,72.741,70.073,408.317,0.004398,0.0979,1.9125,1.7539,0.0215,763.824,1024.548,3956277248,0,0,lz4,4gb,pinned
1,0,719.323136,10976,65.536000,65.536000,719323136,692787921,1.04,12.15,301.97,59.214,2.382,14.773,14.228,88.214,0.005395,0.1229,4.5451,0.5966,0.0360,11.171,55.385,79691776,79691776,10,lz4,686mb,adaptive
1,0,719.323136,10976,65.536000,65.536000,719323136,692787921,1.04,12.07,307.60,59.576,2.338,112.078,107.943,279.596,0.005428,0.0171,4.1762,0.0846,0.0316,0.000,0.000,0,0,0,lz4,686mb,baseline
1,0,719.323136,10976,65.536000,65.536000,719323136,692787921,1.04,12.12,308.26,59.354,2.334,13.916,13.403,86.673,0.005408,0.1031,4.6051,0.4996,0.0349,126.488,89.587,719323136,0,0,lz4,686mb,pinned
1,0,104.857600,1600,65.536000,65.536000,104857600,99736108,1.05,59.30,61.49,1.768,1.705,1.967,1.871,5.606,0.001105,0.6857,66.5227,0.0206,2.2652,13.780,10.761,79691776,79691776,2,snappy,100mb,adaptive
1,0,104.857600,1600,65.536000,65.536000,104857600,99736108,1.05,59.32,183.50,1.768,0.571,24.295,23.108,49.171,0.001105,0.7143,0.6084,0.0216,0.0019,0.000,0.000,0,0,0,snappy,100mb,baseline
1,0,104.857600,1600,65.536000,65.536000,104857600,99736108,1.05,59.55,182.45,1.761,0.575,3.918,3.727,9.406,0.001100,0.8065,1.6131,0.0241,0.0051,26.046,21.448,104857600,0,0,snappy,100mb,pinned
