Files,Duplicate data,Size in MB,Pages,Avg page size in KB,Max page size in KB,Ucompressed size in bytes,Compressed size in bytes,Compression ratio,Compression throughput (uncompressed) in GB/s,Decompression throughput (uncompressed) in GB/s,Compression time (ms),Decompression time (ms),Transfer H2D (ms),Transfer D2H (ms),Total time (ms),Avg chunk time (ms),Comp throughput stddev (GB/s),Decomp throughput stddev (GB/s),Comp time stddev (ms),Decomp time stddev (ms),t_alloc_ms,t_memcpy_h2h_ms,peak_pinned_bytes,adaptive_window_bytes,adaptive_num_windows,algo,size,mode
1,0,15825.108992,241472,65.536000,65.536000,15825108992,15429832192,1.03,133.66,764.18,118.399,20.709,296.537,289.130,704.067,0.000490,0.0984,5.7409,0.0872,0.1558,11.080,1234.918,79691776,79691776,199,cascaded,16gb,adaptive
1,0,15825.108992,241472,65.536000,65.536000,15825108992,15429832192,1.03,133.72,769.27,118.348,20.572,3630.873,3540.181,7289.401,0.000490,0.0954,3.6681,0.0844,0.0978,0.000,0.000,0,0,0,cascaded,16gb,baseline
1,0,15825.108992,241472,65.536000,65.536000,15825108992,15429832192,1.03,133.78,768.62,118.293,20.589,288.350,281.148,687.790,0.000490,0.0742,4.1775,0.0656,0.1120,2771.169,3173.048,15825108992,0,0,cascaded,16gb,pinned
1,0,7912.554496,120736,65.536000,65.536000,7912554496,7714916096,1.03,133.50,746.86,59.272,10.594,145.739,142.098,347.109,0.000491,0.1557,10.1372,0.0692,0.1428,15.321,593.674,79691776,79691776,100,cascaded,8gb,adaptive
1,0,7912.554496,120736,65.536000,65.536000,7912554496,7714916096,1.03,133.52,747.69,59.262,10.583,1635.410,1594.561,3289.232,0.000491,0.1336,4.8781,0.0593,0.0689,0.000,0.000,0,0,0,cascaded,8gb,baseline
1,0,7912.554496,120736,65.536000,65.536000,7912554496,7714916096,1.03,133.61,726.46,59.223,10.892,146.129,142.479,347.831,0.000491,0.1029,11.5934,0.0456,0.1723,1091.194,1205.288,7912554496,0,0,cascaded,8gb,pinned
1,0,15825.108992,241472,65.536000,65.536000,15825108992,15244632088,1.04,15.13,691.57,1045.917,22.883,292.752,282.013,1620.683,0.004331,0.0209,5.3988,1.4451,0.1793,11.085,1242.485,79691776,79691776,199,lz4,16gb,adaptive
1,0,15825.108992,241472,65.536000,65.536000,15825108992,15244632088,1.04,15.13,693.32,1045.990,22.825,3297.158,3176.216,7519.364,0.004332,0.0118,1.0786,0.8165,0.0355,0.000,0.000,0,0,0,lz4,16gb,baseline
1,0,15825.108992,241472,65.536000,65.536000,15825108992,15244632088,1.04,15.13,694.08,1046.232,22.800,289.709,279.082,1615.023,0.004333,0.0324,1.5731,2.2387,0.0517,2194.404,3116.467,15825108992,0,0,lz4,16gb,pinned
1,0,7912.554496,120736,65.536000,65.536000,7912554496,7622316044,1.04,15.08,678.97,524.642,11.654,147.004,141.612,813.258,0.004345,0.0314,3.0155,1.0911,0.0516,11.012,633.689,79691776,79691776,100,lz4,8gb,adaptive
1,0,7912.554496,120736,65.536000,65.536000,7912554496,7622316044,1.04,15.12,673.70,523.148,11.745,1872.181,1803.508,4198.837,0.004333,0.0639,6.0082,2.2161,0.1041,0.000,0.000,0,0,0,lz4,8gb,baseline
1,0,7912.554496,120736,65.536000,65.536000,7912554496,7622316044,1.04,15.08,676.99,524.714,11.688,144.461,139.162,808.336,0.004346,0.0687,4.9737,2.3952,0.0862,1111.255,1246.559,7912554496,0,0,lz4,8gb,pinned
1,0,15825.108992,241472,65.536000,65.536000,15825108992,15295230372,1.03,100.15,347.72,158.020,45.511,352.077,340.288,850.385,0.000654,0.0436,4.7145,0.0688,0.6113,11.193,1264.117,79691776,79691776,199,snappy,16gb,adaptive
1,0,15825.108992,241472,65.536000,65.536000,15825108992,15295230372,1.03,100.34,345.96,157.721,45.743,3326.628,3215.241,6699.590,0.000653,0.0572,0.3413,0.0898,0.0451,0.000,0.000,0,0,0,snappy,16gb,baseline
1,0,15825.108992,241472,65.536000,65.536000,15825108992,15295230372,1.03,100.34,348.46,157.713,45.415,289.752,280.050,727.515,0.000653,0.0381,3.2904,0.0599,0.4261,2200.378,2630.238,15825108992,0,0,snappy,16gb,pinned
1,0,7912.554496,120736,65.536000,65.536000,7912554496,7647615186,1.03,99.48,340.84,79.538,23.215,147.200,142.271,369.009,0.000659,0.0278,3.5466,0.0222,0.2414,13.788,583.665,79691776,79691776,100,snappy,8gb,adaptive
1,0,7912.554496,120736,65.536000,65.536000,7912554496,7647615186,1.03,99.37,339.71,79.628,23.292,1567.009,1514.540,3161.178,0.000660,0.1918,1.6893,0.1535,0.1157,0.000,0.000,0,0,0,snappy,8gb,baseline
1,0,7912.554496,120736,65.536000,65.536000,7912554496,7647615186,1.03,99.46,339.97,79.558,23.274,145.892,141.007,366.457,0.000659,0.0474,1.1342,0.0379,0.0778,1110.480,984.448,7912554496,0,0,snappy,8gb,pinned
