Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,large_TTI_1024.bin,719323136,686.00,65536,1.04,12.00,305.59,59.953,2.354,14.077,13.558,87.588,0.005462,0.1553,4.6258,0.8024,0.0357,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
lz4,large_binary_1024.bin,1073741824,1024.00,65536,3.25,37.59,1093.21,28.564,0.982,20.407,6.276,55.247,0.001743,1.6640,3.7347,1.4272,0.0034,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
lz4,large_random_1024.bin,1073741824,1024.00,65536,1.00,13.68,806.90,78.510,1.331,20.394,20.474,119.378,0.004792,0.4034,5.6032,2.4182,0.0093,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
lz4,large_zeros_1024.bin,1073741824,1024.00,65536,245.45,811.71,1641.65,1.323,0.654,20.302,0.083,21.707,0.000081,4.6548,16.1632,0.0076,0.0065,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
lz4,medium_TTI_100.bin,104857600,100.00,65536,1.06,4.88,71.84,21.489,1.460,1.926,1.824,25.239,0.013430,0.0424,0.2589,0.1887,0.0053,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
lz4,medium_binary_100.bin,104857600,100.00,65536,3.26,8.66,405.12,12.110,0.259,1.927,0.591,14.629,0.007569,0.0150,3.0885,0.0210,0.0020,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
lz4,medium_random_100.bin,104857600,100.00,65536,1.00,7.65,334.79,13.704,0.313,1.927,1.934,17.565,0.008565,0.0206,10.4135,0.0370,0.0096,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
lz4,medium_zeros_100.bin,104857600,100.00,65536,245.45,244.00,925.50,0.430,0.113,1.926,0.008,2.364,0.000269,6.6381,3.9524,0.0112,0.0005,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
lz4,small_TTI_10.bin,10485760,10.00,65536,1.65,0.53,7.41,19.900,1.415,0.224,0.136,20.259,0.124374,0.0049,0.0373,0.1884,0.0072,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
lz4,small_binary_10.bin,10485760,10.00,65536,3.26,0.90,42.26,11.594,0.248,0.212,0.065,11.871,0.072461,0.0020,0.3954,0.0260,0.0023,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
lz4,small_random_10.bin,10485760,10.00,65536,1.00,0.88,42.47,11.958,0.247,0.288,0.289,12.536,0.074740,0.0017,0.1473,0.0237,0.0009,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
lz4,small_zeros_10.bin,10485760,10.00,65536,245.45,35.28,98.05,0.297,0.107,0.219,0.001,0.517,0.001857,1.8905,0.9589,0.0184,0.0011,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
lz4,xlarge_TTI_4096.bin,3956277248,3773.00,65536,1.04,14.96,582.22,264.472,6.795,72.845,70.173,407.490,0.004381,0.0406,3.6603,0.7165,0.0429,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
lz4,xlarge_binary_4096.bin,4294967296,4096.00,65536,3.26,44.64,1207.46,96.209,3.557,79.386,24.356,199.951,0.001468,0.6817,18.9187,1.5012,0.0573,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
lz4,xlarge_random_4096.bin,4294967296,4096.00,65536,1.00,14.60,873.05,294.217,4.919,80.358,80.675,455.250,0.004489,0.0444,2.5277,0.8926,0.0142,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
lz4,xlarge_zeros_4096.bin,4294967296,4096.00,65536,245.45,834.63,1812.31,5.146,2.370,78.937,0.322,84.404,0.000079,11.1750,16.1270,0.0701,0.0209,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
snappy,large_TTI_1024.bin,719323136,686.00,65536,1.03,83.87,296.06,8.576,2.430,13.158,12.716,34.450,0.000781,0.5819,4.6101,0.0600,0.0391,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
snappy,large_binary_1024.bin,1073741824,1024.00,65536,2.95,80.69,256.80,13.307,4.181,21.993,7.446,42.747,0.000812,0.3177,30.9500,0.0522,0.7196,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
snappy,large_random_1024.bin,1073741824,1024.00,65536,0.99,96.86,394.20,11.086,2.724,20.445,20.606,52.137,0.000677,0.4398,6.7845,0.0503,0.0484,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
snappy,large_zeros_1024.bin,1073741824,1024.00,65536,21.30,70.66,229.57,15.195,4.677,20.385,0.957,36.538,0.000927,0.2944,0.7328,0.0634,0.0149,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_030652
