Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,large_TTI_1024.bin,719323136,686.00,8192,1.04,17.83,715.59,40.347,1.005,14.085,13.557,67.989,0.000459,0.5224,4.2263,1.2583,0.0060,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
lz4,large_binary_1024.bin,1073741824,1024.00,8192,3.05,52.56,1185.34,20.429,0.906,20.546,6.728,47.703,0.000156,0.7089,13.5473,0.2823,0.0107,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
lz4,large_random_1024.bin,1073741824,1024.00,8192,1.00,18.21,904.27,58.951,1.187,20.505,20.590,100.046,0.000450,0.1538,2.4877,0.4975,0.0033,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
lz4,large_zeros_1024.bin,1073741824,1024.00,8192,190.51,598.04,1561.39,1.795,0.688,20.455,0.107,22.358,0.000014,4.5661,11.7289,0.0138,0.0052,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
lz4,medium_TTI_100.bin,104857600,100.00,8192,1.06,14.73,349.15,7.120,0.300,1.930,1.827,10.878,0.000556,0.0454,2.7497,0.0220,0.0024,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
lz4,medium_binary_100.bin,104857600,100.00,8192,3.06,39.71,1170.03,2.640,0.090,1.947,0.636,5.224,0.000206,0.5251,28.4034,0.0349,0.0023,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
lz4,medium_random_100.bin,104857600,100.00,8192,1.00,15.07,850.79,6.958,0.123,1.931,1.939,10.829,0.000544,0.0735,19.4698,0.0339,0.0029,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
lz4,medium_zeros_100.bin,104857600,100.00,8192,190.51,525.35,1373.54,0.200,0.076,1.936,0.010,2.146,0.000016,9.7406,45.6179,0.0037,0.0027,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
lz4,small_TTI_10.bin,10485760,10.00,8192,1.65,6.19,113.23,1.694,0.093,0.218,0.132,2.044,0.001323,0.0484,1.6479,0.0133,0.0013,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
lz4,small_binary_10.bin,10485760,10.00,8192,3.06,7.03,274.85,1.492,0.038,0.263,0.086,1.840,0.001165,0.0105,7.6723,0.0022,0.0011,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
lz4,small_random_10.bin,10485760,10.00,8192,1.00,6.68,265.96,1.569,0.039,0.241,0.242,2.051,0.001226,0.0180,3.0515,0.0042,0.0005,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
lz4,small_zeros_10.bin,10485760,10.00,8192,190.51,187.02,523.31,0.056,0.020,0.222,0.001,0.279,0.000044,2.4680,4.9934,0.0008,0.0002,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
lz4,xlarge_TTI_4096.bin,3956277248,3773.00,8192,1.04,18.63,718.51,212.348,5.506,74.126,71.361,357.835,0.000440,0.0301,1.7039,0.3428,0.0130,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
lz4,xlarge_binary_4096.bin,4294967296,4096.00,8192,3.06,53.19,1185.36,80.744,3.623,79.064,25.835,185.643,0.000154,0.1050,7.1645,0.1593,0.0218,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
lz4,xlarge_random_4096.bin,4294967296,4096.00,8192,1.00,18.21,797.63,235.849,5.385,79.025,79.353,394.226,0.000450,0.0477,1.5907,0.6172,0.0107,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
lz4,xlarge_zeros_4096.bin,4294967296,4096.00,8192,190.51,574.11,1756.11,7.481,2.446,78.987,0.415,86.883,0.000014,3.8084,55.5033,0.0501,0.0788,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
snappy,large_TTI_1024.bin,719323136,686.00,8192,1.03,100.79,288.45,7.137,2.494,14.006,13.544,34.687,0.000081,0.3934,1.8319,0.0278,0.0158,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
snappy,large_binary_1024.bin,1073741824,1024.00,8192,2.80,84.16,226.48,12.759,4.741,20.452,7.304,40.515,0.000097,0.1006,0.6127,0.0153,0.0128,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
snappy,large_random_1024.bin,1073741824,1024.00,8192,0.99,107.53,341.62,9.986,3.143,20.438,20.602,51.026,0.000076,0.2985,2.2463,0.0277,0.0206,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
snappy,large_zeros_1024.bin,1073741824,1024.00,8192,21.11,73.29,234.94,14.650,4.570,20.638,0.977,36.265,0.000112,0.0422,10.4913,0.0084,0.2309,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
snappy,medium_TTI_100.bin,104857600,100.00,8192,1.05,95.05,307.59,1.103,0.341,1.952,1.858,4.913,0.000086,3.3471,2.5046,0.0361,0.0028,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
snappy,medium_binary_100.bin,104857600,100.00,8192,2.81,84.13,215.97,1.246,0.486,2.179,0.777,4.202,0.000097,1.0756,1.9440,0.0157,0.0044,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
snappy,medium_random_100.bin,104857600,100.00,8192,0.99,103.12,389.16,1.017,0.269,1.947,1.963,4.927,0.000079,3.1271,2.3758,0.0289,0.0016,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
snappy,medium_zeros_100.bin,104857600,100.00,8192,21.11,73.75,222.06,1.422,0.472,1.939,0.092,3.452,0.000111,0.1396,6.1801,0.0027,0.0136,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
snappy,small_TTI_10.bin,10485760,10.00,8192,1.60,52.92,125.43,0.198,0.084,0.255,0.159,0.613,0.000155,0.9155,3.3016,0.0035,0.0022,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
snappy,small_binary_10.bin,10485760,10.00,8192,2.81,55.69,100.43,0.188,0.104,0.216,0.077,0.481,0.000147,0.8137,0.7759,0.0028,0.0008,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
snappy,small_random_10.bin,10485760,10.00,8192,0.99,75.64,197.28,0.139,0.053,0.298,0.300,0.737,0.000108,1.0001,3.3386,0.0019,0.0009,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
snappy,small_zeros_10.bin,10485760,10.00,8192,21.11,51.61,121.58,0.203,0.086,0.214,0.010,0.428,0.000159,1.2100,2.0564,0.0050,0.0015,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
snappy,xlarge_TTI_4096.bin,3956277248,3773.00,8192,1.03,105.48,271.98,37.506,14.546,74.599,72.150,184.255,0.000078,0.0959,1.5832,0.0341,0.0847,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
snappy,xlarge_binary_4096.bin,4294967296,4096.00,8192,2.81,84.72,223.04,50.698,19.257,79.457,28.324,158.479,0.000097,0.0628,0.3097,0.0376,0.0267,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
snappy,xlarge_random_4096.bin,4294967296,4096.00,8192,0.99,110.73,323.38,38.789,13.281,78.874,79.509,197.172,0.000074,0.2201,0.8673,0.0775,0.0355,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
snappy,xlarge_zeros_4096.bin,4294967296,4096.00,8192,21.11,73.71,233.84,58.268,18.367,78.856,3.735,140.859,0.000111,0.0130,0.5248,0.0102,0.0412,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
cascaded,large_TTI_1024.bin,719323136,686.00,8192,1.03,126.47,657.81,5.688,1.094,13.959,13.537,33.184,0.000065,0.4388,23.9553,0.0197,0.0440,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
cascaded,large_binary_1024.bin,1073741824,1024.00,8192,3.03,177.87,399.38,6.037,2.689,21.010,6.943,33.990,0.000046,0.1337,0.8405,0.0045,0.0057,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
cascaded,large_random_1024.bin,1073741824,1024.00,8192,1.00,130.28,730.26,8.242,1.470,20.363,20.383,48.987,0.000063,0.3868,2.7754,0.0244,0.0056,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
cascaded,large_zeros_1024.bin,1073741824,1024.00,8192,85.33,394.65,234.46,2.721,4.580,20.584,0.241,23.546,0.000021,0.6587,0.3877,0.0046,0.0076,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
cascaded,medium_TTI_100.bin,104857600,100.00,8192,1.05,124.58,683.75,0.842,0.153,1.933,1.844,4.618,0.000066,0.9310,5.6572,0.0062,0.0013,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
cascaded,medium_binary_100.bin,104857600,100.00,8192,3.03,72.15,413.07,1.453,0.254,1.953,0.644,4.051,0.000114,48.2851,1.6492,2.5367,0.0010,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
cascaded,medium_random_100.bin,104857600,100.00,8192,1.00,127.18,999.46,0.824,0.105,1.932,1.934,4.691,0.000064,1.0174,19.0692,0.0065,0.0021,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
cascaded,medium_zeros_100.bin,104857600,100.00,8192,85.33,417.41,223.90,0.251,0.468,1.930,0.023,2.204,0.000020,1.8812,0.5123,0.0011,0.0011,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
cascaded,small_TTI_10.bin,10485760,10.00,8192,1.62,107.01,169.72,0.098,0.062,0.218,0.134,0.450,0.000077,1.8447,1.2120,0.0017,0.0004,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
cascaded,small_binary_10.bin,10485760,10.00,8192,3.03,92.87,251.47,0.113,0.042,0.245,0.081,0.438,0.000088,1.2887,8.2908,0.0016,0.0015,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
cascaded,small_random_10.bin,10485760,10.00,8192,1.00,74.45,412.21,0.141,0.025,0.223,0.223,0.587,0.000110,0.4705,9.8720,0.0009,0.0006,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
cascaded,small_zeros_10.bin,10485760,10.00,8192,85.33,246.16,114.41,0.043,0.092,0.246,0.003,0.292,0.000033,6.3740,0.6028,0.0012,0.0005,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
cascaded,xlarge_TTI_4096.bin,3956277248,3773.00,8192,1.03,129.45,599.04,30.563,6.604,73.189,70.975,174.726,0.000063,0.2559,3.7516,0.0607,0.0414,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
cascaded,xlarge_binary_4096.bin,4294967296,4096.00,8192,3.03,179.40,389.82,23.940,11.018,79.086,26.077,129.104,0.000046,0.0763,0.3584,0.0102,0.0101,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
cascaded,xlarge_random_4096.bin,4294967296,4096.00,8192,1.00,132.42,647.17,32.435,6.637,79.032,79.110,190.577,0.000062,0.1511,3.8009,0.0371,0.0390,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
cascaded,xlarge_zeros_4096.bin,4294967296,4096.00,8192,85.33,397.33,230.85,10.810,18.605,79.071,0.927,90.807,0.000021,0.1221,1.0874,0.0033,0.0871,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_052841
