"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,73799,73799,104857600,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"GRBM_GUI_ACTIVE",3464687.000000,4804356863092,4804357062379
1,1,"Agent 2",1,73799,73799,104857600,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"OccupancyPercent",19.590083,4804356863092,4804357062379
1,1,"Agent 2",1,73799,73799,104857600,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"MemUnitStalled",1.83910477e-01,4804356863092,4804357062379
1,1,"Agent 2",1,73799,73799,104857600,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"SQ_BUSY_CYCLES",13158834.000000,4804356863092,4804357062379
1,1,"Agent 2",1,73799,73799,104857600,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"SQ_WAVES",1638400.000000,4804356863092,4804357062379
1,1,"Agent 2",1,73799,73799,104857600,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",256,0,0,4,4,16,"VALUUtilization",100.000000,4804356863092,4804357062379
2,2,"Agent 2",1,73799,73799,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"GRBM_GUI_ACTIVE",281994.000000,4804357314423,4804357317390
2,2,"Agent 2",1,73799,73799,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"OccupancyPercent",1.74679305e-02,4804357314423,4804357317390
2,2,"Agent 2",1,73799,73799,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitStalled",1.05122823e-02,4804357314423,4804357317390
2,2,"Agent 2",1,73799,73799,1024,7,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_BUSY_CYCLES",9745.000000,4804357314423,4804357317390
