"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipMemcpy",9632,232470497,24135.226017,31.32,17082,8010550,81525.936499
"hipLaunchKernel",44,203733538,4630307.681818,27.45,4610,201965471,30442050.137647
"hipSetDevice",1,156433214,156433214.000000,21.07,156433214,156433214,0.00000000e+00
"hipMemcpyAsync",3200,63388619,19808.943437,8.54,7899,203509,37989.167343
"hipFree",11264,43898878,3897.272550,5.91,91,1531733,34891.387484
"hipMalloc",11264,15660713,1390.333185,2.11,84,103275,2505.468126
"hipStreamSynchronize",25,14734092,589363.680000,1.98,196192,1191267,432608.649416
"hipStreamCreate",2,9897526,4948763.000000,1.33,515504,9382022,6269575.003313
"hipStreamDestroy",2,1328286,664143.000000,0.1789,658455,669831,8044.046743
"hipMemcpyWithStream",18,409877,22770.944444,0.0552,18855,35540,5010.133948
"__hipRegisterFunction",545,150581,276.295413,0.0203,53,10884,556.103132
"hipEventRecord",32,92649,2895.281250,0.0125,1068,11580,1964.893303
"hipEventElapsedTime",16,23470,1466.875000,3.162e-03,920,2311,377.870326
"__hipRegisterFatBinary",12,18057,1504.750000,2.433e-03,118,16126,4604.873863
"hipEventDestroy",18,15831,879.500000,2.133e-03,186,3265,830.282889
"__hipPushCallConfiguration",44,13392,304.363636,1.804e-03,59,5363,808.845548
"__hipPopCallConfiguration",44,11461,260.477273,1.544e-03,64,1363,262.004748
"hipEventCreate",18,10058,558.777778,1.355e-03,138,2220,511.737014
"hipPeekAtLastError",9,8312,923.555556,1.120e-03,309,4554,1374.475546
"hipGetLastError",64,7474,116.781250,1.007e-03,40,636,114.069245
