"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipMemcpy",9632,231885458,24074.486919,26.27,17407,7782045,89507.420220
"hipLaunchKernel",23,198437758,8627728.608696,22.48,5778,197447030,41161494.040415
"hipStreamSynchronize",25,164182764,6567310.560000,18.60,202502,21758595,9481908.294088
"hipSetDevice",1,159120646,159120646.000000,18.03,159120646,159120646,0.00000000e+00
"hipMemcpyAsync",3200,54858081,17143.150313,6.22,8105,154344,26482.159957
"hipFree",11264,43958679,3902.581587,4.98,585,1392116,31496.073942
"hipMalloc",11264,18058848,1603.235795,2.05,558,118742,2843.699901
"hipStreamCreate",2,9915988,4957994.000000,1.12,547305,9368683,6237656.203210
"hipStreamDestroy",2,1328232,664116.000000,0.1505,662056,666176,2913.279938
"hipMemcpyWithStream",18,435437,24190.944444,0.0493,18860,38468,5960.312778
"__hipRegisterFunction",545,142210,260.935780,0.0161,52,10283,505.511907
"hipEventRecord",32,88037,2751.156250,9.975e-03,1056,6602,1341.255385
"hipPointerGetAttributes",77,28135,365.389610,3.188e-03,90,1299,248.561184
"hipEventElapsedTime",16,26421,1651.312500,2.994e-03,1018,3405,596.036545
"hipEventDestroy",18,19563,1086.833333,2.217e-03,375,3370,797.611010
"__hipRegisterFatBinary",12,19382,1615.166667,2.196e-03,112,17243,4922.305868
"__hipPushCallConfiguration",23,16184,703.652174,1.834e-03,130,5041,975.770959
"hipEventCreate",18,9452,525.111111,1.071e-03,136,1693,418.476352
"__hipPopCallConfiguration",23,9320,405.217391,1.056e-03,185,1011,200.706243
"hipGetLastError",50,8360,167.200000,9.473e-04,41,696,157.903355
"hipPeekAtLastError",9,5616,624.000000,6.363e-04,328,1443,389.014139
