"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 2",1,0,69644,1,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",562,4565348651281,4565348851285,0,0,4,4,16,256,1,1,104857600,1,1
"KERNEL_DISPATCH","Agent 2",1,0,69644,2,8,"__amd_rocclr_copyBuffer",568,4565348910736,4565348914304,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,69644,3,8,"__amd_rocclr_copyBuffer",571,4565348940242,4565348943690,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,69644,4,8,"__amd_rocclr_copyBuffer",2174,4565410779814,4565410783463,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,69644,5,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",3789,4565441618818,4565441820787,0,0,4,4,16,256,1,1,105280000,1,1
"KERNEL_DISPATCH","Agent 2",1,0,69644,6,8,"__amd_rocclr_copyBuffer",3795,4565441997500,4565442001469,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,69644,7,8,"__amd_rocclr_copyBuffer",3798,4565442025723,4565442029251,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",2,1,69644,8,13,"void arcto::lowlevel::lz4CompressBatchKernel<unsigned char>(unsigned char const* const*, unsigned long const*, unsigned char* const*, unsigned long*, unsigned short*, unsigned int)",3809,4565442878338,4565464163860,512,0,68,4,64,64,1,1,102400,1,1
"KERNEL_DISPATCH","Agent 2",1,0,69644,9,8,"__amd_rocclr_copyBuffer",3815,4565464346987,4565464349993,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,69644,10,8,"__amd_rocclr_copyBuffer",5420,4565467704050,4565467708380,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",2,1,69644,11,15,"arcto::lowlevel::lz4DecompressBatchKernel(unsigned char const* const*, unsigned long const*, unsigned long const*, unsigned long, unsigned char* const*, unsigned long*, arctoStatus_t*, bool)",5431,4565467751395,4565469218617,1024,0,68,4,80,64,2,1,51200,2,1
