"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipLaunchKernel",23,332011465,14435281.086957,31.85,7134,330698914,68943402.830679
"hipMemcpy",9632,271214016,28157.601329,26.01,19446,13482925,137165.781564
"hipSetDevice",1,262557991,262557991.000000,25.18,262557991,262557991,0.00000000e+00
"hipMemcpyAsync",3200,57560942,17987.794375,5.52,12183,233853,16314.418817
"hipFree",11264,53110844,4715.096236,5.09,169,1307374,32208.605555
"hipMalloc",11264,27194281,2414.265004,2.61,158,143220,4346.466137
"hipStreamSynchronize",25,20345911,813836.440000,1.95,181138,1794993,637105.381783
"hipStreamCreate",2,16093726,8046863.000000,1.54,709540,15384186,10376541.698112
"hipStreamDestroy",2,1431622,715811.000000,0.1373,708860,722762,9830.198472
"hipMemcpyWithStream",18,493308,27406.000000,0.0473,20422,46437,7006.001738
"__hipRegisterFunction",545,251767,461.957798,0.0241,97,15808,791.118112
"hipEventRecord",32,119164,3723.875000,0.0114,1584,8708,1665.316181
"hipEventElapsedTime",16,28782,1798.875000,2.761e-03,1285,2830,431.246700
"__hipRegisterFatBinary",12,27155,2262.916667,2.605e-03,223,23501,6689.122357
"hipEventDestroy",18,23908,1328.222222,2.293e-03,630,4889,1058.393597
"__hipPushCallConfiguration",23,19295,838.913043,1.851e-03,198,8099,1613.543444
"__hipPopCallConfiguration",23,15096,656.347826,1.448e-03,176,1558,297.067579
"hipEventCreate",18,14976,832.000000,1.436e-03,280,3637,798.691209
"hipGetLastError",50,11409,228.180000,1.094e-03,79,940,204.585663
"hipPeekAtLastError",9,10525,1169.444444,1.010e-03,296,6025,1837.461232
