Files,Duplicate data,Size in MB,Pages,Avg page size in KB,Max page size in KB,Ucompressed size in bytes,Compressed size in bytes,Compression ratio,Compression throughput (uncompressed) in GB/s,Decompression throughput (uncompressed) in GB/s,Compression time (ms),Decompression time (ms),Transfer H2D (ms),Transfer D2H (ms),Total time (ms),Avg chunk time (ms),Comp throughput stddev (GB/s),Decomp throughput stddev (GB/s),Comp time stddev (ms),Decomp time stddev (ms),t_alloc_ms,t_memcpy_h2h_ms,peak_pinned_bytes,adaptive_window_bytes,adaptive_num_windows,algo,size,mode
1,0,104.857600,1600,65.536000,65.536000,104857600,100596168,1.04,35.37,140.57,2.965,0.746,4.282,4.108,11.354,0.001853,7.6455,22.9493,0.7394,0.1435,16.119,6.080,67108864,67108864,2,cascaded,100mb,adaptive
1,0,104.857600,1600,65.536000,65.536000,104857600,100596168,1.04,55.78,187.73,1.880,0.559,15.028,14.417,31.324,0.001175,0.8342,0.7817,0.0281,0.0023,0.000,0.000,0,0,0,cascaded,100mb,baseline
1,0,104.857600,1600,65.536000,65.536000,104857600,100596168,1.04,38.57,149.47,2.719,0.702,4.443,4.263,11.425,0.001699,7.2257,21.2524,0.6061,0.1138,24.227,9.134,104857600,0,0,cascaded,100mb,pinned
1,0,2147.483648,32768,65.536000,65.536000,2147483648,46713580,45.97,172.86,49.83,12.423,43.097,78.668,1.711,92.802,0.000379,0.3027,0.0817,0.0217,0.0707,18.760,103.626,67108864,67108864,32,cascaded,2gb,adaptive
1,0,2147.483648,32768,65.536000,65.536000,2147483648,46713580,45.97,172.05,49.72,12.482,43.191,310.001,6.743,329.226,0.000381,0.3502,0.0930,0.0254,0.0808,0.000,0.000,0,0,0,cascaded,2gb,baseline
1,0,2147.483648,32768,65.536000,65.536000,2147483648,46713580,45.97,172.42,49.58,12.455,43.317,78.390,1.705,92.550,0.000380,0.3698,0.1896,0.0267,0.1655,462.548,174.043,2147483648,0,0,cascaded,2gb,pinned
1,0,4294.967296,65536,65.536000,65.536000,4294967296,148072496,29.01,167.49,55.69,25.643,77.116,157.203,5.420,188.266,0.000391,0.6991,0.1036,0.1069,0.1435,16.830,206.313,67108864,67108864,64,cascaded,4gb,adaptive
1,0,4294.967296,65536,65.536000,65.536000,4294967296,148072496,29.01,167.25,55.70,25.680,77.111,641.371,22.112,689.163,0.000392,0.5193,0.1032,0.0799,0.1428,0.000,0.000,0,0,0,cascaded,4gb,baseline
1,0,4294.967296,65536,65.536000,65.536000,4294967296,148072496,29.01,167.40,55.62,25.657,77.227,157.417,5.427,188.502,0.000391,0.8347,0.0637,0.1287,0.0884,902.868,359.979,4294967296,0,0,cascaded,4gb,pinned
1,0,719.323136,10976,65.536000,65.536000,719323136,701386392,1.03,60.66,173.49,11.859,4.146,26.231,25.577,63.668,0.001080,2.1955,3.5261,0.4528,0.0867,18.077,41.779,67108864,67108864,11,cascaded,686mb,adaptive
1,0,719.323136,10976,65.536000,65.536000,719323136,701386392,1.03,61.74,170.83,11.650,4.211,104.017,101.424,217.092,0.001061,0.2777,7.8132,0.0526,0.2018,0.000,0.000,0,0,0,cascaded,686mb,baseline
1,0,719.323136,10976,65.536000,65.536000,719323136,701386392,1.03,61.94,171.41,11.614,4.197,26.387,25.729,63.730,0.001058,0.2811,8.4754,0.0529,0.2105,164.036,64.363,719323136,0,0,cascaded,686mb,pinned
1,0,104.857600,1600,65.536000,65.536000,104857600,99316160,1.06,5.62,90.02,18.642,1.165,4.203,3.981,26.826,0.011651,0.4108,6.2907,1.5115,0.0904,14.768,5.772,67108864,67108864,2,lz4,100mb,adaptive
1,0,104.857600,1600,65.536000,65.536000,104857600,99316160,1.06,5.86,92.18,17.904,1.138,15.273,14.465,47.642,0.011190,0.0955,1.6909,0.2940,0.0214,0.000,0.000,0,0,0,lz4,100mb,baseline
