Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,large_TTI_1024.bin,719323136,686.00,16384,1.04,11.22,160.55,64.124,4.480,26.357,25.364,115.844,0.001461,0.0318,0.2738,0.1818,0.0076,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_015527
lz4,large_binary_1024.bin,1073741824,1024.00,16384,3.16,29.01,204.73,37.007,5.245,39.486,12.481,88.973,0.000565,0.3979,0.2201,0.5081,0.0056,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_015527
lz4,large_random_1024.bin,1073741824,1024.00,16384,1.00,10.92,180.04,98.313,5.964,39.065,39.222,176.601,0.001500,0.0525,0.1577,0.4750,0.0052,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_015527
lz4,large_zeros_1024.bin,1073741824,1024.00,16384,218.45,139.24,243.13,7.712,4.416,39.204,0.179,47.095,0.000118,0.8985,1.5180,0.0498,0.0280,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_015527
lz4,medium_TTI_100.bin,104857600,100.00,16384,1.06,9.97,185.49,10.519,0.565,3.987,3.774,18.280,0.001644,0.3902,1.6536,0.4112,0.0051,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_015527
lz4,medium_binary_100.bin,104857600,100.00,16384,3.17,21.81,245.20,4.808,0.428,4.061,1.280,10.149,0.000751,0.3155,6.1380,0.0700,0.0109,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_015527
lz4,medium_random_100.bin,104857600,100.00,16384,1.00,9.50,195.68,11.035,0.536,4.229,4.246,19.509,0.001724,0.1724,4.7214,0.1967,0.0136,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_015527
lz4,medium_zeros_100.bin,104857600,100.00,16384,218.45,98.61,270.31,1.063,0.388,4.235,0.019,5.317,0.000166,2.0518,7.8755,0.0211,0.0113,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_015527
lz4,small_TTI_10.bin,10485760,10.00,16384,1.65,6.08,50.09,1.726,0.209,0.531,0.322,2.578,0.002697,0.0816,0.7668,0.0228,0.0031,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_015527
lz4,small_binary_10.bin,10485760,10.00,16384,3.17,7.43,121.32,1.411,0.086,0.511,0.161,2.083,0.002204,0.0879,1.5532,0.0165,0.0011,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_015527
lz4,small_random_10.bin,10485760,10.00,16384,1.00,6.88,119.67,1.525,0.088,0.417,0.419,2.361,0.002383,0.0902,14.4882,0.0197,0.0115,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_015527
lz4,small_zeros_10.bin,10485760,10.00,16384,218.45,62.18,208.56,0.169,0.050,0.494,0.002,0.665,0.000263,0.4050,1.4511,0.0011,0.0003,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_015527
lz4,xlarge_TTI_4096.bin,3956277248,3773.00,16384,1.04,10.91,199.26,362.732,19.855,144.112,138.703,645.547,0.001502,0.0329,0.6801,1.0952,0.0679,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_015527
lz4,xlarge_binary_4096.bin,4294967296,4096.00,16384,3.17,30.74,244.26,139.708,17.583,157.548,49.684,346.940,0.000533,0.0315,1.3390,0.1430,0.0964,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_015527
lz4,xlarge_random_4096.bin,4294967296,4096.00,16384,1.00,10.38,209.83,413.808,20.469,157.354,157.988,729.151,0.001579,0.0287,0.4821,1.1393,0.0470,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_015527
lz4,xlarge_zeros_4096.bin,4294967296,4096.00,16384,218.45,144.47,303.31,29.730,14.161,157.138,0.719,187.588,0.000113,0.8970,1.5110,0.1875,0.0709,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_015527
