Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
snappy,large_TTI_1024.bin,719323136,686.00,32768,1.03,27.03,64.81,26.608,11.098,26.491,25.605,78.705,0.001212,0.0333,0.2917,0.0328,0.0498,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_020016
snappy,large_binary_1024.bin,1073741824,1024.00,32768,2.93,28.19,73.74,38.090,14.560,39.061,13.329,90.480,0.001162,0.0333,0.4343,0.0450,0.0860,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_020016
snappy,large_random_1024.bin,1073741824,1024.00,32768,0.99,27.88,74.79,38.509,14.356,39.418,39.730,117.656,0.001175,0.0349,0.4622,0.0483,0.0883,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_020016
snappy,large_zeros_1024.bin,1073741824,1024.00,32768,21.26,28.76,61.03,37.337,17.593,39.279,1.847,78.463,0.001139,0.0580,0.3083,0.0751,0.0890,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_020016
snappy,medium_TTI_100.bin,104857600,100.00,32768,1.05,24.54,101.55,4.273,1.033,3.956,3.763,11.992,0.001335,1.3607,6.8011,0.2565,0.0759,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_020016
snappy,medium_binary_100.bin,104857600,100.00,32768,2.94,25.10,114.88,4.178,0.913,3.777,1.286,9.241,0.001306,1.6150,10.5650,0.2927,0.0967,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_020016
snappy,medium_random_100.bin,104857600,100.00,32768,0.99,25.21,110.13,4.160,0.952,3.823,3.853,11.835,0.001300,1.4700,9.1210,0.2604,0.0875,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_020016
snappy,medium_zeros_100.bin,104857600,100.00,32768,21.26,25.40,87.61,4.128,1.197,3.917,0.184,8.229,0.001290,1.5047,6.6859,0.2669,0.1044,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_020016
snappy,small_TTI_10.bin,10485760,10.00,32768,1.60,15.83,43.04,0.662,0.244,0.538,0.336,1.535,0.002069,0.2510,0.7470,0.0103,0.0042,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_020016
snappy,small_binary_10.bin,10485760,10.00,32768,2.94,17.02,51.95,0.616,0.202,0.542,0.185,1.343,0.001925,0.2547,0.9037,0.0092,0.0035,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_020016
snappy,small_random_10.bin,10485760,10.00,32768,0.99,16.25,63.26,0.645,0.166,0.537,0.541,1.723,0.002016,0.2343,1.0387,0.0093,0.0027,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_020016
snappy,small_zeros_10.bin,10485760,10.00,32768,21.26,17.63,44.77,0.595,0.234,0.516,0.024,1.135,0.001858,0.4078,1.4329,0.0137,0.0076,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_020016
snappy,xlarge_TTI_4096.bin,3956277248,3773.00,32768,1.03,27.44,98.73,144.205,40.071,145.652,140.796,430.653,0.001194,0.0242,0.2893,0.1274,0.1174,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_020016
snappy,xlarge_binary_4096.bin,4294967296,4096.00,32768,2.94,28.34,108.32,151.546,39.649,156.499,53.296,361.340,0.001156,0.0205,0.1994,0.1093,0.0730,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_020016
snappy,xlarge_random_4096.bin,4294967296,4096.00,32768,0.99,28.17,106.01,152.489,40.516,156.962,158.202,467.653,0.001163,0.0262,0.2700,0.1421,0.1034,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_020016
snappy,xlarge_zeros_4096.bin,4294967296,4096.00,32768,21.26,28.82,84.85,149.028,50.616,157.424,7.403,313.855,0.001137,0.0177,0.1973,0.0915,0.1178,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_020016
