Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,large_TTI_1024.bin,719323136,686.00,65536,1.04,7.36,138.81,97.696,5.182,104.244,100.401,302.341,0.008901,0.0169,8.3507,0.2239,0.2964,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
lz4,large_binary_1024.bin,1073741824,1024.00,65536,3.25,22.30,200.46,48.146,5.356,155.890,47.942,251.978,0.002939,0.0658,5.1176,0.1423,0.1336,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
lz4,large_random_1024.bin,1073741824,1024.00,65536,1.00,7.29,171.26,147.338,6.270,155.949,156.562,459.849,0.008993,0.0231,0.4246,0.4657,0.0156,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
lz4,large_zeros_1024.bin,1073741824,1024.00,65536,245.45,161.07,242.21,6.666,4.433,155.927,0.635,163.229,0.000407,0.1464,0.2087,0.0061,0.0038,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
lz4,medium_TTI_100.bin,104857600,100.00,65536,1.06,5.95,93.00,17.622,1.128,15.247,14.441,47.310,0.011014,0.0590,1.1170,0.1744,0.0138,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
lz4,medium_binary_100.bin,104857600,100.00,65536,3.26,15.81,205.20,6.631,0.511,15.212,4.667,26.509,0.004144,0.0524,2.2331,0.0220,0.0056,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
lz4,medium_random_100.bin,104857600,100.00,65536,1.00,5.58,172.31,18.775,0.609,15.210,15.270,49.254,0.011734,0.0783,0.6386,0.2709,0.0023,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
lz4,medium_zeros_100.bin,104857600,100.00,65536,245.45,102.70,412.65,1.021,0.254,14.728,0.060,15.809,0.000638,2.2405,6.9117,0.0222,0.0042,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
lz4,small_TTI_10.bin,10485760,10.00,65536,1.65,1.57,12.85,6.663,0.816,1.653,1.002,9.319,0.041645,0.0051,0.0271,0.0214,0.0017,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
lz4,small_binary_10.bin,10485760,10.00,65536,3.26,2.12,39.67,4.952,0.264,1.666,0.511,7.129,0.030948,0.0078,0.4775,0.0181,0.0031,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
lz4,small_random_10.bin,10485760,10.00,65536,1.00,1.87,42.62,5.598,0.246,1.643,1.649,8.890,0.034990,0.0078,0.2286,0.0232,0.0013,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
lz4,small_zeros_10.bin,10485760,10.00,65536,245.45,29.78,80.88,0.352,0.130,1.687,0.007,2.046,0.002200,0.4252,1.3202,0.0050,0.0021,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
lz4,xlarge_TTI_4096.bin,3956277248,3773.00,65536,1.04,7.42,189.84,533.012,20.840,587.940,566.375,1687.327,0.008829,0.0161,0.5987,1.1543,0.0657,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
lz4,xlarge_binary_4096.bin,4294967296,4096.00,65536,3.26,22.46,244.76,191.197,17.547,645.116,197.925,1034.238,0.002917,0.0670,1.2671,0.5697,0.0909,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
