Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,large_TTI_1024.bin,719323136,686.00,65536,1.04,7.42,144.14,96.897,4.990,26.725,25.739,149.361,0.008828,0.0254,9.0858,0.3306,0.3289,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
lz4,large_binary_1024.bin,1073741824,1024.00,65536,3.25,22.30,199.10,48.144,5.393,39.152,12.041,99.337,0.002938,0.0605,3.7121,0.1308,0.0978,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
lz4,large_random_1024.bin,1073741824,1024.00,65536,1.00,7.29,175.01,147.274,6.135,39.562,39.718,226.554,0.008989,0.0226,4.2238,0.4573,0.1473,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
lz4,large_zeros_1024.bin,1073741824,1024.00,65536,245.45,161.07,242.26,6.666,4.432,39.019,0.159,45.844,0.000407,0.1017,0.1166,0.0042,0.0021,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
lz4,medium_TTI_100.bin,104857600,100.00,65536,1.06,5.98,93.12,17.547,1.126,3.787,3.587,24.922,0.010967,0.0832,0.7313,0.2436,0.0089,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
lz4,medium_binary_100.bin,104857600,100.00,65536,3.26,15.74,204.34,6.663,0.513,3.783,1.160,11.606,0.004164,0.4894,3.2910,0.2251,0.0085,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
lz4,medium_random_100.bin,104857600,100.00,65536,1.00,5.58,172.07,18.785,0.609,3.944,3.959,26.688,0.011740,0.0509,0.7546,0.1753,0.0027,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
lz4,medium_zeros_100.bin,104857600,100.00,65536,245.45,100.69,391.67,1.041,0.268,3.814,0.016,4.871,0.000651,4.7043,35.9924,0.0518,0.0280,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
lz4,small_TTI_10.bin,10485760,10.00,65536,1.65,1.58,12.85,6.656,0.816,0.513,0.311,7.481,0.041603,0.0057,0.0293,0.0241,0.0019,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
lz4,small_binary_10.bin,10485760,10.00,65536,3.26,2.12,39.56,4.948,0.265,0.520,0.160,5.628,0.030926,0.0066,0.4479,0.0153,0.0030,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
