Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,large_TTI_1024.bin,719323136,686.00,65536,1.04,7.37,145.62,97.648,4.940,26.786,25.799,150.233,0.008897,0.0155,9.0087,0.2055,0.3117,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
lz4,large_binary_1024.bin,1073741824,1024.00,65536,3.25,22.21,200.96,48.341,5.343,39.407,12.119,99.867,0.002950,0.1504,4.5626,0.3292,0.1202,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
lz4,large_random_1024.bin,1073741824,1024.00,65536,1.00,7.28,176.06,147.523,6.099,39.650,39.806,226.979,0.009004,0.0276,4.8937,0.5591,0.1691,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
lz4,large_zeros_1024.bin,1073741824,1024.00,65536,245.45,161.08,242.09,6.666,4.435,39.699,0.162,46.526,0.000407,0.1649,0.1982,0.0068,0.0036,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
lz4,medium_TTI_100.bin,104857600,100.00,65536,1.06,5.94,93.16,17.648,1.126,3.803,3.602,25.052,0.011030,0.1121,0.6656,0.3413,0.0081,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
lz4,medium_binary_100.bin,104857600,100.00,65536,3.26,15.68,201.86,6.688,0.519,3.788,1.162,11.638,0.004180,0.6069,5.1795,0.2872,0.0135,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
lz4,medium_random_100.bin,104857600,100.00,65536,1.00,5.45,171.12,19.237,0.613,3.981,3.996,27.215,0.012023,0.0760,1.1765,0.2719,0.0043,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
lz4,medium_zeros_100.bin,104857600,100.00,65536,245.45,100.42,391.34,1.044,0.268,3.788,0.015,4.847,0.000653,4.8213,31.4258,0.0526,0.0241,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
lz4,small_TTI_10.bin,10485760,10.00,65536,1.65,1.57,12.83,6.667,0.817,0.522,0.316,7.505,0.041666,0.0052,0.0307,0.0221,0.0020,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
lz4,small_binary_10.bin,10485760,10.00,65536,3.26,2.12,39.70,4.947,0.264,0.529,0.162,5.638,0.030917,0.0114,0.4240,0.0263,0.0028,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
lz4,small_random_10.bin,10485760,10.00,65536,1.00,1.87,42.39,5.617,0.247,0.535,0.537,6.690,0.035106,0.0049,0.2120,0.0147,0.0012,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
lz4,small_zeros_10.bin,10485760,10.00,65536,245.45,29.15,78.57,0.360,0.133,0.498,0.002,0.860,0.002249,1.0314,3.2227,0.0127,0.0055,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
lz4,xlarge_TTI_4096.bin,3956277248,3773.00,65536,1.04,7.41,189.81,534.104,20.843,145.733,140.387,820.224,0.008847,0.0176,0.6051,1.2656,0.0665,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
lz4,xlarge_binary_4096.bin,4294967296,4096.00,65536,3.26,22.45,244.90,191.279,17.538,156.492,48.012,395.783,0.002919,0.0544,1.3269,0.4633,0.0949,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
lz4,xlarge_random_4096.bin,4294967296,4096.00,65536,1.00,7.23,207.23,593.930,20.726,156.528,157.144,907.602,0.009063,0.0220,0.6009,1.8023,0.0601,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
lz4,xlarge_zeros_4096.bin,4294967296,4096.00,65536,245.45,165.97,302.59,25.878,14.194,157.303,0.641,183.822,0.000395,0.2086,1.3674,0.0325,0.0643,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
snappy,large_TTI_1024.bin,719323136,686.00,65536,1.03,26.03,76.07,27.638,9.456,26.560,25.668,79.866,0.002518,0.0509,3.0004,0.0540,0.4136,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
snappy,large_binary_1024.bin,1073741824,1024.00,65536,2.95,27.87,73.31,38.530,14.647,39.108,13.241,90.879,0.002352,0.0196,0.2788,0.0272,0.0559,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
snappy,large_random_1024.bin,1073741824,1024.00,65536,0.99,27.11,73.69,39.606,14.571,39.452,39.762,118.820,0.002417,0.0570,0.3753,0.0834,0.0743,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
snappy,large_zeros_1024.bin,1073741824,1024.00,65536,21.30,28.67,59.83,37.451,17.947,39.291,1.845,78.587,0.002286,0.0586,0.2764,0.0766,0.0828,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
snappy,medium_TTI_100.bin,104857600,100.00,65536,1.05,23.38,106.28,4.484,0.987,3.949,3.756,12.189,0.002803,0.9493,5.6261,0.1985,0.0583,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
snappy,medium_binary_100.bin,104857600,100.00,65536,2.96,24.35,120.42,4.306,0.871,3.933,1.329,9.567,0.002691,1.0577,6.9068,0.2077,0.0556,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
snappy,medium_random_100.bin,104857600,100.00,65536,0.99,24.03,117.62,4.363,0.891,3.782,3.811,11.956,0.002727,0.9921,5.7788,0.1975,0.0487,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
snappy,medium_zeros_100.bin,104857600,100.00,65536,21.30,24.94,92.02,4.205,1.140,3.783,0.178,8.166,0.002628,1.0793,3.8066,0.2020,0.0519,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
snappy,small_TTI_10.bin,10485760,10.00,65536,1.60,9.39,23.17,1.117,0.453,0.536,0.335,1.988,0.006980,0.2131,0.4909,0.0260,0.0099,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
snappy,small_binary_10.bin,10485760,10.00,65536,2.96,9.87,29.02,1.063,0.361,0.534,0.180,1.777,0.006643,0.2919,0.7642,0.0329,0.0096,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
