Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,large_TTI_1024.bin,719323136,686.00,65536,1.04,7.38,135.96,97.448,5.291,26.743,25.757,149.948,0.008878,0.0209,1.4417,0.2760,0.0554,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012021
lz4,large_binary_1024.bin,1073741824,1024.00,65536,3.25,22.26,204.62,48.237,5.248,39.311,12.090,99.638,0.002944,0.0817,5.8929,0.1774,0.1526,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012021
lz4,large_random_1024.bin,1073741824,1024.00,65536,1.00,7.28,172.66,147.452,6.219,39.264,39.419,226.134,0.009000,0.0260,3.2895,0.5257,0.1150,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012021
lz4,large_zeros_1024.bin,1073741824,1024.00,65536,245.45,161.09,242.46,6.665,4.429,39.414,0.161,46.240,0.000407,0.1134,0.1816,0.0047,0.0033,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012021
lz4,medium_TTI_100.bin,104857600,100.00,65536,1.06,5.91,93.02,17.750,1.127,4.101,3.884,25.735,0.011094,0.0826,0.7565,0.2512,0.0093,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012021
lz4,medium_binary_100.bin,104857600,100.00,65536,3.26,15.63,201.87,6.708,0.519,4.072,1.249,12.029,0.004192,0.5103,5.4737,0.2387,0.0145,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012021
lz4,medium_random_100.bin,104857600,100.00,65536,1.00,5.56,171.72,18.856,0.611,4.189,4.205,27.250,0.011785,0.0651,1.6902,0.2236,0.0061,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012021
lz4,medium_zeros_100.bin,104857600,100.00,65536,245.45,100.69,390.53,1.041,0.268,3.961,0.016,5.018,0.000651,4.2852,28.5956,0.0477,0.0216,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012021
lz4,small_TTI_10.bin,10485760,10.00,65536,1.65,1.57,12.85,6.664,0.816,0.531,0.322,7.518,0.041653,0.0068,0.0303,0.0285,0.0019,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012021
lz4,small_binary_10.bin,10485760,10.00,65536,3.26,2.12,39.59,4.955,0.265,0.515,0.158,5.628,0.030967,0.0072,0.3268,0.0168,0.0022,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012021
lz4,small_random_10.bin,10485760,10.00,65536,1.00,1.87,42.66,5.607,0.246,0.498,0.500,6.605,0.035042,0.0047,0.1727,0.0142,0.0010,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012021
lz4,small_zeros_10.bin,10485760,10.00,65536,245.45,29.28,78.49,0.358,0.134,0.512,0.002,0.872,0.002238,0.9514,2.9514,0.0117,0.0051,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012021
lz4,xlarge_TTI_4096.bin,3956277248,3773.00,65536,1.04,7.41,189.17,534.017,20.914,144.990,139.672,818.680,0.008846,0.0114,0.7310,0.8215,0.0807,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012021
