Files,Duplicate data,Size in MB,Pages,Avg page size in KB,Max page size in KB,Ucompressed size in bytes,Compressed size in bytes,Compression ratio,Compression throughput (uncompressed) in GB/s,Decompression throughput (uncompressed) in GB/s,Compression time (ms),Decompression time (ms),Transfer H2D (ms),Transfer D2H (ms),Total time (ms),Avg chunk time (ms),Comp throughput stddev (GB/s),Decomp throughput stddev (GB/s),Comp time stddev (ms),Decomp time stddev (ms),t_alloc_ms,t_memcpy_h2h_ms,peak_pinned_bytes,algo,size,mode
1,0,104.857600,1600,65.536000,65.536000,104857600,100596168,1.04,56.29,186.86,1.863,0.561,15.166,14.550,31.578,0.001164,1.0038,3.5036,0.0334,0.0104,0.000,0.000,0,cascaded,100mb,baseline
1,0,104.857600,1600,65.536000,65.536000,104857600,100596168,1.04,38.70,148.08,2.709,0.708,4.299,4.124,11.132,0.001693,7.3570,19.7420,0.6097,0.1095,23.638,8.524,104857600,cascaded,100mb,pinned
1,0,2147.483648,32768,65.536000,65.536000,2147483648,46713580,45.97,172.79,49.80,12.428,43.123,309.620,6.735,328.783,0.000379,0.2388,0.1414,0.0172,0.1226,0.000,0.000,0,cascaded,2gb,baseline
1,0,2147.483648,32768,65.536000,65.536000,2147483648,46713580,45.97,172.38,49.83,12.458,43.098,78.507,1.708,92.673,0.000380,0.5883,0.2213,0.0427,0.1910,459.033,186.460,2147483648,cascaded,2gb,pinned
1,0,4294.967296,65536,65.536000,65.536000,4294967296,148072496,29.01,166.50,55.65,25.796,77.171,642.091,22.137,690.024,0.000394,0.5491,0.1658,0.0853,0.2295,0.000,0.000,0,cascaded,4gb,baseline
1,0,4294.967296,65536,65.536000,65.536000,4294967296,148072496,29.01,167.06,55.70,25.710,77.109,156.977,5.412,188.099,0.000392,0.8221,0.0590,0.1268,0.0817,900.854,371.139,4294967296,cascaded,4gb,pinned
1,0,719.323136,10976,65.536000,65.536000,719323136,701386392,1.03,61.13,168.74,11.767,4.263,103.938,101.346,217.051,0.001072,0.6688,6.4083,0.1290,0.1707,0.000,0.000,0,cascaded,686mb,baseline
1,0,719.323136,10976,65.536000,65.536000,719323136,701386392,1.03,61.97,170.71,11.608,4.214,26.492,25.832,63.932,0.001058,0.3636,7.1786,0.0686,0.1884,164.657,63.461,719323136,cascaded,686mb,pinned
1,0,104.857600,1600,65.536000,65.536000,104857600,99316160,1.06,5.85,92.68,17.932,1.131,15.202,14.399,47.533,0.011207,0.0870,1.7219,0.2662,0.0216,0.000,0.000,0,lz4,100mb,baseline
1,0,104.857600,1600,65.536000,65.536000,104857600,99316160,1.06,5.77,91.47,18.185,1.146,4.417,4.184,26.786,0.011365,0.1980,2.7187,0.6511,0.0356,24.760,9.351,104857600,lz4,100mb,pinned
1,0,2147.483648,32768,65.536000,65.536000,2147483648,30157582,71.21,58.60,135.30,36.646,15.872,309.823,4.351,350.820,0.001118,0.0493,0.3009,0.0308,0.0353,0.000,0.000,0,lz4,2gb,baseline
1,0,2147.483648,32768,65.536000,65.536000,2147483648,30157582,71.21,58.56,134.64,36.674,15.950,79.003,1.109,116.786,0.001119,0.0425,0.5269,0.0266,0.0625,460.287,186.963,2147483648,lz4,2gb,pinned
1,0,4294.967296,65536,65.536000,65.536000,4294967296,107474422,39.96,73.37,208.07,58.535,20.642,641.050,16.041,715.627,0.000893,0.0398,0.8303,0.0318,0.0828,0.000,0.000,0,lz4,4gb,baseline
1,0,4294.967296,65536,65.536000,65.536000,4294967296,107474422,39.96,73.28,207.63,58.611,20.686,426.025,10.661,495.296,0.000894,0.1205,0.8947,0.0964,0.0890,929.028,365.594,4294967296,lz4,4gb,pinned
1,0,719.323136,10976,65.536000,65.536000,719323136,692799847,1.04,7.40,128.99,97.168,5.577,103.780,99.953,300.901,0.008853,0.0236,5.4786,0.3101,0.2508,0.000,0.000,0,lz4,686mb,baseline
