GPU,Dataset,Algo,ChunkSize,Ratio,CompGBs,DecompGBs,TotalMs
RX7900XT,large_TTI_1024.bin,ZFP-Reversible,0,0.940,59.39,66.78,84.56
RX7900XT,large_binary_1024.bin,ZFP-Reversible,0,1.530,54.05,87.94,113.81
RX7900XT,large_random_1024.bin,ZFP-Reversible,0,0.980,47.76,54.23,114.40
RX7900XT,large_zeros_1024.bin,ZFP-Reversible,0,42.670,466.55,462.13,93.80
RX7900XT,medium_TTI_100.bin,ZFP-Reversible,0,0.970,50.19,47.99,26.20
RX7900XT,medium_binary_100.bin,ZFP-Reversible,0,1.500,48.41,63.07,26.90
RX7900XT,medium_random_100.bin,ZFP-Reversible,0,0.970,43.46,43.57,26.94
RX7900XT,medium_zeros_100.bin,ZFP-Reversible,0,42.020,325.91,109.38,25.82
RX7900XT,small_TTI_10.bin,ZFP-Reversible,0,1.500,22.23,9.23,16.51
RX7900XT,small_binary_10.bin,ZFP-Reversible,0,1.530,17.01,9.26,15.17
RX7900XT,small_random_10.bin,ZFP-Reversible,0,0.980,17.44,8.74,15.76
RX7900XT,small_zeros_10.bin,ZFP-Reversible,0,42.660,108.01,10.31,16.06
MI300X,large_TTI_1024.bin,LZ4-pinned,8192,1.040,17.83,715.59,67.99
MI300X,large_binary_1024.bin,LZ4-pinned,8192,3.050,52.56,1185.34,47.70
MI300X,large_random_1024.bin,LZ4-pinned,8192,1.000,18.21,904.27,100.05
MI300X,large_zeros_1024.bin,LZ4-pinned,8192,190.510,598.04,1561.39,22.36
MI300X,medium_TTI_100.bin,LZ4-pinned,8192,1.060,14.73,349.15,10.88
MI300X,medium_binary_100.bin,LZ4-pinned,8192,3.060,39.71,1170.03,5.22
MI300X,medium_random_100.bin,LZ4-pinned,8192,1.000,15.07,850.79,10.83
MI300X,medium_zeros_100.bin,LZ4-pinned,8192,190.510,525.35,1373.54,2.15
MI300X,small_TTI_10.bin,LZ4-pinned,8192,1.650,6.19,113.23,2.04
MI300X,small_binary_10.bin,LZ4-pinned,8192,3.060,7.03,274.85,1.84
MI300X,small_random_10.bin,LZ4-pinned,8192,1.000,6.68,265.96,2.05
MI300X,small_zeros_10.bin,LZ4-pinned,8192,190.510,187.02,523.31,0.28
MI300X,xlarge_TTI_4096.bin,LZ4-pinned,8192,1.040,18.63,718.51,357.83
MI300X,xlarge_binary_4096.bin,LZ4-pinned,8192,3.060,53.19,1185.36,185.64
MI300X,xlarge_random_4096.bin,LZ4-pinned,8192,1.000,18.21,797.63,394.23
MI300X,xlarge_zeros_4096.bin,LZ4-pinned,8192,190.510,574.11,1756.11,86.88
