GPU,Algo,TestFile,Stage,ChunkSize,CompGBs,DecompGBs,TotalMs,Ratio,Speedup_vs_baseline
MI300X,cascaded,large_TTI_1024.bin,baseline,65536,126.50,617.52,357.52,1.030,1.00
MI300X,cascaded,large_TTI_1024.bin,+pinned,65536,126.52,617.63,31.52,1.030,11.34
MI300X,cascaded,large_TTI_1024.bin,+chunk_optim,8192,126.47,657.81,33.18,1.030,10.77
MI300X,cascaded,large_binary_1024.bin,baseline,65536,169.57,459.81,247.39,3.030,1.00
MI300X,cascaded,large_binary_1024.bin,+pinned,65536,169.52,460.84,33.37,3.030,7.41
MI300X,cascaded,large_binary_1024.bin,+chunk_optim,8192,177.87,399.38,33.99,3.030,7.28
MI300X,cascaded,large_random_1024.bin,baseline,65536,118.34,965.50,389.11,1.000,1.00
MI300X,cascaded,large_random_1024.bin,+pinned,65536,122.25,966.38,49.66,1.000,7.83
MI300X,cascaded,large_random_1024.bin,+chunk_optim,8192,130.28,730.26,48.99,1.000,7.94
MI300X,cascaded,large_zeros_1024.bin,baseline,65536,403.72,248.79,197.68,92.040,1.00
MI300X,cascaded,large_zeros_1024.bin,+pinned,65536,403.92,248.90,23.40,92.040,8.45
MI300X,cascaded,large_zeros_1024.bin,+chunk_optim,8192,394.65,234.46,23.55,85.330,8.40
MI300X,cascaded,medium_TTI_100.bin,baseline,65536,90.76,290.84,36.16,1.040,1.00
MI300X,cascaded,medium_TTI_100.bin,+pinned,65536,90.70,290.62,4.93,1.040,7.33
MI300X,cascaded,medium_TTI_100.bin,+chunk_optim,8192,124.58,683.75,4.62,1.050,7.83
MI300X,cascaded,medium_binary_100.bin,baseline,65536,112.18,432.67,24.65,3.040,1.00
MI300X,cascaded,medium_binary_100.bin,+pinned,65536,111.98,432.91,3.50,3.040,7.04
MI300X,cascaded,medium_binary_100.bin,+chunk_optim,8192,72.15,413.07,4.05,3.030,6.09
MI300X,cascaded,medium_random_100.bin,baseline,65536,88.10,1019.44,37.01,1.000,1.00
MI300X,cascaded,medium_random_100.bin,+pinned,65536,87.81,1008.50,5.10,1.000,7.26
MI300X,cascaded,medium_random_100.bin,+chunk_optim,8192,127.18,999.46,4.69,1.000,7.89
MI300X,cascaded,medium_zeros_100.bin,baseline,65536,306.99,167.94,18.17,92.040,1.00
MI300X,cascaded,medium_zeros_100.bin,+pinned,65536,307.47,168.58,2.29,92.040,7.94
MI300X,cascaded,medium_zeros_100.bin,+chunk_optim,8192,417.41,223.90,2.20,85.330,8.25
MI300X,cascaded,small_TTI_10.bin,baseline,65536,19.40,33.17,3.50,1.610,1.00
MI300X,cascaded,small_TTI_10.bin,+pinned,65536,19.53,33.42,0.90,1.610,3.91
MI300X,cascaded,small_TTI_10.bin,+chunk_optim,8192,107.01,169.72,0.45,1.620,7.78
MI300X,cascaded,small_binary_10.bin,baseline,65536,19.29,51.29,2.96,3.040,1.00
MI300X,cascaded,small_binary_10.bin,+pinned,65536,19.36,51.59,0.85,3.040,3.47
MI300X,cascaded,small_binary_10.bin,+chunk_optim,8192,92.87,251.47,0.44,3.030,6.76
MI300X,cascaded,small_random_10.bin,baseline,65536,18.89,227.08,4.46,1.000,1.00
MI300X,cascaded,small_random_10.bin,+pinned,65536,18.92,230.13,1.02,1.000,4.35
MI300X,cascaded,small_random_10.bin,+chunk_optim,8192,74.45,412.21,0.59,1.000,7.59
MI300X,cascaded,small_zeros_10.bin,baseline,65536,66.40,33.56,2.01,92.040,1.00
MI300X,cascaded,small_zeros_10.bin,+pinned,65536,64.33,33.60,0.40,92.040,5.00
MI300X,cascaded,small_zeros_10.bin,+chunk_optim,8192,246.16,114.41,0.29,85.330,6.89
MI300X,cascaded,xlarge_TTI_4096.bin,baseline,65536,133.82,724.54,2351.14,1.030,1.00
MI300X,cascaded,xlarge_TTI_4096.bin,+pinned,65536,133.83,726.48,173.01,1.030,13.59
MI300X,cascaded,xlarge_TTI_4096.bin,+chunk_optim,8192,129.45,599.04,174.73,1.030,13.46
MI300X,cascaded,xlarge_binary_4096.bin,baseline,65536,177.92,463.08,1122.10,3.040,1.00
MI300X,cascaded,xlarge_binary_4096.bin,+pinned,65536,175.49,462.96,129.36,3.040,8.67
MI300X,cascaded,xlarge_binary_4096.bin,+chunk_optim,8192,179.40,389.82,129.10,3.030,8.69
MI300X,cascaded,xlarge_random_4096.bin,baseline,65536,127.05,962.85,1579.49,1.000,1.00
MI300X,cascaded,xlarge_random_4096.bin,+pinned,65536,128.13,969.64,191.22,1.000,8.26
MI300X,cascaded,xlarge_random_4096.bin,+chunk_optim,8192,132.42,647.17,190.58,1.000,8.29
MI300X,cascaded,xlarge_zeros_4096.bin,baseline,65536,414.66,256.38,1096.21,92.040,1.00
MI300X,cascaded,xlarge_zeros_4096.bin,+pinned,65536,414.93,256.50,90.15,92.040,12.16
MI300X,cascaded,xlarge_zeros_4096.bin,+chunk_optim,8192,397.33,230.85,90.81,85.330,12.07
MI300X,lz4,large_TTI_1024.bin,baseline,65536,12.03,308.14,460.73,1.040,1.00
MI300X,lz4,large_TTI_1024.bin,+pinned,65536,12.00,305.59,87.59,1.040,5.26
MI300X,lz4,large_TTI_1024.bin,+chunk_optim,8192,17.83,715.59,67.99,1.040,6.78
MI300X,lz4,large_binary_1024.bin,baseline,65536,38.45,1100.93,246.72,3.250,1.00
MI300X,lz4,large_binary_1024.bin,+pinned,65536,37.59,1093.21,55.25,3.250,4.47
MI300X,lz4,large_binary_1024.bin,+chunk_optim,8192,52.56,1185.34,47.70,3.050,5.17
MI300X,lz4,large_random_1024.bin,baseline,65536,13.82,812.66,423.51,1.000,1.00
MI300X,lz4,large_random_1024.bin,+pinned,65536,13.68,806.90,119.38,1.000,3.55
MI300X,lz4,large_random_1024.bin,+chunk_optim,8192,18.21,904.27,100.05,1.000,4.23
MI300X,lz4,large_zeros_1024.bin,baseline,65536,812.24,1654.24,169.27,245.450,1.00
MI300X,lz4,large_zeros_1024.bin,+pinned,65536,811.71,1641.65,21.71,245.450,7.80
MI300X,lz4,large_zeros_1024.bin,+chunk_optim,8192,598.04,1561.39,22.36,190.510,7.57
MI300X,lz4,medium_TTI_100.bin,baseline,65536,4.89,71.26,57.09,1.060,1.00
MI300X,lz4,medium_TTI_100.bin,+pinned,65536,4.88,71.84,25.24,1.060,2.26
MI300X,lz4,medium_TTI_100.bin,+chunk_optim,8192,14.73,349.15,10.88,1.060,5.25
MI300X,lz4,medium_binary_100.bin,baseline,65536,8.66,406.36,33.52,3.260,1.00
MI300X,lz4,medium_binary_100.bin,+pinned,65536,8.66,405.12,14.63,3.260,2.29
MI300X,lz4,medium_binary_100.bin,+chunk_optim,8192,39.71,1170.03,5.22,3.060,6.42
MI300X,lz4,medium_random_100.bin,baseline,65536,7.67,336.40,47.02,1.000,1.00
MI300X,lz4,medium_random_100.bin,+pinned,65536,7.65,334.79,17.57,1.000,2.68
MI300X,lz4,medium_random_100.bin,+chunk_optim,8192,15.07,850.79,10.83,1.000,4.34
MI300X,lz4,medium_zeros_100.bin,baseline,65536,246.62,925.02,17.23,245.450,1.00
MI300X,lz4,medium_zeros_100.bin,+pinned,65536,244.00,925.50,2.36,245.450,7.29
MI300X,lz4,medium_zeros_100.bin,+chunk_optim,8192,525.35,1373.54,2.15,190.510,8.03
MI300X,lz4,small_TTI_10.bin,baseline,65536,0.53,7.42,22.63,1.650,1.00
MI300X,lz4,small_TTI_10.bin,+pinned,65536,0.53,7.41,20.26,1.650,1.12
MI300X,lz4,small_TTI_10.bin,+chunk_optim,8192,6.19,113.23,2.04,1.650,11.07
MI300X,lz4,small_binary_10.bin,baseline,65536,0.90,42.17,13.77,3.260,1.00
MI300X,lz4,small_binary_10.bin,+pinned,65536,0.90,42.26,11.87,3.260,1.16
MI300X,lz4,small_binary_10.bin,+chunk_optim,8192,7.03,274.85,1.84,3.060,7.48
MI300X,lz4,small_random_10.bin,baseline,65536,0.88,42.66,15.34,1.000,1.00
MI300X,lz4,small_random_10.bin,+pinned,65536,0.88,42.47,12.54,1.000,1.22
MI300X,lz4,small_random_10.bin,+chunk_optim,8192,6.68,265.96,2.05,1.000,7.48
MI300X,lz4,small_zeros_10.bin,baseline,65536,35.14,98.40,2.22,245.450,1.00
MI300X,lz4,small_zeros_10.bin,+pinned,65536,35.28,98.05,0.52,245.450,4.30
MI300X,lz4,small_zeros_10.bin,+chunk_optim,8192,187.02,523.31,0.28,190.510,7.97
MI300X,lz4,xlarge_TTI_4096.bin,baseline,65536,15.00,590.08,1521.24,1.040,1.00
MI300X,lz4,xlarge_TTI_4096.bin,+pinned,65536,14.96,582.22,407.49,1.040,3.73
MI300X,lz4,xlarge_TTI_4096.bin,+chunk_optim,8192,18.63,718.51,357.83,1.040,4.25
MI300X,lz4,xlarge_binary_4096.bin,baseline,65536,44.76,1214.56,1042.08,3.260,1.00
MI300X,lz4,xlarge_binary_4096.bin,+pinned,65536,44.64,1207.46,199.95,3.260,5.21
MI300X,lz4,xlarge_binary_4096.bin,+chunk_optim,8192,53.19,1185.36,185.64,3.060,5.61
MI300X,lz4,xlarge_random_4096.bin,baseline,65536,14.50,888.75,1731.31,1.000,1.00
MI300X,lz4,xlarge_random_4096.bin,+pinned,65536,14.60,873.05,455.25,1.000,3.80
MI300X,lz4,xlarge_random_4096.bin,+chunk_optim,8192,18.21,797.63,394.23,1.000,4.39
MI300X,lz4,xlarge_zeros_4096.bin,baseline,65536,848.03,1800.02,780.72,245.450,1.00
MI300X,lz4,xlarge_zeros_4096.bin,+pinned,65536,834.63,1812.31,84.40,245.450,9.25
MI300X,lz4,xlarge_zeros_4096.bin,+chunk_optim,8192,574.11,1756.11,86.88,190.510,8.99
MI300X,snappy,large_TTI_1024.bin,baseline,65536,83.57,300.59,405.42,1.030,1.00
MI300X,snappy,large_TTI_1024.bin,+pinned,65536,83.87,296.06,34.45,1.030,11.77
MI300X,snappy,large_TTI_1024.bin,+chunk_optim,8192,100.79,288.45,34.69,1.030,11.69
MI300X,snappy,large_binary_1024.bin,baseline,65536,80.38,273.13,238.51,2.950,1.00
MI300X,snappy,large_binary_1024.bin,+pinned,65536,80.69,256.80,42.75,2.950,5.58
MI300X,snappy,large_binary_1024.bin,+chunk_optim,8192,84.16,226.48,40.52,2.800,5.89
MI300X,snappy,large_random_1024.bin,baseline,65536,96.56,363.75,441.76,0.990,1.00
MI300X,snappy,large_random_1024.bin,+pinned,65536,96.86,394.20,52.14,0.990,8.47
MI300X,snappy,large_random_1024.bin,+chunk_optim,8192,107.53,341.62,51.03,0.990,8.66
MI300X,snappy,large_zeros_1024.bin,baseline,65536,70.68,229.92,233.56,21.300,1.00
MI300X,snappy,large_zeros_1024.bin,+pinned,65536,70.66,229.57,36.54,21.300,6.39
MI300X,snappy,large_zeros_1024.bin,+chunk_optim,8192,73.29,234.94,36.27,21.110,6.44
