Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,large_TTI_1024.bin,719323136,686.00,65536,1.04,7.48,142.94,96.120,5.032,103.257,99.450,298.827,0.008757,0.0278,12.0477,0.3579,0.4537,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
lz4,large_binary_1024.bin,1073741824,1024.00,65536,3.25,22.32,201.21,48.102,5.337,154.347,47.467,249.916,0.002936,0.0486,3.6103,0.1049,0.0962,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
lz4,large_random_1024.bin,1073741824,1024.00,65536,1.00,7.26,176.97,147.880,6.067,154.339,154.947,457.167,0.009026,0.0262,4.2793,0.5308,0.1493,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
lz4,large_zeros_1024.bin,1073741824,1024.00,65536,245.45,162.07,241.81,6.625,4.440,154.296,0.629,161.550,0.000404,1.5448,0.2035,0.0648,0.0037,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
lz4,medium_TTI_100.bin,104857600,100.00,65536,1.06,5.96,92.64,17.599,1.132,15.112,14.314,47.025,0.010999,0.0635,1.6543,0.1867,0.0207,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
lz4,medium_binary_100.bin,104857600,100.00,65536,3.26,16.04,203.85,6.538,0.514,15.074,4.624,26.236,0.004086,0.1249,1.6940,0.0505,0.0043,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
lz4,medium_random_100.bin,104857600,100.00,65536,1.00,5.59,170.60,18.764,0.615,15.215,15.275,49.255,0.011727,0.0356,1.9807,0.1206,0.0073,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
lz4,medium_zeros_100.bin,104857600,100.00,65536,245.45,104.17,412.31,1.007,0.254,15.099,0.062,16.167,0.000629,1.1806,11.5999,0.0113,0.0075,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
lz4,small_TTI_10.bin,10485760,10.00,65536,1.65,1.61,13.20,6.521,0.794,1.588,0.963,9.073,0.040759,0.0044,0.0365,0.0179,0.0022,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
lz4,small_binary_10.bin,10485760,10.00,65536,3.26,2.15,40.53,4.879,0.259,1.642,0.504,7.025,0.030494,0.0036,0.9562,0.0082,0.0059,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
lz4,small_random_10.bin,10485760,10.00,65536,1.00,1.90,42.97,5.515,0.244,1.585,1.591,8.691,0.034472,0.0034,0.1732,0.0099,0.0010,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
lz4,small_zeros_10.bin,10485760,10.00,65536,245.45,30.03,80.91,0.349,0.130,1.858,0.008,2.215,0.002182,0.3057,0.9162,0.0035,0.0015,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
lz4,xlarge_TTI_4096.bin,3956277248,3773.00,65536,1.04,7.42,189.02,533.434,20.930,583.018,561.634,1678.087,0.008836,0.0155,0.5336,1.1183,0.0590,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
lz4,xlarge_binary_4096.bin,4294967296,4096.00,65536,3.26,22.47,242.38,191.158,17.720,639.626,196.241,1027.025,0.002917,0.0539,0.7314,0.4579,0.0534,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
lz4,xlarge_random_4096.bin,4294967296,4096.00,65536,1.00,7.25,206.65,592.611,20.784,638.438,640.951,1872.000,0.009043,0.0152,0.5747,1.2412,0.0578,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
lz4,xlarge_zeros_4096.bin,4294967296,4096.00,65536,245.45,166.25,303.71,25.834,14.142,638.889,2.603,667.326,0.000394,0.1998,2.0081,0.0311,0.0936,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
snappy,large_TTI_1024.bin,719323136,686.00,65536,1.03,26.13,74.18,27.532,9.697,103.348,99.876,230.755,0.002508,0.0611,3.9948,0.0644,0.6016,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
snappy,large_binary_1024.bin,1073741824,1024.00,65536,2.95,27.93,73.13,38.439,14.683,154.985,52.474,245.899,0.002346,0.0282,0.5061,0.0389,0.1020,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
snappy,large_random_1024.bin,1073741824,1024.00,65536,0.99,27.06,73.81,39.684,14.547,154.293,155.506,349.483,0.002422,0.0498,0.4172,0.0729,0.0821,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
snappy,large_zeros_1024.bin,1073741824,1024.00,65536,21.30,28.80,60.06,37.279,17.879,153.839,7.223,198.340,0.002275,0.0357,0.4072,0.0463,0.1215,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
snappy,medium_TTI_100.bin,104857600,100.00,65536,1.05,24.04,107.02,4.361,0.980,15.095,14.357,33.813,0.002726,0.0933,2.7283,0.0170,0.0260,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
snappy,medium_binary_100.bin,104857600,100.00,65536,2.96,25.14,123.49,4.172,0.849,15.056,5.086,24.314,0.002607,0.0855,2.9509,0.0142,0.0212,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
snappy,medium_random_100.bin,104857600,100.00,65536,0.99,24.80,118.98,4.228,0.881,15.049,15.168,34.445,0.002642,0.0774,1.9052,0.0132,0.0142,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
snappy,medium_zeros_100.bin,104857600,100.00,65536,21.30,25.71,93.07,4.078,1.127,15.072,0.708,19.858,0.002549,0.0781,1.2590,0.0124,0.0154,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
snappy,small_TTI_10.bin,10485760,10.00,65536,1.60,9.55,23.15,1.098,0.453,1.673,1.044,3.815,0.006864,0.0796,1.0538,0.0092,0.0231,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
snappy,small_binary_10.bin,10485760,10.00,65536,2.96,10.30,30.13,1.018,0.348,1.620,0.547,3.185,0.006361,0.0559,0.2383,0.0055,0.0028,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
snappy,small_random_10.bin,10485760,10.00,65536,0.99,9.68,37.75,1.083,0.278,1.669,1.682,4.435,0.006768,0.0668,0.1634,0.0075,0.0012,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
snappy,small_zeros_10.bin,10485760,10.00,65536,21.30,9.88,23.32,1.062,0.450,1.680,0.079,2.820,0.006636,0.0853,1.9328,0.0093,0.0399,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
snappy,xlarge_TTI_4096.bin,3956277248,3773.00,65536,1.03,26.75,98.73,147.908,40.071,585.173,565.580,1298.662,0.002450,0.0272,0.2722,0.1505,0.1107,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
snappy,xlarge_binary_4096.bin,4294967296,4096.00,65536,2.96,28.36,109.93,151.445,39.069,640.929,216.555,1008.928,0.002311,0.0203,0.3963,0.1083,0.1408,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260311_151030
