Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,large_TTI_1024.bin,719323136,686.00,65536,1.04,12.35,305.52,58.259,2.354,140.299,135.124,333.682,0.005308,0.1198,4.7452,0.5703,0.0367,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260314_230555
lz4,large_binary_1024.bin,1073741824,1024.00,65536,3.25,39.56,1114.28,27.141,0.964,168.962,51.962,248.065,0.001657,0.1117,4.3355,0.0766,0.0037,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260314_230555
lz4,large_random_1024.bin,1073741824,1024.00,65536,1.00,14.34,808.24,74.890,1.328,168.008,168.670,411.567,0.004571,0.0314,5.8138,0.1634,0.0094,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260314_230555
lz4,large_zeros_1024.bin,1073741824,1024.00,65536,245.45,814.72,1738.51,1.318,0.618,169.767,0.692,171.776,0.000080,4.9683,13.5164,0.0080,0.0048,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260314_230555
lz4,medium_TTI_100.bin,104857600,100.00,65536,1.06,4.93,71.43,21.289,1.468,16.345,15.481,53.116,0.013306,0.0465,0.3578,0.2020,0.0074,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260314_230555
lz4,medium_binary_100.bin,104857600,100.00,65536,3.26,8.64,408.26,12.133,0.257,16.390,5.028,33.551,0.007583,0.0139,1.2712,0.0195,0.0008,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260314_230555
lz4,medium_random_100.bin,104857600,100.00,65536,1.00,7.78,328.08,13.472,0.320,16.231,16.295,45.999,0.008420,0.0273,9.1423,0.0472,0.0091,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260314_230555
lz4,medium_zeros_100.bin,104857600,100.00,65536,245.45,257.98,910.25,0.406,0.115,18.181,0.074,18.662,0.000254,9.5505,17.5194,0.0158,0.0023,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260314_230555
lz4,small_TTI_10.bin,10485760,10.00,65536,1.65,0.53,7.39,19.924,1.419,1.672,1.013,22.609,0.124523,0.0045,0.0318,0.1729,0.0061,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260314_230555
lz4,small_binary_10.bin,10485760,10.00,65536,3.26,0.90,42.37,11.633,0.247,1.680,0.515,13.828,0.072704,0.0021,0.1634,0.0276,0.0010,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260314_230555
lz4,small_random_10.bin,10485760,10.00,65536,1.00,0.87,42.33,11.984,0.248,1.669,1.676,15.329,0.074898,0.0019,0.3208,0.0266,0.0019,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260314_230555
lz4,small_zeros_10.bin,10485760,10.00,65536,245.45,34.84,98.15,0.301,0.107,2.538,0.010,2.849,0.001881,1.9481,0.3404,0.0197,0.0004,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260314_230555
lz4,xlarge_TTI_4096.bin,3956277248,3773.00,65536,1.04,15.44,599.99,256.158,6.594,883.798,851.380,1991.336,0.004243,0.0767,4.9313,1.2832,0.0543,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260314_230555
lz4,xlarge_binary_4096.bin,4294967296,4096.00,65536,3.26,46.31,1234.42,92.745,3.479,700.618,214.953,1008.316,0.001415,0.1024,19.3284,0.2053,0.0544,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260314_230555
