Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,large_TTI_1024.bin,719323136,686.00,65536,1.04,2.45,71.32,293.688,10.085,181.767,175.062,650.517,0.026757,0.0220,1.0095,2.6214,0.1436,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
lz4,large_binary_1024.bin,1073741824,1024.00,65536,3.25,7.48,171.75,143.597,6.252,271.705,83.559,498.860,0.008764,0.0267,1.0058,0.5167,0.0366,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
lz4,large_random_1024.bin,1073741824,1024.00,65536,1.00,2.48,100.47,432.524,10.687,271.199,272.266,975.989,0.026399,0.0122,1.4004,2.1444,0.1465,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
lz4,large_zeros_1024.bin,1073741824,1024.00,65536,245.45,99.01,236.23,10.845,4.545,271.710,1.107,283.662,0.000662,0.2510,7.7609,0.0274,0.1482,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
lz4,medium_TTI_100.bin,104857600,100.00,65536,1.06,2.17,41.15,48.344,2.548,26.909,25.487,100.741,0.030215,0.0096,3.7653,0.2157,0.2400,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
lz4,medium_binary_100.bin,104857600,100.00,65536,3.26,4.75,101.97,22.070,1.028,26.562,8.148,56.779,0.013794,0.0226,22.3593,0.1050,0.2321,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
lz4,medium_random_100.bin,104857600,100.00,65536,1.00,2.21,67.78,47.550,1.547,26.679,26.784,101.014,0.029719,0.0209,11.0075,0.4529,0.2608,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
lz4,medium_zeros_100.bin,104857600,100.00,65536,245.45,70.82,198.00,1.481,0.530,26.753,0.109,28.343,0.000925,1.2942,2.5850,0.0268,0.0070,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
lz4,small_TTI_10.bin,10485760,10.00,65536,1.65,0.41,5.60,25.518,1.873,2.696,1.634,29.848,0.159490,0.0077,0.0058,0.4906,0.0019,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
lz4,small_binary_10.bin,10485760,10.00,65536,3.26,0.70,22.92,15.025,0.457,2.798,0.858,18.682,0.093909,0.0152,0.0613,0.3464,0.0012,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
lz4,small_random_10.bin,10485760,10.00,65536,1.00,0.69,24.63,15.234,0.426,2.690,2.701,20.625,0.095213,0.0158,0.0537,0.3735,0.0009,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
lz4,small_zeros_10.bin,10485760,10.00,65536,245.45,16.02,52.97,0.655,0.198,2.691,0.011,3.356,0.004092,0.0813,0.3746,0.0033,0.0014,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
lz4,xlarge_TTI_4096.bin,3956277248,3773.00,65536,1.04,2.61,102.71,1514.790,38.517,1015.744,978.485,3509.019,0.025093,0.0094,0.4906,5.3974,0.1847,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
lz4,xlarge_binary_4096.bin,4294967296,4096.00,65536,3.26,7.90,196.93,543.426,21.809,1086.617,333.380,1963.423,0.008292,0.0394,0.6641,2.7427,0.0736,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
lz4,xlarge_random_4096.bin,4294967296,4096.00,65536,1.00,2.53,122.06,1696.119,35.188,1090.179,1094.470,3880.769,0.025881,0.0131,0.5747,8.9138,0.1654,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
lz4,xlarge_zeros_4096.bin,4294967296,4096.00,65536,245.45,111.56,272.64,38.498,15.754,1086.983,4.428,1129.910,0.000587,0.0561,1.3474,0.0193,0.0781,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
snappy,large_TTI_1024.bin,719323136,686.00,65536,1.03,15.39,40.65,46.754,17.697,182.135,176.016,404.904,0.004260,0.0365,0.2829,0.1108,0.1234,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
snappy,large_binary_1024.bin,1073741824,1024.00,65536,2.95,12.99,38.85,82.661,27.637,272.649,92.313,447.623,0.005045,0.0234,0.0602,0.1488,0.0429,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
snappy,large_random_1024.bin,1073741824,1024.00,65536,0.99,16.35,51.31,65.673,20.928,272.541,274.683,612.897,0.004008,0.0415,0.2047,0.1668,0.0837,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
snappy,large_zeros_1024.bin,1073741824,1024.00,65536,21.30,11.60,26.38,92.573,40.696,272.088,12.775,377.436,0.005650,0.0141,0.0713,0.1124,0.1099,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
snappy,medium_TTI_100.bin,104857600,100.00,65536,1.05,13.53,35.15,7.753,2.983,26.601,25.302,59.656,0.004845,0.1775,0.8940,0.1010,0.0751,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
snappy,medium_binary_100.bin,104857600,100.00,65536,2.96,11.61,35.57,9.036,2.948,27.077,9.147,45.260,0.005647,0.1299,0.4273,0.1015,0.0354,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
snappy,medium_random_100.bin,104857600,100.00,65536,0.99,13.76,42.71,7.623,2.455,26.856,27.067,61.547,0.004765,0.2751,1.6920,0.1502,0.0957,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
snappy,medium_zeros_100.bin,104857600,100.00,65536,21.30,10.54,21.78,9.944,4.813,26.988,1.267,38.200,0.006215,0.1226,0.5900,0.1162,0.1315,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
snappy,small_TTI_10.bin,10485760,10.00,65536,1.60,4.98,13.91,2.104,0.754,2.699,1.685,6.488,0.013150,0.2707,0.5948,0.1242,0.0343,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
snappy,small_binary_10.bin,10485760,10.00,65536,2.96,5.14,18.88,2.042,0.555,2.691,0.909,5.641,0.012761,0.2602,1.0489,0.1097,0.0334,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
snappy,small_random_10.bin,10485760,10.00,65536,0.99,6.73,27.56,1.557,0.381,2.712,2.733,7.002,0.009733,0.3350,1.9315,0.0798,0.0283,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
snappy,small_zeros_10.bin,10485760,10.00,65536,21.30,4.32,13.51,2.426,0.776,2.665,0.125,5.215,0.015162,0.1998,0.4549,0.1201,0.0286,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
snappy,xlarge_TTI_4096.bin,3956277248,3773.00,65536,1.03,16.14,44.45,245.108,88.999,1007.019,973.300,2225.427,0.004060,0.0106,0.0389,0.1615,0.0779,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
snappy,xlarge_binary_4096.bin,4294967296,4096.00,65536,2.96,13.25,40.39,324.208,106.339,1085.105,366.631,1775.944,0.004947,0.0049,0.0244,0.1188,0.0643,neowise-8,AMD Instinct MI50/MI60,gfx906,MI50,10,2,20260314_231140
